,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Vincent Jackson,TB,1,14,9,114,2,0,0,0
Brandon Marshall,CHI,1,11,9,87,2,0,0,0
Justin Blackmon,JAC,1,20,14,190,0,0,0,0
DeSean Jackson,PHI,1,6,6,64,2,0,0,0
Larry Fitzgerald,ARI,1,12,6,117,1,1,4,0
Riley Cooper,PHI,1,6,4,120,1,0,0,0
Brandon LaFell,CAR,1,4,4,107,1,1,9,0
Jordy Nelson,GB,1,10,4,113,1,0,0,0
Keenan Allen,SD,1,12,9,107,1,0,0,0
Marvin Jones,CIN,1,5,3,71,1,1,34,0
A.J. Green,CIN,1,11,6,103,1,0,0,0
Denarius Moore,OAK,1,10,5,82,1,0,0,0
Rueben Randle,NYG,1,5,3,75,1,0,0,0
Emmanuel Sanders,PIT,1,6,3,70,1,0,0,0
Josh Gordon,CLE,1,9,7,126,0,1,0,0
Kenny Stills,NO,1,3,3,64,1,0,0,0
Wes Welker,DEN,1,8,6,63,1,0,0,0
Marquise Goodwin,BUF,1,3,2,51,1,1,-1,0
Kenbrell Thompkins,NE,1,6,3,45,1,0,0,0
Michael Floyd,ARI,1,6,5,44,1,0,0,0
Jacoby Jones,BAL,1,2,2,42,1,0,0,0
Tandon Doss,BAL,1,6,4,99,0,0,0,0
Andre Johnson,HOU,1,8,7,88,0,0,0,0
Reggie Wayne,IND,1,8,5,88,0,0,0,0
Terrance Williams,DAL,1,2,2,27,1,0,0,0
Antonio Brown,PIT,1,11,9,86,0,0,0,0
Kris Durham,DET,1,13,8,83,0,0,0,0
Steve Smith,CAR,1,7,5,21,1,0,0,0
Demaryius Thomas,DEN,1,5,3,78,0,0,0,0
T.J. Graham,BUF,1,6,4,74,0,0,0,0
Greg Little,CLE,1,5,2,12,1,0,0,0
Hakeem Nicks,NYG,1,8,4,70,0,0,0,0
Marlon Brown,BAL,1,7,3,71,0,1,-2,0
Pierre Garcon,WAS,1,15,6,69,0,0,0,0
Kendall Wright,TEN,1,8,5,69,0,0,0,0
Victor Cruz,NYG,1,5,4,68,0,0,0,0
Brian Quick,STL,1,2,1,4,1,0,0,0
Aaron Dobson,NE,1,10,6,63,0,0,0,0
Terrelle Pryor,OAK,1,0,0,0,0,6,60,0
Julian Edelman,NE,1,11,5,57,0,0,0,0
Randall Cobb,GB,1,4,4,53,0,0,0,0
Eric Decker,DEN,1,7,5,50,0,0,0,0
Mike Brown,JAC,1,5,4,49,0,0,0,0
Doug Baldwin,SEA,1,4,4,48,0,0,0,0
DeAndre Hopkins,HOU,1,5,3,47,0,0,0,0
Dwayne Bowe,KC,1,4,3,46,0,0,0,0
Stephen Hill,NYJ,1,8,3,46,0,0,0,0
Rod Streater,OAK,1,7,3,46,0,0,0,0
Travis Benjamin,CLE,1,2,0,0,0,1,45,0
Cole Beasley,DAL,1,5,4,44,0,0,0,0
