,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Nick Novak,SD,1,4,4,100.0%,3,3
Jay Feely,ARI,1,4,4,100.0%,1,1
Sebastian Janikowski,OAK,1,4,5,80.0%,1,1
Alex Henery,PHI,1,3,4,75.0%,3,3
Blair Walsh,MIN,1,3,3,100.0%,3,3
Josh Brown,NYG,1,3,3,100.0%,2,2
Graham Gano,CAR,1,3,3,100.0%,2,2
Matt Prater,DEN,1,2,2,100.0%,5,5
Dan Bailey,DAL,1,3,3,100.0%,1,1
Dan Carpenter,BUF,1,3,4,75.0%,1,1
Garrett Hartley,NO,1,3,4,75.0%,1,1
Steve Hauschka,SEA,1,2,2,100.0%,3,3
Mason Crosby,GB,1,1,1,100.0%,5,5
Mike Nugent,CIN,1,2,2,100.0%,2,2
Adam Vinatieri,IND,1,2,3,66.7%,2,2
Matt Bryant,ATL,1,1,1,100.0%,4,4
Stephen Gostkowski,NE,1,2,3,66.7%,1,1
Robbie Gould,CHI,1,1,1,100.0%,4,4
Rob Bironas,TEN,1,1,2,50.0%,3,3
Billy Cundiff,CLE,1,2,2,100.0%,0,0
Caleb Sturgis,MIA,1,1,1,100.0%,3,3
Greg Zuerlein,STL,1,1,1,100.0%,3,3
Ryan Succop,KC,1,1,2,50.0%,2,2
Nick Folk,NYJ,1,1,1,100.0%,1,1
Shaun Suisham,PIT,1,1,1,100.0%,1,1
David Akers,DET,1,0,2,0.0%,3,3
Phil Dawson,SF,1,1,1,100.0%,0,0
Josh Scobee,JAC,1,1,1,100.0%,0,0
Randy Bullock,HOU,1,0,3,0.0%,2,2
Rian Lindell,TB,1,0,1,0.0%,2,2
John Potter,WAS,1,0,1,0.0%,2,2
Justin Tucker,BAL,1,0,2,0.0%,2,2
