,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Dan Carpenter,BUF,1,3,3,100.0%,4,4
Shaun Suisham,PIT,1,3,3,100.0%,4,4
Adam Vinatieri,IND,1,3,3,100.0%,3,3
Randy Bullock,HOU,1,3,3,100.0%,2,2
Robbie Gould,CHI,1,3,3,100.0%,2,2
Garrett Hartley,NO,1,3,3,100.0%,2,2
Steve Hauschka,SEA,1,2,2,100.0%,5,5
Rian Lindell,TB,1,2,3,66.7%,5,5
Mike Nugent,CIN,1,2,2,100.0%,5,5
Nick Novak,SD,1,3,3,100.0%,1,1
David Akers,DET,1,2,2,100.0%,3,3
Rob Bironas,TEN,1,2,2,100.0%,3,3
Josh Brown,NYG,1,2,2,100.0%,3,3
Jay Feely,ARI,1,2,2,100.0%,3,3
Matt Prater,DEN,1,2,3,66.7%,3,3
Matt Bryant,ATL,1,2,2,100.0%,2,2
Billy Cundiff,CLE,1,2,2,100.0%,2,2
Phil Dawson,SF,1,2,2,100.0%,2,2
Stephen Gostkowski,NE,1,2,2,100.0%,2,2
Caleb Sturgis,MIA,1,2,2,100.0%,2,2
Justin Tucker,BAL,1,2,2,100.0%,2,2
Blair Walsh,MIN,1,2,2,100.0%,2,2
Mason Crosby,GB,1,2,2,100.0%,1,1
Graham Gano,CAR,1,1,1,100.0%,3,3
Alex Henery,PHI,1,1,1,100.0%,3,3
Ryan Succop,KC,1,1,1,100.0%,2,2
Sebastian Janikowski,OAK,1,0,1,0.0%,4,4
Nick Folk,NYJ,1,0,1,0.0%,2,2
Josh Scobee,JAC,1,0,1,0.0%,2,2
