,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Jimmy Graham,NO,1,12,9,116,2
Rob Gronkowski,NE,1,10,9,143,1
Jason Witten,DAL,1,10,8,102,1
Tony Gonzalez,ATL,1,7,6,81,1
Greg Olsen,CAR,1,5,4,66,1
Tim Wright,TB,1,4,4,58,1
Zach Ertz,PHI,1,6,5,42,1
Jared Cook,STL,1,6,3,36,1
Kyle Rudolph,MIN,1,2,2,35,1
Brent Celek,PHI,1,4,3,27,1
Gary Barnidge,CLE,1,1,1,4,1
Coby Fleener,IND,1,5,3,64,0
Tom Crabtree,TB,1,1,1,2,1
Jordan Reed,WAS,1,5,4,37,0
Antonio Gates,SD,1,10,6,53,0
Zach Miller,SEA,1,5,3,49,0
Garrett Graham,HOU,1,6,4,46,0
Zach Sudfeld,NYJ,1,4,2,46,0
Heath Miller,PIT,1,5,4,43,0
Martellus Bennett,CHI,1,8,4,36,0
Mychal Rivera,OAK,1,5,4,36,0
Charles Clay,MIA,1,3,3,22,0
Andrew Quarless,GB,1,7,5,34,0
Jermaine Gresham,CIN,1,7,3,33,0
Scott Chandler,BUF,1,9,3,26,0
John Carlson,MIN,1,6,4,23,0
James Hanna,DAL,1,1,1,21,0
Anthony Fasano,KC,1,1,1,20,0
Michael Hoomanawanui,NE,1,2,1,17,0
Dallas Clark,BAL,1,1,1,14,0
Tyler Eifert,CIN,1,4,3,14,0
Michael Egnew,MIA,1,1,1,13,0
Lance Kendricks,STL,1,4,3,13,0
Delanie Walker,TEN,1,2,2,13,0
Ladarius Green,SD,1,1,1,10,0
Logan Paulsen,WAS,1,3,3,9,0
Niles Paul,WAS,1,2,1,6,0
Jordan Cameron,CLE,1,5,1,4,0
Ed Dickson,BAL,1,3,1,3,0
James Casey,PHI,1,1,0,0,0
Nick Kasa,OAK,1,1,0,0,0
Jeron Mastrud,OAK,1,1,0,0,0
Craig Stevens,TEN,1,1,0,0,0
Ben Watson,NO,1,1,0,0,0
