,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Nick Folk,NYJ,1,4,4,100.0%,2,2
Stephen Gostkowski,NE,1,2,2,100.0%,7,7
Ryan Succop,KC,1,3,3,100.0%,2,2
Graham Gano,CAR,1,2,2,100.0%,4,4
Dan Bailey,DAL,1,2,2,100.0%,3,3
Robbie Gould,CHI,1,2,2,100.0%,3,3
Steve Hauschka,SEA,1,2,2,100.0%,3,3
Mason Crosby,GB,1,2,2,100.0%,2,2
Garrett Hartley,NO,1,2,3,66.7%,2,2
Sebastian Janikowski,OAK,1,2,2,100.0%,2,2
Mike Nugent,CIN,1,2,2,100.0%,2,2
Caleb Sturgis,MIA,1,2,3,66.7%,2,2
Dan Carpenter,BUF,1,2,2,100.0%,1,1
Alex Henery,PHI,1,0,0,0.0%,7,7
Shaun Suisham,PIT,1,1,1,100.0%,4,4
Adam Vinatieri,IND,1,2,3,66.7%,1,1
Randy Bullock,HOU,1,1,4,25.0%,3,3
Billy Cundiff,CLE,1,1,1,100.0%,3,3
Kai Forbath,WAS,1,1,3,33.3%,3,3
Rian Lindell,TB,1,1,1,100.0%,3,3
Nick Novak,SD,1,1,1,100.0%,3,3
Blair Walsh,MIN,1,1,1,100.0%,2,3
Rob Bironas,TEN,1,0,0,0.0%,4,4
Matt Bryant,ATL,1,1,1,100.0%,1,1
Justin Tucker,BAL,1,1,1,100.0%,1,1
Greg Zuerlein,STL,1,0,1,0.0%,3,3
