,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Tony Gonzalez,ATL,1,14,12,149,2
Jimmy Graham,NO,1,4,4,100,2
Antonio Gates,SD,1,10,10,136,1
Jordan Cameron,CLE,1,12,10,91,1
Coby Fleener,IND,1,7,5,77,1
Garrett Graham,HOU,1,6,5,69,1
Sean McGrath,KC,1,5,5,64,1
Mychal Rivera,OAK,1,6,2,44,1
Charles Clay,MIA,1,6,6,42,1
Jeff Cumberland,NYJ,1,1,1,34,1
Martellus Bennett,CHI,1,12,8,90,0
Vernon Davis,SF,1,4,2,18,1
Delanie Walker,TEN,1,4,3,14,1
Kellen Winslow,NYJ,1,9,6,73,0
Owen Daniels,HOU,1,11,6,72,0
Heath Miller,PIT,1,8,6,70,0
Lance Kendricks,STL,1,1,1,6,1
Ben Watson,NO,1,2,1,4,1
Matthew Mulligan,NE,1,1,1,1,1
Brent Celek,PHI,1,6,3,57,0
Brandon Pettigrew,DET,1,7,7,54,0
Jermaine Gresham,CIN,1,5,3,53,0
Logan Paulsen,WAS,1,2,2,46,0
Jared Cook,STL,1,9,4,45,0
Julius Thomas,DEN,1,4,4,43,0
Jason Witten,DAL,1,10,5,43,0
Tim Wright,TB,1,6,5,41,0
Tyler Eifert,CIN,1,5,3,39,0
Clay Harbor,JAC,1,3,2,39,0
Zach Ertz,PHI,1,2,1,38,0
Dallas Clark,BAL,1,9,4,34,0
Scott Chandler,BUF,1,3,2,28,0
Lee Smith,BUF,1,2,1,28,0
Kevin Brock,KC,1,2,2,27,0
Robert Housler,ARI,1,2,1,23,0
Tony Scheffler,DET,1,2,1,22,0
Dominique Jones,IND,1,1,1,21,0
Niles Paul,WAS,1,3,2,20,0
James Casey,PHI,1,1,1,12,0
Ed Dickson,BAL,1,3,2,12,0
Jim Dray,ARI,1,1,1,10,0
Vance McDonald,SF,1,2,1,9,0
David Johnson,PIT,1,1,1,8,0
Jeron Mastrud,OAK,1,2,1,8,0
Zach Miller,SEA,1,3,1,7,0
John Phillips,SD,1,1,1,7,0
Kyle Rudolph,MIN,1,2,2,6,0
Virgil Green,DEN,1,1,1,5,0
John Carlson,MIN,1,2,1,4,0
Levine Toilolo,ATL,1,2,1,4,0
