,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Vincent Rey,CIN,1,10,5,3.0,3,1,0,0
DeMeco Ryans,PHI,1,11,2,0.0,1,1,0,0
Ahmad Brooks,SF,1,4,1,3.0,1,0,0,0
Luke Kuechly,CAR,1,11,0,1.0,1,0,0,0
Sio Moore,OAK,1,8,2,1.0,0,0,1,0
Dannell Ellerbe,MIA,1,11,0,1.0,0,0,0,0
Colin McCarthy,TEN,1,4,3,0.0,1,1,1,0
Paul Worrilow,ATL,1,10,9,0.0,0,0,0,0
Geno Hayes,JAC,1,9,2,0.0,1,0,1,0
Elvis Dumervil,BAL,1,2,1,2.5,1,0,0,0
Lawrence Timmons,PIT,1,7,1,1.0,1,0,0,0
Jerry Hughes,BUF,1,4,0,2.0,0,0,0,0
James Laurinaitis,STL,1,4,4,0.0,1,1,0,0
DeAndre Levy,DET,1,5,1,0.0,1,1,0,0
Paul Posluszny,JAC,1,5,3,0.0,0,0,1,1
Bruce Carter,DAL,1,9,3,0.0,0,0,0,0
Chad Greenway,MIN,1,5,11,0.0,0,0,0,0
Lamarr Houston,OAK,1,5,1,0.0,0,0,1,1
Patrick Willis,SF,1,6,1,1.0,0,0,0,0
Donald Butler,SD,1,7,0,0.0,1,0,0,1
Erin Henderson,MIN,1,4,10,0.0,1,0,0,0
Keith Rivers,NYG,1,4,4,1.0,0,0,0,0
Danny Trevathan,DEN,1,9,2,0.0,0,0,0,0
Vontaze Burfict,CIN,1,5,7,0.0,1,0,0,0
Von Miller,DEN,1,5,1,1.0,0,0,0,0
A.J. Klein,CAR,1,5,0,1.0,0,0,0,0
Derrick Morgan,TEN,1,4,2,1.0,0,0,0,0
Bobby Wagner,SEA,1,9,0,0.0,0,0,0,0
Wesley Woodyard,DEN,1,5,6,0.0,1,0,0,0
Karlos Dansby,ARI,1,6,1,0.0,2,0,0,0
Kiko Alonso,BUF,1,6,4,0.0,0,0,0,0
Jerrell Freeman,IND,1,6,4,0.0,0,0,0,0
Daryl Smith,BAL,1,3,6,0.0,2,0,0,0
Joplo Bartu,ATL,1,1,5,1.0,0,0,0,0
Thomas Davis,CAR,1,4,1,0.0,0,0,1,0
Daryl Washington,ARI,1,5,3,0.0,1,0,0,0
Russell Allen,JAC,1,4,2,0.0,0,0,0,1
Navorro Bowman,SF,1,7,0,0.0,0,0,0,0
Trent Cole,PHI,1,6,2,0.0,0,0,0,0
A.J. Hawk,GB,1,7,0,0.0,0,0,0,0
Stephen Tulloch,DET,1,7,0,0.0,0,0,0,0
Will Witherspoon,STL,1,1,0,0.0,1,1,0,0
Pat Angerer,IND,1,5,3,0.0,0,0,0,0
Joe Mays,HOU,1,4,3,0.0,1,0,0,0
Brian Orakpo,WAS,1,2,1,1.0,0,0,0,0
Nick Roach,OAK,1,6,1,0.0,0,0,0,0
Darryl Sharpton,HOU,1,5,3,0.0,0,0,0,0
Mason Foster,TB,1,6,0,0.0,0,0,0,0
Brooks Reed,HOU,1,6,0,0.0,0,0,0,0
James Anderson,CHI,1,5,1,0.0,0,0,0,0
