,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Eric Decker,DEN,1,12,8,174,4,0,0,0
Josh Gordon,CLE,1,15,10,261,2,0,0,0
Alshon Jeffery,CHI,1,15,12,249,2,1,0,0
Brian Hartline,MIA,1,15,9,127,1,0,0,0
Calvin Johnson,DET,1,10,6,101,1,0,0,0
Michael Floyd,ARI,1,10,5,99,1,0,0,0
Torrey Smith,BAL,1,10,6,93,1,0,0,0
A.J. Green,CIN,1,7,5,83,1,0,0,0
Roddy White,ATL,1,14,10,143,0,0,0,0
Mike Wallace,MIA,1,9,7,82,1,0,0,0
Greg Jennings,MIN,1,9,7,78,1,0,0,0
Doug Baldwin,SEA,1,5,4,77,1,0,0,0
Andre Holmes,OAK,1,11,7,136,0,0,0,0
Larry Fitzgerald,ARI,1,8,5,72,1,0,0,0
Cecil Shorts,JAC,1,11,6,64,1,0,0,0
Dez Bryant,DAL,1,9,7,61,1,0,0,0
Andre Johnson,HOU,1,9,8,121,0,0,0,0
Ted Ginn Jr.,CAR,1,4,2,47,1,0,0,0
Keenan Allen,SD,1,10,8,106,0,0,0,0
Demaryius Thomas,DEN,1,6,3,106,0,0,0,0
Emmanuel Sanders,PIT,1,11,6,43,1,0,0,0
Junior Hemingway,KC,1,3,3,42,1,0,0,0
Julian Edelman,NE,1,12,9,101,0,0,0,0
Brian Quick,STL,1,4,3,41,1,0,0,0
Anquan Boldin,SF,1,13,9,98,0,0,0,0
Brandon LaFell,CAR,1,7,3,36,1,0,0,0
Cordarrelle Patterson,MIN,1,4,1,4,0,2,27,1
Nate Washington,TEN,1,6,5,81,0,0,0,0
Victor Cruz,NYG,1,7,6,80,0,0,0,0
Kevin Ogletree,DET,1,1,1,20,1,0,0,0
James Jones,GB,1,5,3,79,0,0,0,0
DeAndre Hopkins,HOU,1,5,2,77,0,0,0,0
Kendall Wright,TEN,1,11,6,77,0,0,0,0
Jerome Simpson,MIN,1,9,3,76,0,0,0,0
Vincent Jackson,TB,1,5,3,75,0,1,0,0
Harry Douglas,ATL,1,15,6,73,0,0,0,0
Andrew Hawkins,CIN,1,3,3,65,0,1,6,0
Ace Sanders,JAC,1,11,8,67,0,1,4,0
Greg Little,CLE,1,4,2,9,1,0,0,0
Michael Crabtree,SF,1,4,2,68,0,0,0,0
Kris Durham,DET,1,7,3,68,0,0,0,0
Jerricho Cotchery,PIT,1,6,2,6,1,0,0,0
Pierre Garcon,WAS,1,12,9,61,0,0,0,0
Antonio Brown,PIT,1,8,5,59,0,0,0,0
Rod Streater,OAK,1,4,3,57,0,0,0,0
Dwayne Bowe,KC,1,7,3,56,0,0,0,0
Steve Johnson,BUF,1,8,5,55,0,0,0,0
Danny Amendola,NE,1,5,5,54,0,0,0,0
Jacoby Jones,BAL,1,7,4,53,0,0,0,0
Jarius Wright,MIN,1,3,3,53,0,0,0,0
