,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
John Carlson,MIN,1,7,7,98,1
Julius Thomas,DEN,1,5,3,96,1
Jordan Reed,WAS,1,9,6,62,1
Delanie Walker,TEN,1,8,4,62,1
Robert Housler,ARI,1,5,4,57,1
Brandon Bostick,GB,1,3,3,42,1
Chris Gragg,BUF,1,6,4,25,1
Brandon Pettigrew,DET,1,5,5,70,0
Taylor Thompson,TEN,1,1,1,9,1
Logan Paulsen,WAS,1,3,2,3,1
Antonio Gates,SD,1,8,4,62,0
Ryan Griffin,HOU,1,1,1,2,1
Dallas Clark,BAL,1,2,1,1,1
Jimmy Graham,NO,1,5,5,59,0
Tyler Eifert,CIN,1,10,3,55,0
Marcedes Lewis,JAC,1,6,3,39,0
Coby Fleener,IND,1,10,4,33,0
Martellus Bennett,CHI,1,6,4,29,0
Tony Gonzalez,ATL,1,5,3,29,0
Ed Dickson,BAL,1,4,3,28,0
Jason Witten,DAL,1,6,2,27,0
Joseph Fauria,DET,1,2,1,25,0
Ladarius Green,SD,1,1,1,25,0
Mychal Rivera,OAK,1,2,2,22,0
Scott Chandler,BUF,1,3,3,21,0
Charles Clay,MIA,1,8,4,21,0
Luke Willson,SEA,1,2,1,19,0
Tim Wright,TB,1,1,1,19,0
Garrett Graham,HOU,1,3,2,18,0
Jared Cook,STL,1,2,1,17,0
Jake Ballard,ARI,1,1,1,15,0
Greg Olsen,CAR,1,3,1,14,0
Clay Harbor,JAC,1,1,1,13,0
James Hanna,DAL,1,3,3,11,0
Jim Dray,ARI,1,2,1,9,0
James Casey,PHI,1,2,1,8,0
Michael Palmer,PIT,1,1,1,8,0
Andrew Quarless,GB,1,4,1,8,0
Brent Celek,PHI,1,1,1,7,0
Michael Egnew,MIA,1,2,1,7,0
Heath Miller,PIT,1,5,1,6,0
Craig Stevens,TEN,1,1,1,6,0
Ben Watson,NO,1,3,1,5,0
Virgil Green,DEN,1,1,1,4,0
Ryan Taylor,GB,1,1,1,4,0
Alex Smith,CIN,1,2,1,3,0
Vernon Davis,SF,1,2,1,2,0
Vance McDonald,SF,1,2,0,0,0
Dante Rosario,CHI,1,2,0,0,0
Lee Smith,BUF,1,1,0,0,0
