,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Lavonte David,TB,1,8,1,1.0,2,2,0,0
Karlos Dansby,ARI,1,8,0,1.0,1,1,0,0
Sean Weatherspoon,ATL,1,4,3,0.0,1,1,0,0
Junior Galette,NO,1,4,2,3.0,0,0,0,0
Paul Worrilow,ATL,1,7,5,1.5,1,0,0,0
Jason Worilds,PIT,1,8,0,2.0,0,0,0,0
Navorro Bowman,SF,1,8,1,1.0,0,0,1,0
Paul Kruger,CLE,1,2,2,2.0,1,0,1,0
Chad Greenway,MIN,1,6,5,0.0,1,1,0,0
Mason Foster,TB,1,7,2,0.0,1,1,0,0
Tamba Hali,KC,1,5,1,2.0,0,0,0,0
D'Qwell Jackson,CLE,1,4,5,0.0,1,1,0,0
Alec Ogletree,STL,1,8,1,1.0,0,0,0,0
Nick Roach,OAK,1,8,1,0.0,1,0,1,0
Jonathan Massaquoi,ATL,1,5,2,1.5,0,0,0,0
Paul Posluszny,JAC,1,10,3,0.0,0,0,0,0
Donald Butler,SD,1,3,2,0.0,2,1,0,0
Von Miller,DEN,1,3,0,1.0,1,0,1,0
Kevin Burnett,OAK,1,4,1,0.0,1,1,0,0
Derrick Johnson,KC,1,3,1,0.0,2,1,0,0
Luke Kuechly,CAR,1,10,1,0.0,0,0,0,0
Audie Cole,MIN,1,7,6,0.0,0,0,0,0
Kyle Wilber,DAL,1,9,1,0.0,0,0,0,0
James Anderson,CHI,1,5,0,1.0,0,0,0,0
Vontaze Burfict,CIN,1,6,2,0.0,2,0,0,0
Dont'a Hightower,NE,1,7,4,0.0,0,0,0,0
Mychal Kendricks,PHI,1,4,1,0.0,2,0,0,1
Calvin Pace,NYJ,1,4,1,1.0,0,0,0,0
Perry Riley,WAS,1,1,1,0.0,2,1,0,0
Frank Zombo,KC,1,1,1,1.0,0,0,1,0
Moise Fokou,TEN,1,8,0,0.0,0,0,0,0
Curtis Lofton,NO,1,6,4,0.0,0,0,0,0
Stephen Tulloch,DET,1,6,4,0.0,0,0,0,0
Bobby Wagner,SEA,1,7,2,0.0,0,0,0,0
Geno Hayes,JAC,1,1,1,0.0,1,1,0,0
Ryan Kerrigan,WAS,1,7,1,0.0,0,0,0,0
Jon Beason,NYG,1,5,4,0.0,0,0,0,0
Bruce Carter,DAL,1,6,0,0.0,1,0,0,0
Jamie Collins,NE,1,4,4,0.0,1,0,0,0
Barkevious Mingo,CLE,1,2,2,1.0,0,0,0,0
Brooks Reed,HOU,1,3,0,1.0,0,0,0,0
Jerrell Freeman,IND,1,4,5,0.0,0,0,0,0
David Harris,NYJ,1,5,3,0.0,0,0,0,0
Ahmad Brooks,SF,1,5,0,0.0,1,0,0,0
Arthur Brown,BAL,1,3,0,0.0,0,0,1,0
London Fletcher,WAS,1,4,4,0.0,0,0,0,0
Brian Orakpo,WAS,1,5,2,0.0,0,0,0,0
Daryl Smith,BAL,1,1,6,0.0,2,0,0,0
Danny Trevathan,DEN,1,4,2,0.0,1,0,0,0
Daryl Washington,ARI,1,5,2,0.0,0,0,0,0
