,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Graham Gano,CAR,1,4,5,80.0%,3,3
Jason Myers,JAC,1,4,4,100.0%,1,2
Adam Vinatieri,IND,1,4,4,100.0%,1,2
Cairo Santos,KC,1,3,4,75.0%,3,3
Chris Boswell,PIT,1,3,3,100.0%,1,1
Travis Coons,CLE,1,2,3,66.7%,3,3
Matt Prater,DET,1,1,1,100.0%,6,6
Justin Tucker,BAL,1,2,2,100.0%,3,3
Randy Bullock,NYJ,1,1,1,100.0%,5,5
Dustin Hopkins,WAS,1,2,3,66.7%,2,2
Blair Walsh,MIN,1,2,3,66.7%,2,2
Chandler Catanzaro,ARI,1,2,2,100.0%,1,2
Mason Crosby,GB,1,2,2,100.0%,1,1
Phil Dawson,SF,1,2,2,100.0%,1,1
Josh Lambo,SD,1,1,1,100.0%,4,4
Mike Nugent,CIN,1,1,1,100.0%,4,4
Dan Bailey,DAL,1,2,2,100.0%,0,0
Connor Barth,TB,1,2,3,66.7%,0,1
Kai Forbath,NO,1,2,2,100.0%,0,0
Stephen Gostkowski,NE,1,1,1,100.0%,3,3
Sebastian Janikowski,OAK,1,1,1,100.0%,3,3
Brandon McManus,DEN,1,1,2,50.0%,3,3
Nick Novak,HOU,1,1,1,100.0%,3,3
Robbie Gould,CHI,1,1,1,100.0%,2,2
Dan Carpenter,BUF,1,1,1,100.0%,1,2
Shayne Graham,ATL,1,1,1,100.0%,1,1
Steve Hauschka,SEA,1,0,0,0.0%,3,4
Josh Brown,NYG,1,0,0,0.0%,2,2
Andrew Franks,MIA,1,0,0,0.0%,2,3
Caleb Sturgis,PHI,1,0,1,0.0%,2,2
Zach Hocker,STL,1,0,0,0.0%,1,1
Ryan Succop,TEN,1,0,0,0.0%,1,2
