,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Josh McCown,CLE,1,36,51,457,2,0,3,12,1
Eli Manning,NYG,1,41,54,441,3,1,1,11,0
Blake Bortles,JAC,1,23,33,303,4,1,1,21,0
Andy Dalton,CIN,1,30,44,331,2,1,7,18,1
Tom Brady,NE,1,20,27,275,2,0,2,3,1
Joe Flacco,BAL,1,19,35,210,1,0,2,2,2
Philip Rivers,SD,1,35,48,365,2,1,0,0,0
Brian Hoyer,HOU,1,24,31,312,2,1,1,14,0
Sam Bradford,PHI,1,32,45,333,2,2,1,3,0
Drew Brees,NO,1,26,43,335,2,1,1,-1,0
Aaron Rodgers,GB,1,19,30,241,2,2,8,39,0
Colin Kaepernick,SF,1,23,35,262,2,0,3,23,0
Tyrod Taylor,BUF,1,10,17,109,1,0,8,76,1
Jay Cutler,CHI,1,26,45,252,2,0,4,15,0
Carson Palmer,ARI,1,11,14,161,3,0,1,-1,0
Matt Hasselbeck,IND,1,18,29,213,2,0,3,-3,0
Russell Wilson,SEA,1,15,23,213,1,1,3,21,0
Michael Vick,PIT,1,13,26,203,1,1,1,24,0
Derek Carr,OAK,1,26,39,249,1,1,1,-1,0
Jameis Winston,TB,1,13,19,209,1,0,4,9,0
Alex Smith,KC,1,16,30,181,1,0,3,21,0
Kirk Cousins,WAS,1,21,32,219,1,2,1,1,0
Matt Ryan,ATL,1,24,42,254,0,2,3,20,0
Marcus Mariota,TEN,1,21,32,187,0,1,5,47,0
Matthew Stafford,DET,1,20,32,188,1,3,1,2,0
Dan Orlovsky,DET,1,21,38,191,1,1,0,0,0
Peyton Manning,DEN,1,22,35,266,0,2,0,0,0
Nick Foles,STL,1,11,30,141,1,4,1,2,0
Brandon Weeden,DAL,1,26,39,188,0,1,3,18,0
Ryan Mallett,HOU,1,7,10,50,0,1,1,0,0
Drew Stanton,ARI,1,1,4,10,0,0,3,-3,0
Jimmy Garoppolo,NE,1,0,0,0,0,0,2,-2,0
