,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Caleb Sturgis,PHI,1,4,4,100.0%,3,4
Travis Coons,CLE,1,4,4,100.0%,1,1
Connor Barth,TB,1,3,3,100.0%,3,3
Josh Brown,NYG,1,3,3,100.0%,3,3
Stephen Gostkowski,NE,1,3,3,100.0%,3,3
Brandon McManus,DEN,1,3,3,100.0%,1,1
Phil Dawson,SF,1,2,2,100.0%,3,3
Mike Nugent,CIN,1,2,2,100.0%,3,3
Adam Vinatieri,IND,1,2,2,100.0%,3,3
Josh Lambo,SD,1,2,3,66.7%,2,2
Nick Novak,HOU,1,2,2,100.0%,2,2
Matt Bryant,ATL,1,2,4,50.0%,1,1
Dustin Hopkins,WAS,1,2,3,66.7%,1,1
Jason Myers,JAC,1,1,1,100.0%,4,4
Ryan Succop,TEN,1,2,2,100.0%,1,1
Dan Bailey,DAL,1,2,2,100.0%,0,0
Chris Boswell,PIT,1,1,1,100.0%,3,3
Chandler Catanzaro,ARI,1,0,0,0.0%,6,6
Mason Crosby,GB,1,1,1,100.0%,3,3
Robbie Gould,CHI,1,2,2,100.0%,0,0
Steve Hauschka,SEA,1,1,1,100.0%,3,3
Justin Tucker,BAL,1,1,2,50.0%,3,3
Zach Hocker,NO,1,1,1,100.0%,2,2
Matt Prater,DET,1,1,1,100.0%,2,2
Cairo Santos,KC,1,1,3,33.3%,2,2
Sebastian Janikowski,OAK,1,1,3,33.3%,1,1
Greg Zuerlein,STL,1,1,4,25.0%,1,1
Dan Carpenter,BUF,1,0,0,0.0%,2,2
