,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Justin Tucker,BAL,1,5,5,100.0%,2,2
Adam Vinatieri,IND,1,4,4,100.0%,2,2
Dan Bailey,DAL,1,4,4,100.0%,0,0
Connor Barth,TB,1,3,3,100.0%,2,2
Graham Gano,CAR,1,3,3,100.0%,2,3
Blair Walsh,MIN,1,3,3,100.0%,2,2
Chandler Catanzaro,ARI,1,2,2,100.0%,4,4
Kai Forbath,NO,1,1,1,100.0%,7,7
Stephen Gostkowski,NE,1,2,2,100.0%,4,4
Sebastian Janikowski,OAK,1,2,3,66.7%,4,4
Mike Nugent,CIN,1,3,4,75.0%,1,1
Brandon McManus,DEN,1,2,2,100.0%,3,3
Cairo Santos,KC,1,1,1,100.0%,6,6
Matt Bryant,ATL,1,2,2,100.0%,2,2
Nick Folk,NYJ,1,2,2,100.0%,2,2
Robbie Gould,CHI,1,2,3,66.7%,2,2
Josh Lambo,SD,1,2,2,100.0%,2,3
Nick Novak,HOU,1,2,2,100.0%,2,2
Josh Brown,NYG,1,0,0,0.0%,7,7
Steve Hauschka,SEA,1,2,3,66.7%,1,1
Phil Dawson,SF,1,2,2,100.0%,0,0
Ryan Succop,TEN,1,2,2,100.0%,0,0
Greg Zuerlein,STL,1,1,2,50.0%,2,2
Chris Boswell,PIT,1,1,1,100.0%,1,1
Mason Crosby,GB,1,1,1,100.0%,1,1
Matt Prater,DET,1,1,1,100.0%,1,1
Travis Coons,CLE,1,0,0,0.0%,2,3
Andrew Franks,MIA,1,0,1,0.0%,1,1
