,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Ziggy Ansah,DET,1,3,1,3.5,0,0,1,1
J.J. Watt,HOU,1,3,2,2.0,0,0,0,0
Derek Wolfe,DEN,1,6,2,1.0,0,0,0,0
Vinny Curry,PHI,1,2,0,2.0,0,0,0,0
Rob Ninkovich,NE,1,4,2,1.0,0,0,0,0
Sheldon Richardson,NYJ,1,1,0,1.0,1,0,1,0
Tyrone Crawford,DAL,1,4,1,1.0,0,0,0,0
Roy Miller,JAC,1,4,1,1.0,0,0,0,0
Olivier Vernon,MIA,1,4,1,1.0,0,0,0,0
Muhammad Wilkerson,NYJ,1,3,1,1.0,1,0,0,0
Malcom Brown,NE,1,4,0,1.0,0,0,0,0
Devon Kennard,NYG,1,5,5,0.0,0,0,0,0
Shea McClellin,CHI,1,5,5,0.0,0,0,0,0
Geno Atkins,CIN,1,3,0,1.0,0,0,0,0
Howard Jones,TB,1,3,0,1.0,0,0,0,0
Cameron Jordan,NO,1,2,2,1.0,0,0,0,0
Dontari Poe,KC,1,2,0,0.0,0,0,1,1
Kendall Reyes,SD,1,2,0,1.0,1,0,0,0
Akeem Spence,TB,1,3,0,1.0,0,0,0,0
Mike Purcell,SF,1,2,1,1.0,0,0,0,0
Ahtyba Rubin,SEA,1,0,1,0.0,1,1,0,0
Cliff Avril,SEA,1,2,0,1.0,0,0,0,0
Alan Branch,NE,1,4,0,0.0,2,0,0,0
Marcell Dareus,BUF,1,6,0,0.0,0,0,0,0
Cameron Heyward,PIT,1,1,2,1.0,0,0,0,0
Gerald McCoy,TB,1,2,0,1.0,0,0,0,0
Connor Barwin,PHI,1,4,1,0.0,1,0,0,0
Devin Taylor,DET,1,3,1,0.5,0,0,0,0
Chris Baker,WAS,1,1,0,1.0,0,0,0,0
Frank Clark,SEA,1,1,0,1.0,0,0,0,0
Kony Ealy,CAR,1,1,0,1.0,0,0,0,0
Everson Griffen,MIN,1,1,0,1.0,0,0,0,0
John Jenkins,NO,1,4,2,0.0,0,0,0,0
Bennie Logan,PHI,1,5,0,0.0,0,0,0,0
Jared Odrick,JAC,1,1,0,1.0,0,0,0,0
Vance Walker,DEN,1,1,0,1.0,0,0,0,0
Kroy Biermann,ATL,1,2,5,0.0,0,0,0,0
William Gholston,TB,1,3,1,0.0,1,0,0,0
Timmy Jernigan,BAL,1,2,1,0.5,0,0,0,0
Ian Williams,SF,1,4,1,0.0,0,0,0,0
Nick Hayden,DAL,1,3,2,0.0,0,0,0,0
Jaye Howard,KC,1,2,0,0.0,0,0,0,1
Preston Smith,WAS,1,2,2,0.0,1,0,0,0
Kerry Wynn,NYG,1,2,4,0.0,0,0,0,0
Jonathan Babineaux,ATL,1,3,1,0.0,0,0,0,0
Jurrell Casey,TEN,1,1,5,0.0,0,0,0,0
Markus Golden,ARI,1,1,1,0.5,0,0,0,0
Tyson Jackson,ATL,1,3,1,0.0,0,0,0,0
Aaron Lynch,SF,1,2,1,0.0,1,0,0,0
Brandon Graham,PHI,1,3,0,0.0,0,0,0,0
