,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Dan Bailey,DAL,1,4,4,100.0%,1,1
Chris Boswell,PIT,1,3,4,75.0%,4,4
Shayne Graham,ATL,1,4,4,100.0%,1,1
Mike Nugent,CIN,1,3,3,100.0%,4,4
Randy Bullock,NYJ,1,3,3,100.0%,2,2
Matt Prater,DET,1,3,3,100.0%,2,2
Dustin Hopkins,WAS,1,3,4,75.0%,1,1
Chandler Catanzaro,ARI,1,2,2,100.0%,3,3
Josh Brown,NYG,1,2,3,66.7%,2,2
Robbie Gould,CHI,1,2,4,50.0%,2,2
Steve Hauschka,SEA,1,1,1,100.0%,5,5
Justin Tucker,BAL,1,2,3,66.7%,1,1
Dan Carpenter,BUF,1,1,2,50.0%,3,4
Ryan Succop,TEN,1,0,0,0.0%,6,6
Connor Barth,TB,1,1,1,100.0%,2,2
Graham Gano,CAR,1,0,0,0.0%,5,6
Brandon McManus,DEN,1,1,2,50.0%,2,2
Caleb Sturgis,PHI,1,0,0,0.0%,5,5
Kai Forbath,NO,1,0,1,0.0%,4,4
Stephen Gostkowski,NE,1,0,0,0.0%,4,4
Adam Vinatieri,IND,1,1,1,100.0%,1,1
Travis Coons,CLE,1,1,2,50.0%,0,0
Mason Crosby,GB,1,0,1,0.0%,3,3
Zach Hocker,STL,1,1,1,100.0%,0,0
Josh Lambo,SD,1,1,2,50.0%,0,0
Jason Myers,JAC,1,0,0,0.0%,3,5
Phil Dawson,SF,1,0,0,0.0%,2,3
Sebastian Janikowski,OAK,1,0,1,0.0%,2,3
Cairo Santos,KC,1,0,0,0.0%,2,3
Andrew Franks,MIA,1,0,0,0.0%,1,1
Nick Novak,HOU,1,0,0,0.0%,1,2
Blair Walsh,MIN,1,0,0,0.0%,1,1
