,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Kirk Cousins,WAS,1,20,25,324,4,0,0,0,0
Ben Roethlisberger,PIT,1,22,33,379,3,1,2,-2,0
Carson Palmer,ARI,1,29,48,363,3,1,3,-2,0
Joe Flacco,BAL,1,34,45,316,3,2,2,17,0
Jay Cutler,CHI,1,19,24,258,3,0,3,24,0
Eli Manning,NYG,1,24,44,361,2,0,1,10,0
Tom Brady,NE,1,26,42,334,2,1,2,9,0
Aaron Rodgers,GB,1,35,61,333,2,0,2,8,0
Derek Carr,OAK,1,29,43,302,2,2,2,12,0
Johnny Manziel,CLE,1,33,45,372,1,1,3,17,0
Cam Newton,CAR,1,21,26,217,1,0,9,23,1
Russell Wilson,SEA,1,14,32,240,1,1,6,52,0
Ryan Fitzpatrick,NYJ,1,15,34,193,2,2,3,30,0
Matthew Stafford,DET,1,24,38,242,2,1,2,1,0
Blake Bortles,JAC,1,22,45,188,2,1,2,25,0
Jameis Winston,TB,1,22,39,264,0,2,2,0,1
Ryan Tannehill,MIA,1,21,36,217,2,0,2,-2,0
Drew Brees,NO,1,19,28,209,2,2,0,0,0
Alex Smith,KC,1,17,31,204,1,0,6,33,0
Sam Bradford,PHI,1,19,25,236,1,0,1,0,0
Teddy Bridgewater,MIN,1,14,22,140,1,0,2,23,0
Brock Osweiler,DEN,1,14,24,146,1,1,3,18,0
Tyrod Taylor,BUF,1,17,27,158,1,0,6,12,0
Andy Dalton,CIN,1,22,38,197,0,1,5,30,0
Marcus Mariota,TEN,1,16,24,185,0,1,5,24,0
Nick Foles,STL,1,17,36,200,0,1,0,0,0
Matt Cassel,DAL,1,19,30,186,0,1,1,2,0
Mark Sanchez,PHI,1,14,23,156,0,1,2,4,0
Brian Hoyer,HOU,1,12,22,123,0,1,1,15,0
T.J. Yates,HOU,1,5,11,69,1,0,2,-2,0
Peyton Manning,DEN,1,5,20,35,0,4,0,0,0
Landry Jones,PIT,1,3,4,23,0,0,0,0,0
