,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Antonio Brown,PIT,1,18,16,189,2,0,0,0
Emmanuel Sanders,DEN,1,16,10,181,1,1,24,0
Amari Cooper,OAK,1,9,6,120,2,0,0,0
Sammy Watkins,BUF,1,10,5,111,2,0,0,0
Jordan Matthews,PHI,1,11,8,159,1,0,0,0
DeSean Jackson,WAS,1,8,6,153,1,0,0,0
Ted Ginn Jr.,CAR,1,14,6,85,2,0,0,0
Tavon Austin,STL,1,3,3,41,1,4,32,1
Kamar Aiken,BAL,1,12,8,128,1,0,0,0
Brandin Cooks,NO,1,13,10,124,1,0,0,0
Demaryius Thomas,DEN,1,12,5,61,2,0,0,0
Julio Jones,ATL,1,13,9,118,1,0,0,0
Stefon Diggs,MIN,1,4,3,55,2,0,0,0
Doug Baldwin,SEA,1,6,4,45,2,0,0,0
Golden Tate,DET,1,6,6,45,2,0,0,0
Mike Evans,TB,1,17,9,157,0,0,0,0
James Jones,GB,1,9,6,82,1,0,0,0
Odell Beckham Jr.,NYG,1,9,6,76,1,0,0,0
Anquan Boldin,SF,1,10,8,74,1,0,0,0
Kenny Britt,STL,1,2,2,71,1,0,0,0
Markus Wheaton,PIT,1,11,6,62,1,0,0,0
Allen Robinson,JAC,1,5,3,57,1,0,0,0
Eric Decker,NYJ,1,10,6,55,1,0,0,0
Tyler Lockett,SEA,1,7,5,55,1,0,0,0
Dorial Green-Beckham,TEN,1,9,6,113,0,0,0,0
Philly Brown,CAR,1,4,3,51,1,0,0,0
Donte Moncrief,IND,1,7,5,51,1,0,0,0
Dez Bryant,DAL,1,9,4,50,1,0,0,0
Jermaine Kearse,SEA,1,8,7,110,0,0,0,0
Jeremy Maclin,KC,1,10,7,50,1,0,0,0
Rueben Randle,NYG,1,5,4,47,1,0,0,0
Marques Colston,NO,1,4,2,39,1,0,0,0
John Brown,ARI,1,9,3,38,1,0,0,0
Pierre Garcon,WAS,1,4,3,34,1,0,0,0
DeAndre Hopkins,HOU,1,11,8,94,0,0,0,0
Devin Funchess,CAR,1,7,2,30,1,0,0,0
Marvin Jones,CIN,1,6,4,89,0,0,0,0
Brandon LaFell,NE,1,5,4,88,0,1,0,0
Martavis Bryant,PIT,1,14,10,87,0,0,0,0
DeVante Parker,MIA,1,6,4,87,0,0,0,0
Jaelen Strong,HOU,1,2,2,23,1,0,0,0
Dontrelle Inman,SD,1,5,3,78,0,0,0,0
Willie Snead,NO,1,12,10,76,0,0,0,0
Brandon Marshall,NYJ,1,7,4,74,0,0,0,0
Michael Crabtree,OAK,1,11,6,70,0,0,0,0
Michael Floyd,ARI,1,8,5,70,0,0,0,0
Alshon Jeffery,CHI,1,5,1,10,1,0,0,0
Jeremy Butler,BAL,1,5,3,60,0,0,0,0
Adam Humphries,TB,1,6,6,60,0,0,0,0
Randall Cobb,GB,1,7,5,40,0,4,18,0
