,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Jordan Reed,WAS,1,9,9,120,1
Rob Gronkowski,NE,1,4,4,87,1
Zach Miller,CHI,1,6,5,85,1
Gary Barnidge,CLE,1,7,5,84,1
Julius Thomas,JAC,1,7,5,54,1
Mychal Rivera,OAK,1,4,3,49,1
Zach Ertz,PHI,1,7,5,98,0
Will Tye,NYG,1,5,5,30,1
Antonio Gates,SD,1,8,6,76,0
Vernon Davis,DEN,1,9,7,74,0
Delanie Walker,TEN,1,13,7,71,0
Ben Watson,NO,1,11,7,70,0
Heath Miller,PIT,1,10,10,66,0
Kyle Rudolph,MIN,1,6,6,67,0
Ed Dickson,CAR,1,1,1,4,1
Richard Rodgers,GB,1,2,1,3,1
Greg Olsen,CAR,1,4,3,52,0
Blake Bell,SF,1,3,3,49,0
Clive Walford,OAK,1,7,3,47,0
Owen Daniels,DEN,1,4,3,43,0
Darren Fells,ARI,1,4,3,43,0
Tyler Eifert,CIN,1,2,2,42,0
Rhett Ellison,MIN,1,1,1,41,0
Jason Witten,DAL,1,9,5,40,0
MyCole Pruitt,MIN,1,2,2,36,0
Jordan Cameron,MIA,1,4,3,35,0
Tyler Kroft,CIN,1,3,2,31,0
Austin Seferian-Jenkins,TB,1,6,3,31,0
Eric Ebron,DET,1,5,3,27,0
Ladarius Green,SD,1,6,2,26,0
Jacob Tamme,ATL,1,5,4,26,0
Clay Harbor,JAC,1,2,2,21,0
Ryan Griffin,HOU,1,6,1,20,0
Cooper Helfet,SEA,1,2,2,20,0
Demetrius Harris,KC,1,2,2,18,0
Travis Kelce,KC,1,5,3,18,0
Cameron Brate,TB,1,3,2,16,0
Phillip Supernaw,TEN,1,2,1,16,0
Marcedes Lewis,JAC,1,2,1,14,0
Dion Sims,MIA,1,5,3,14,0
Jared Cook,STL,1,1,1,11,0
Chris Gragg,BUF,1,2,1,11,0
Scott Simonson,CAR,1,1,1,10,0
Charles Clay,BUF,1,2,1,9,0
Ryan Hewitt,CIN,1,1,1,9,0
Luke Willson,SEA,1,2,1,8,0
Derek Carrier,WAS,1,1,1,7,0
Brandon Pettigrew,DET,1,1,1,7,0
Coby Fleener,IND,1,4,1,6,0
Josh Hill,NO,1,2,1,6,0
