,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
DeAndre Hopkins,HOU,1,12,5,118,2,0,0,0
J.J. Nelson,ARI,1,6,4,142,1,0,0,0
Tyler Lockett,SEA,1,5,4,48,2,1,5,0
James Jones,GB,1,11,6,109,1,0,0,0
Julio Jones,ATL,1,15,9,160,0,0,0,0
DeSean Jackson,WAS,1,8,5,87,1,0,0,0
Terrance Williams,DAL,1,4,4,79,1,0,0,0
Devin Funchess,CAR,1,8,4,64,1,0,0,0
Mike Evans,TB,1,7,4,63,1,0,0,0
Demaryius Thomas,DEN,1,8,3,59,1,0,0,0
Danny Amendola,NE,1,12,9,117,0,0,0,0
Vincent Jackson,TB,1,6,4,56,1,0,0,0
Allen Robinson,JAC,1,7,5,113,0,0,0,0
John Brown,ARI,1,3,3,43,1,2,9,0
Kenny Stills,MIA,1,2,2,52,1,0,0,0
Kamar Aiken,BAL,1,8,5,50,1,0,0,0
Ted Ginn Jr.,CAR,1,8,5,37,1,2,12,0
Brandon Marshall,NYJ,1,10,5,47,1,0,0,0
Dez Bryant,DAL,1,9,4,45,1,0,0,0
Marquess Wilson,CHI,1,7,4,102,0,0,0,0
Josh Huff,PHI,1,1,1,39,1,0,0,0
Leonard Hankerson,ATL,1,7,4,36,1,0,0,0
Chris Hogan,BUF,1,7,6,95,0,0,0,0
Anquan Boldin,SF,1,7,5,93,0,0,0,0
Larry Fitzgerald,ARI,1,13,8,90,0,0,0,0
Calvin Johnson,DET,1,9,5,88,0,0,0,0
Cody Latimer,DEN,1,3,2,22,1,1,5,0
Randall Cobb,GB,1,9,2,24,1,0,0,0
Eric Decker,NYJ,1,11,4,81,0,0,0,0
A.J. Green,CIN,1,12,4,79,0,0,0,0
Cecil Shorts,HOU,1,5,2,51,0,4,26,0
Golden Tate,DET,1,11,8,73,0,1,-2,0
Stefon Diggs,MIN,1,9,6,66,0,0,0,0
Brandon LaFell,NE,1,8,4,66,0,0,0,0
Jarvis Landry,MIA,1,7,4,66,0,0,0,0
Russell Shepard,TB,1,1,1,4,1,0,0,0
Doug Baldwin,SEA,1,6,6,60,0,0,0,0
Marvin Jones,CIN,1,9,4,60,0,0,0,0
Josh Bellamy,CHI,1,5,4,57,0,0,0,0
Jerricho Cotchery,CAR,1,6,4,57,0,0,0,0
Albert Wilson,KC,1,4,4,56,0,0,0,0
Steve Johnson,SD,1,8,7,54,0,0,0,0
Seth Roberts,OAK,1,2,2,54,0,0,0,0
Dontrelle Inman,SD,1,5,3,51,0,0,0,0
Michael Crabtree,OAK,1,11,6,50,0,0,0,0
Adam Humphries,TB,1,5,4,50,0,0,0,0
Jarius Wright,MIN,1,5,4,50,0,0,0,0
Jeremy Butler,BAL,1,5,4,45,0,0,0,0
Robert Woods,BUF,1,9,4,44,0,0,0,0
Pierre Garcon,WAS,1,4,3,43,0,0,0,0
