,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Stephen Gostkowski,NE,1,4,5,80.0%,3,3
Mason Crosby,GB,1,3,4,75.0%,3,3
Steve Hauschka,SEA,1,3,3,100.0%,3,3
Connor Barth,TB,1,3,3,100.0%,2,2
Shayne Graham,ATL,1,3,3,100.0%,2,2
Dan Bailey,DAL,1,3,3,100.0%,1,1
Chris Boswell,PIT,1,2,2,100.0%,4,4
Chandler Catanzaro,ARI,1,2,2,100.0%,4,5
Nick Novak,HOU,1,3,4,75.0%,1,1
Cairo Santos,KC,1,2,2,100.0%,4,4
Kai Forbath,NO,1,2,2,100.0%,3,3
Graham Gano,CAR,1,1,2,50.0%,5,5
Sebastian Janikowski,OAK,1,2,2,100.0%,2,2
Blair Walsh,MIN,1,1,1,100.0%,5,5
Randy Bullock,NYJ,1,2,3,66.7%,1,2
Travis Coons,CLE,1,2,2,100.0%,1,1
Greg Zuerlein,STL,1,1,1,100.0%,4,4
Josh Lambo,SD,1,1,2,50.0%,3,4
Mike Nugent,CIN,1,1,1,100.0%,3,3
Josh Brown,NYG,1,0,0,0.0%,5,5
Dan Carpenter,BUF,1,1,1,100.0%,2,2
Robbie Gould,CHI,1,1,1,100.0%,2,2
Dustin Hopkins,WAS,1,0,0,0.0%,5,5
Jason Myers,JAC,1,1,1,100.0%,2,2
Matt Prater,DET,1,0,1,0.0%,5,5
Caleb Sturgis,PHI,1,1,1,100.0%,2,2
Ryan Succop,TEN,1,1,1,100.0%,1,2
Adam Vinatieri,IND,1,1,1,100.0%,1,1
Brandon McManus,DEN,1,0,0,0.0%,3,4
Phil Dawson,SF,1,0,1,0.0%,2,2
Andrew Franks,MIA,1,0,0,0.0%,2,2
Justin Tucker,BAL,1,0,0,0.0%,2,2
