,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Russell Wilson,SEA,1,23,32,292,5,0,1,6,0
Eli Manning,NYG,1,27,31,337,4,0,3,-2,0
Blake Bortles,JAC,1,16,30,250,3,0,4,17,1
Ryan Fitzpatrick,NYJ,1,21,36,263,3,0,3,23,0
Kirk Cousins,WAS,1,24,31,300,1,1,4,13,1
Cam Newton,CAR,1,15,21,265,3,0,3,4,0
Jay Cutler,CHI,1,19,31,315,2,0,1,5,0
Carson Palmer,ARI,1,25,35,310,2,0,3,3,0
Drew Brees,NO,1,31,41,312,2,0,3,0,0
AJ McCarron,CIN,1,22,32,280,2,2,3,8,0
Tyrod Taylor,BUF,1,19,36,268,1,1,8,53,0
Aaron Rodgers,GB,1,22,35,218,2,0,3,27,0
Teddy Bridgewater,MIN,1,25,36,335,1,0,1,3,0
Matthew Stafford,DET,1,30,46,245,2,1,2,5,0
Tom Brady,NE,1,22,30,226,2,0,4,10,0
Johnny Manziel,CLE,1,21,31,270,1,1,7,15,0
Ryan Tannehill,MIA,1,25,41,236,1,0,4,24,0
Alex Smith,KC,1,15,23,191,1,1,5,40,0
Sam Bradford,PHI,1,23,38,247,1,1,3,3,0
Brock Osweiler,DEN,1,35,51,308,0,0,3,10,0
Blaine Gabbert,SF,1,18,28,194,1,0,3,19,0
Jameis Winston,TB,1,18,32,182,1,0,3,24,0
Ben Roethlisberger,PIT,1,30,39,282,0,1,1,6,0
Derek Carr,OAK,1,12,29,135,2,0,4,-4,0
Marcus Mariota,TEN,1,21,39,274,0,1,3,3,0
Matt Hasselbeck,IND,1,18,35,252,0,0,1,10,0
Philip Rivers,SD,1,24,43,263,0,1,1,4,0
Jimmy Clausen,BAL,1,23,40,274,0,1,1,-2,0
Matt Ryan,ATL,1,22,34,224,0,1,1,-1,0
Brian Hoyer,HOU,1,11,22,155,0,0,1,-1,0
Case Keenum,STL,1,14,22,124,0,1,2,2,0
Matt Cassel,DAL,1,13,29,114,0,1,3,6,0
Andy Dalton,CIN,1,3,5,59,0,1,0,0,0
Derek Anderson,CAR,1,4,6,36,0,0,3,-2,0
Charlie Whitehurst,IND,1,2,8,8,0,1,1,2,0
Sean Renfree,ATL,1,3,7,11,0,1,0,0,0
T.J. Yates,HOU,1,1,2,4,0,0,0,0,0
Tarvaris Jackson,SEA,1,1,1,9,0,0,3,-3,0
Landry Jones,PIT,1,0,0,0,0,0,2,-1,0
Scott Tolzien,GB,1,0,0,0,0,0,2,-3,0
