,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Blake Bortles,JAC,1,27,35,368,4,2,3,5,0
Kirk Cousins,WAS,1,31,46,365,4,0,5,-4,0
Drew Brees,NO,1,25,36,412,3,0,3,-3,0
Ryan Fitzpatrick,NYJ,1,26,41,296,3,0,2,13,0
Russell Wilson,SEA,1,25,41,289,2,1,6,39,0
Brandon Weeden,HOU,1,15,24,200,2,0,2,11,1
Matthew Stafford,DET,1,29,37,301,2,0,5,11,0
Jameis Winston,TB,1,15,29,295,2,1,4,10,0
Sam Bradford,PHI,1,37,56,380,1,0,2,4,0
Carson Palmer,ARI,1,18,27,265,2,1,0,0,0
Blaine Gabbert,SF,1,22,33,225,2,0,1,9,0
Alex Smith,KC,1,15,22,125,2,1,6,54,0
Brock Osweiler,DEN,1,27,39,299,1,0,3,5,0
Matt Ryan,ATL,1,23,30,306,1,0,6,1,0
Ryan Tannehill,MIA,1,26,38,329,0,1,1,28,0
Philip Rivers,SD,1,31,49,277,1,0,0,0,0
Ryan Mallett,BAL,1,28,41,274,1,0,0,0,0
Cam Newton,CAR,1,17,30,142,0,0,7,46,1
Johnny Manziel,CLE,1,13,32,136,0,1,11,108,0
Derek Carr,OAK,1,23,38,204,1,1,4,30,0
AJ McCarron,CIN,1,22,35,200,1,0,4,21,0
Eli Manning,NYG,1,15,29,234,1,3,1,0,0
Zach Mettenberger,TEN,1,27,51,234,1,1,0,0,0
Tyrod Taylor,BUF,1,13,18,179,0,1,14,67,0
Tom Brady,NE,1,22,31,231,1,1,1,-1,0
Jay Cutler,CHI,1,20,27,156,1,0,2,21,0
Teddy Bridgewater,MIN,1,15,25,168,1,0,2,12,0
Aaron Rodgers,GB,1,15,28,151,1,1,3,19,0
Ben Roethlisberger,PIT,1,24,34,215,0,2,0,0,0
Case Keenum,STL,1,14,23,103,1,0,4,4,0
Kellen Moore,DAL,1,13,31,186,0,1,1,-1,0
Ryan Nassib,NYG,1,5,5,68,1,0,0,0,0
Matt Hasselbeck,IND,1,8,15,99,0,0,0,0,0
Charlie Whitehurst,IND,1,9,14,78,0,0,1,-1,0
B.J. Daniels,HOU,1,1,2,7,0,0,6,6,0
Scott Tolzien,GB,1,1,1,4,0,0,1,0,0
Drew Stanton,ARI,1,1,1,4,0,0,2,-2,0
Shaun Hill,MIN,1,0,0,0,0,0,3,-4,0
