,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Chris Boswell,PIT,1,4,4,100.0%,3,3
Randy Bullock,NYJ,1,3,4,75.0%,3,3
Brandon McManus,DEN,1,4,5,80.0%,0,0
Chandler Catanzaro,ARI,1,3,3,100.0%,2,2
Caleb Sturgis,PHI,1,3,3,100.0%,2,2
Adam Vinatieri,IND,1,3,3,100.0%,1,1
Stephen Gostkowski,NE,1,2,2,100.0%,3,3
Jason Myers,JAC,1,1,1,100.0%,6,7
Dan Carpenter,BUF,1,2,2,100.0%,2,2
Graham Gano,CAR,1,1,1,100.0%,5,5
Mike Nugent,CIN,1,2,3,66.7%,2,2
Blair Walsh,MIN,1,2,2,100.0%,2,2
Josh Brown,NYG,1,1,2,50.0%,4,4
Travis Coons,CLE,1,1,2,50.0%,3,3
Kai Forbath,NO,1,1,1,100.0%,3,3
Andrew Franks,MIA,1,1,1,100.0%,3,3
Dustin Hopkins,WAS,1,1,1,100.0%,3,3
Nick Novak,HOU,1,2,2,100.0%,0,0
Justin Tucker,BAL,1,2,2,100.0%,0,0
Connor Barth,TB,1,1,2,50.0%,2,2
Steve Hauschka,SEA,1,0,0,0.0%,5,5
Mason Crosby,GB,1,0,0,0.0%,4,4
Phil Dawson,SF,1,1,1,100.0%,1,1
Cairo Santos,KC,1,1,2,50.0%,1,1
Robbie Gould,CHI,1,0,1,0.0%,3,3
Josh Lambo,SD,1,1,2,50.0%,0,0
Greg Zuerlein,STL,1,0,0,0.0%,3,3
Matt Prater,DET,1,0,0,0.0%,2,2
Dan Bailey,DAL,1,0,0,0.0%,1,1
Sebastian Janikowski,OAK,1,0,1,0.0%,1,1
