,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Jerrell Freeman,IND,1,6,2,2.0,0,1,0,0
Whitney Mercilus,HOU,1,3,2,3.5,0,0,1,1
David Harris,NYJ,1,10,4,2.0,1,0,0,0
Lavonte David,TB,1,4,8,1.0,0,0,1,2
Lawrence Timmons,PIT,1,7,3,1.5,0,0,1,0
Vontaze Burfict,CIN,1,8,4,0.0,2,1,0,0
Jonathan Casillas,NYG,1,7,0,0.0,1,1,0,0
C.J. Mosley,BAL,1,4,8,1.0,1,0,0,0
Bruce Carter,TB,1,5,7,1.0,0,0,0,0
Gerald Hodges,SF,1,12,1,0.0,0,0,0,0
Navorro Bowman,SF,1,9,0,0.0,0,0,1,0
Arthur Moats,PIT,1,6,0,1.0,0,0,0,1
Jasper Brinkley,NYG,1,8,1,0.0,0,0,1,0
Will Compton,WAS,1,5,0,0.0,1,1,0,0
Anthony Hitchens,DAL,1,6,2,0.0,1,0,1,0
Craig Robertson,CLE,1,3,0,0.0,1,1,0,1
Manti Te'o,SD,1,7,2,0.0,0,0,1,0
Tahir Whitehead,DET,1,4,2,0.0,1,1,0,0
Rey Maualuga,CIN,1,3,3,0.0,1,1,0,0
Frank Zombo,KC,1,3,1,1.0,0,0,1,0
Thomas Davis,CAR,1,3,2,0.0,1,1,0,0
Derrick Johnson,KC,1,8,2,0.0,1,0,0,0
Rolando McClain,DAL,1,6,6,0.0,1,0,0,0
Karlos Dansby,CLE,1,5,2,0.0,0,0,1,0
Erin Henderson,NYJ,1,7,4,0.0,0,0,0,0
Melvin Ingram,SD,1,3,0,1.0,2,0,0,0
Manny Lawson,BUF,1,2,0,0.0,2,1,0,0
Danny Trevathan,DEN,1,8,2,0.0,0,0,0,0
Kiko Alonso,PHI,1,8,1,0.0,0,0,0,0
Anthony Barr,MIN,1,2,3,1.0,1,0,0,0
Deone Bucannon,ARI,1,8,1,0.0,0,0,0,0
Brian Cushing,HOU,1,3,3,0.0,1,0,1,0
James Harrison,PIT,1,1,1,0.0,2,1,0,0
Christian Jones,CHI,1,4,1,1.0,0,0,0,0
Khalil Mack,OAK,1,7,3,0.0,0,0,0,0
Avery Williamson,TEN,1,8,1,0.0,0,0,0,0
Mychal Kendricks,PHI,1,5,4,0.0,1,0,0,0
John Timu,CHI,1,8,0,0.0,0,0,0,0
Zach Brown,TEN,1,7,1,0.0,0,0,0,0
Jamie Collins,NE,1,5,1,0.0,2,0,0,0
Eric Kendricks,MIN,1,6,3,0.0,0,0,0,0
Luke Kuechly,CAR,1,4,5,0.0,1,0,0,0
A.J. Tarpley,BUF,1,1,1,0.0,1,1,0,0
Stephen Tulloch,DET,1,7,1,0.0,0,0,0,0
Paul Worrilow,ATL,1,5,3,0.0,1,0,0,0
Lamarr Houston,CHI,1,3,0,1.0,0,0,0,0
Paul Posluszny,JAC,1,4,6,0.0,0,0,0,0
Jake Ryan,GB,1,6,2,0.0,0,0,0,0
Ryan Shazier,PIT,1,3,4,0.5,0,0,0,0
Chad Greenway,MIN,1,6,1,0.0,0,0,0,0
