,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Jeremy Langford,CHI,1,20,73,1,9,7,109,1
Charcandrick West,KC,1,24,69,1,5,3,92,1
Adrian Peterson,MIN,1,26,203,1,3,2,13,0
Matt Jones,WAS,1,11,56,0,3,3,131,1
LeSean McCoy,BUF,1,19,112,0,5,5,47,0
Lamar Miller,MIA,1,16,43,0,8,6,50,1
Jonathan Stewart,CAR,1,22,91,1,0,0,0,0
Todd Gurley,STL,1,12,45,1,3,3,44,0
Andre Ellington,ARI,1,5,61,1,4,3,27,0
LeGarrette Blount,NE,1,19,66,1,2,2,11,0
Chris Ivory,NYJ,1,18,99,0,3,2,36,0
DeMarco Murray,PHI,1,22,61,0,8,6,58,0
Alfred Morris,WAS,1,15,104,0,3,3,14,0
Dexter McCluster,TEN,1,3,25,1,5,4,27,0
Ronnie Hillman,DEN,1,11,42,1,4,2,9,0
Marshawn Lynch,SEA,1,8,42,1,2,1,8,0
Karlos Williams,BUF,1,7,24,0,1,1,26,1
Doug Martin,TB,1,18,63,0,4,4,40,0
Ryan Mathews,PHI,1,8,18,1,3,2,22,0
Mark Ingram,NO,1,5,77,0,4,3,21,0
James Starks,GB,1,15,42,0,7,6,54,0
Giovani Bernard,CIN,1,8,36,0,8,5,43,0
Latavius Murray,OAK,1,12,48,0,5,5,29,0
Chris Thompson,WAS,1,2,54,0,1,1,23,0
DeAngelo Williams,PIT,1,17,54,0,2,1,15,0
T.J. Yeldon,JAC,1,18,61,0,6,5,6,0
Justin Forsett,BAL,1,14,53,0,4,4,11,0
Will Tukuafu,SEA,1,2,2,1,0,0,0,0
Jamize Olawale,OAK,1,5,24,0,3,3,35,0
Chris Johnson,ARI,1,25,58,0,2,0,0,0
Darren McFadden,DAL,1,17,32,0,4,3,26,0
Ka'Deem Carey,CHI,1,14,56,0,0,0,0,0
Rashad Jennings,NYG,1,11,39,0,3,2,12,0
Jay Ajayi,MIA,1,6,48,0,0,0,0,0
Kyle Juszczyk,BAL,1,0,0,0,5,5,47,0
Tre Mason,STL,1,6,31,0,1,1,16,0
Tim Hightower,NO,1,11,46,0,0,0,0,0
Jonathan Grimes,HOU,1,6,33,0,1,1,12,0
De'Anthony Thomas,KC,1,0,0,0,5,4,37,0
Joique Bell,DET,1,14,17,0,3,2,18,0
C.J. Spiller,NO,1,8,24,0,2,2,10,0
Darren Sproles,PHI,1,3,0,0,6,5,34,0
Alfred Blue,HOU,1,12,22,0,1,1,9,0
Charles Sims,TB,1,5,18,0,5,2,13,0
Duke Johnson,CLE,1,4,10,0,4,4,18,0
Theo Riddick,DET,1,3,1,0,3,3,25,0
Shane Vereen,NYG,1,4,14,0,4,2,12,0
Matt Asiata,MIN,1,2,7,0,2,2,18,0
Javorius Allen,BAL,1,5,19,0,2,1,4,0
Ameer Abdullah,DET,1,5,15,0,1,1,7,0
