,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Blair Walsh,MIN,1,5,5,100.0%,1,2
Sebastian Janikowski,OAK,1,3,3,100.0%,4,4
Connor Barth,TB,1,3,3,100.0%,3,3
Stephen Gostkowski,NE,1,3,3,100.0%,3,3
Dan Carpenter,BUF,1,3,3,100.0%,2,2
Nick Folk,NYJ,1,3,3,100.0%,2,2
Cairo Santos,KC,1,3,4,75.0%,2,2
Caleb Sturgis,PHI,1,3,4,75.0%,1,1
Josh Brown,NYG,1,2,2,100.0%,3,3
Graham Gano,CAR,1,2,2,100.0%,3,3
Dan Bailey,DAL,1,2,2,100.0%,2,2
Chandler Catanzaro,ARI,1,2,3,66.7%,2,3
Andrew Franks,MIA,1,1,1,100.0%,5,6
Steve Hauschka,SEA,1,2,2,100.0%,2,2
Chris Boswell,PIT,1,2,2,100.0%,1,1
Dustin Hopkins,WAS,1,1,1,100.0%,4,4
Josh Lambo,SD,1,2,2,100.0%,1,1
Travis Coons,CLE,1,2,2,100.0%,0,0
Greg Zuerlein,STL,1,1,3,33.3%,3,3
Matt Prater,DET,1,1,1,100.0%,2,2
Matt Bryant,ATL,1,1,2,50.0%,1,1
Jason Myers,JAC,1,0,0,0.0%,4,5
Justin Tucker,BAL,1,1,1,100.0%,1,1
Phil Dawson,SF,1,1,1,100.0%,0,0
Kai Forbath,NO,1,0,0,0.0%,3,4
Adam Vinatieri,IND,1,0,0,0.0%,3,3
Nick Novak,HOU,1,0,0,0.0%,2,3
Ryan Succop,TEN,1,0,0,0.0%,1,1
