,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Cam Newton,CAR,1,15,30,297,3,1,9,57,1
Drew Brees,NO,1,28,39,389,3,1,3,-1,1
Aaron Rodgers,GB,1,25,48,369,4,1,4,22,0
Marcus Mariota,TEN,1,28,39,371,4,0,1,5,0
Derek Carr,OAK,1,24,44,301,4,1,2,3,0
Blake Bortles,JAC,1,24,40,381,2,2,4,32,0
Matt Cassel,DAL,1,25,38,299,3,1,2,17,0
Jay Cutler,CHI,1,27,40,345,2,1,3,-2,0
Ben Roethlisberger,PIT,1,24,44,334,2,1,0,0,0
Andy Dalton,CIN,1,21,27,234,3,0,6,5,0
Andrew Luck,IND,1,21,36,252,2,0,6,34,0
Tom Brady,NE,1,26,39,299,2,1,1,-1,0
Peyton Manning,DEN,1,21,36,281,2,2,0,0,0
Ryan Fitzpatrick,NYJ,1,21,34,272,2,0,4,0,0
Jameis Winston,TB,1,19,36,249,0,0,3,24,1
Blaine Gabbert,SF,1,15,25,185,2,2,8,32,0
Matt Ryan,ATL,1,30,45,303,1,0,1,2,0
Sam Bradford,PHI,1,25,36,295,1,0,1,-1,0
Eli Manning,NYG,1,26,40,213,2,2,1,-1,0
Philip Rivers,SD,1,26,42,280,1,0,0,0,0
Tyrod Taylor,BUF,1,11,12,181,1,0,10,44,0
Ryan Tannehill,MIA,1,27,36,309,0,0,2,3,0
Johnny Manziel,CLE,1,15,33,168,1,0,4,31,0
Teddy Bridgewater,MIN,1,13,21,144,0,1,3,17,1
Kirk Cousins,WAS,1,22,40,217,1,1,0,0,0
Nick Foles,STL,1,18,33,168,0,0,1,2,0
Landry Jones,PIT,1,4,6,79,0,0,0,0,0
Shaun Hill,MIN,1,2,6,15,0,0,1,-1,0
Colin Kaepernick,SF,1,0,1,0,0,0,0,0,0
Jimmy Garoppolo,NE,1,0,0,0,0,0,1,-1,0
AJ McCarron,CIN,1,0,0,0,0,0,2,-2,0
