,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Martellus Bennett,CHI,1,13,11,83,1
Coby Fleener,IND,1,12,9,83,1
Gary Barnidge,CLE,1,6,6,75,1
Ladarius Green,SD,1,6,4,53,1
Charles Clay,BUF,1,13,9,111,0
Richard Rodgers,GB,1,6,5,45,1
C.J. Fiedorowicz,HOU,1,3,3,28,1
Jake Stoneburner,MIA,1,2,2,16,1
Josh Hill,NO,1,2,2,11,1
Brent Celek,PHI,1,2,1,10,1
Owen Daniels,DEN,1,5,2,9,1
Tyler Eifert,CIN,1,4,3,69,0
John Phillips,SD,1,2,1,1,1
Jason Witten,DAL,1,6,4,57,0
Travis Kelce,KC,1,7,5,49,0
Marcedes Lewis,JAC,1,8,5,40,0
Larry Donnell,NYG,1,7,5,38,0
Jordan Reed,WAS,1,8,5,37,0
Clay Harbor,JAC,1,6,4,31,0
Ben Watson,NO,1,3,3,30,0
Jimmy Graham,SEA,1,5,4,29,0
Greg Olsen,CAR,1,6,2,28,0
Garrett Celek,SF,1,5,3,26,0
Tim Wright,DET,1,2,1,26,0
Jared Cook,STL,1,6,3,22,0
Eric Ebron,DET,1,3,2,22,0
Jordan Cameron,MIA,1,9,2,19,0
Derek Carrier,WAS,1,2,2,18,0
Darren Fells,ARI,1,1,1,17,0
Darren Waller,BAL,1,2,1,17,0
Maxx Williams,BAL,1,4,2,17,0
Chris Gragg,BUF,1,1,1,15,0
Luke Willson,SEA,1,3,2,15,0
Lee Smith,OAK,1,2,2,14,0
Nick Boyle,BAL,1,4,3,12,0
Mychal Rivera,OAK,1,3,2,12,0
Ed Dickson,CAR,1,2,1,11,0
Zach Ertz,PHI,1,3,2,11,0
Jermaine Gresham,ARI,1,3,1,8,0
Brandon Myers,TB,1,3,1,8,0
James O'Shaughnessy,KC,1,1,1,8,0
Cameron Brate,TB,1,1,1,7,0
James Hanna,DAL,1,1,1,7,0
Vance McDonald,SF,1,2,1,7,0
Kyle Rudolph,MIN,1,4,2,7,0
Garrett Graham,HOU,1,6,1,6,0
Cory Harkey,STL,1,1,1,4,0
MarQueis Gray,BUF,1,1,1,2,0
Heath Miller,PIT,1,2,1,1,0
Jeff Cumberland,NYJ,1,0,0,0,0
