,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Trumaine Johnson,STL,1,4,1,0.0,2,1,0,0
William Gay,PIT,1,1,1,0.0,1,1,0,0
Buster Skrine,NYJ,1,7,1,0.0,1,1,0,0
Jaquiski Tartt,SF,1,7,1,0.0,1,1,0,0
Kurt Coleman,CAR,1,5,4,0.0,1,1,0,0
Jason Verrett,SD,1,7,0,0.0,1,1,0,0
Eric Reid,SF,1,9,1,0.0,0,0,1,0
Reshad Jones,MIA,1,9,2,0.0,0,0,0,1
Tyrann Mathieu,ARI,1,10,1,0.0,1,0,0,0
Leodis McKelvin,BUF,1,4,1,0.0,2,1,0,0
Mike Adams,IND,1,4,0,1.0,0,0,1,0
Kenneth Acker,SF,1,8,3,0.0,1,0,0,0
Barry Church,DAL,1,9,2,0.0,0,0,0,0
Landon Collins,NYG,1,6,2,0.0,0,0,1,0
John Cyprien,JAC,1,2,4,0.0,1,1,0,0
Kareem Jackson,HOU,1,9,0,0.0,1,0,0,0
Marcus Roberson,STL,1,8,0,0.0,2,0,0,0
Mark Barron,STL,1,8,3,0.0,0,0,0,0
Reggie Nelson,CIN,1,3,1,0.0,1,1,0,0
Will Allen,PIT,1,5,0,1.0,0,0,0,0
Major Wright,TB,1,6,2,0.0,2,0,0,0
Corey Graham,BUF,1,8,1,0.0,0,0,0,0
Anthony Harris,MIN,1,7,1,0.0,1,0,0,0
Dre Kirkpatrick,CIN,1,6,1,0.0,2,0,0,0
Jahleel Addae,SD,1,7,0,0.0,1,0,0,0
Ron Parker,KC,1,4,0,1.0,0,0,0,0
Bacarri Rambo,BUF,1,7,0,0.0,1,0,0,0
Xavier Rhodes,MIN,1,5,0,0.0,3,0,0,0
Richard Sherman,SEA,1,2,0,0.0,1,1,0,0
Sam Shields,GB,1,1,0,0.0,2,1,0,0
Darius Slay,DET,1,2,0,0.0,1,1,0,0
Tramon Williams,CLE,1,5,2,0.0,2,0,0,0
Shareece Wright,BAL,1,7,2,0.0,0,0,0,0
Brandon Carr,DAL,1,5,3,0.0,1,0,0,0
Patrick Chung,NE,1,5,3,0.0,1,0,0,0
Robert Golden,PIT,1,1,1,0.0,1,1,0,0
B.W. Webb,TEN,1,7,1,0.0,0,0,0,0
J.J. Wilcox,DAL,1,6,3,0.0,0,0,0,0
Robert Alford,ATL,1,5,0,0.0,2,0,0,0
Adrian Amos,CHI,1,7,0,0.0,0,0,0,0
Kyle Fuller,CHI,1,1,0,0.0,1,1,0,0
Malcolm Jenkins,PHI,1,6,2,0.0,0,0,0,0
Brice McCain,MIA,1,6,0,0.0,1,0,0,0
Ed Reynolds,PHI,1,1,0,0.0,1,1,0,0
Josh Shaw,CIN,1,6,2,0.0,0,0,0,0
Donte Whitner,CLE,1,1,2,1.0,1,0,0,0
Justin Bethel,ARI,1,6,1,0.0,0,0,0,0
Charles Woodson,OAK,1,1,1,0.0,1,0,0,2
Ronald Darby,BUF,1,4,0,0.0,2,0,0,0
Quintin Demps,HOU,1,4,4,0.0,0,0,0,0
