,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Devonta Freeman,ATL,1,30,141,3,5,5,52,0
Joseph Randle,DAL,1,14,87,3,2,2,18,0
LeGarrette Blount,NE,1,18,78,3,1,1,14,0
Chris Johnson,ARI,1,22,110,2,2,1,40,0
Jamaal Charles,KC,1,11,49,3,7,5,33,0
Adrian Peterson,MIN,1,20,126,2,0,0,0,0
Frank Gore,IND,1,14,86,2,2,1,8,0
Latavius Murray,OAK,1,26,139,1,1,1,10,0
Alfred Blue,HOU,1,31,139,1,0,0,0,0
Le'Veon Bell,PIT,1,19,62,1,8,7,70,0
Ryan Mathews,PHI,1,25,108,0,4,2,20,1
Karlos Williams,BUF,1,12,110,1,0,0,0,0
Mark Ingram,NO,1,14,50,1,5,5,49,0
Chris Thompson,WAS,1,2,29,0,11,8,57,1
Dion Lewis,NE,1,8,37,1,5,5,30,0
Antonio Andrews,TEN,1,12,49,1,2,1,12,0
Charles Sims,TB,1,6,11,0,2,2,41,1
Lance Dunbar,DAL,1,1,5,0,10,10,100,0
Thomas Rawls,SEA,1,16,104,0,1,0,0,0
Ameer Abdullah,DET,1,8,23,0,5,2,19,1
Darren Sproles,PHI,1,11,17,1,6,4,19,0
Darren McFadden,DAL,1,6,35,1,0,0,0,0
Andre Williams,NYG,1,14,29,1,0,0,0,0
Eddie Lacy,GB,1,10,46,0,3,3,41,0
LeSean McCoy,BUF,1,11,16,0,3,1,10,1
Giovani Bernard,CIN,1,13,49,0,4,3,34,0
Khiry Robinson,NO,1,7,12,1,2,2,8,0
Ronnie Hillman,DEN,1,7,13,1,1,1,3,0
Bilal Powell,NYJ,1,10,31,0,8,7,44,0
Matt Forte,CHI,1,20,74,0,3,0,0,0
Jalston Fowler,TEN,1,4,9,1,0,0,0,0
Theo Riddick,DET,1,0,0,0,10,8,66,0
Lamar Miller,MIA,1,7,38,0,3,3,27,0
Joique Bell,DET,1,10,6,1,1,1,-2,0
Carlos Hyde,SF,1,15,51,0,1,1,10,0
Zach Line,MIN,1,1,1,1,0,0,0,0
Rashad Jennings,NYG,1,11,32,0,3,3,25,0
Marcel Reece,OAK,1,1,1,0,2,1,55,0
Jonathan Stewart,CAR,1,14,52,0,1,0,0,0
Melvin Gordon,SD,1,14,51,0,1,0,0,0
James Starks,GB,1,17,32,0,1,1,19,0
Jonas Gray,MIA,1,9,49,0,0,0,0,0
Doug Martin,TB,1,14,46,0,0,0,0,0
Mike Tolbert,CAR,1,5,16,0,3,3,28,0
Danny Woodhead,SD,1,5,11,0,4,3,32,0
Dexter McCluster,TEN,1,5,7,0,2,1,35,0
T.J. Yeldon,JAC,1,11,33,0,3,2,9,0
David Johnson,ARI,1,7,25,0,3,3,16,0
Bishop Sankey,TEN,1,5,10,0,2,2,31,0
Jonathan Grimes,HOU,1,6,19,0,4,4,19,0
