,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Reggie Nelson,CIN,1,5,0,0.0,2,2,0,0
Dominique Rodgers-Cromartie,NYG,1,7,0,0.0,1,1,1,0
Kurt Coleman,CAR,1,5,3,0.0,3,1,0,0
Antwon Blake,PIT,1,8,0,0.0,1,1,0,0
Ron Parker,KC,1,4,0,2.0,2,0,0,0
Roman Harper,CAR,1,7,5,0.0,2,0,0,1
Sean Smith,KC,1,5,0,0.0,3,1,0,0
Damarious Randall,GB,1,6,1,0.0,1,1,0,0
Logan Ryan,NE,1,6,1,0.0,1,1,0,0
Kevin Johnson,HOU,1,5,1,0.0,1,1,0,0
K'Waun Williams,CLE,1,2,1,0.0,1,0,2,1
Mike Mitchell,PIT,1,3,2,0.0,2,1,0,0
Charles Tillman,CAR,1,2,2,0.0,3,1,0,0
Charles Woodson,OAK,1,4,0,0.0,1,1,0,0
Ricardo Allen,ATL,1,5,1,1.0,0,0,0,0
Mark Barron,STL,1,7,3,0.0,1,0,0,0
Casey Hayward,GB,1,6,1,0.0,3,0,0,0
David Amerson,OAK,1,7,0,0.0,2,0,0,0
Brandon Browner,NO,1,8,0,0.0,1,0,0,0
Vontae Davis,IND,1,2,0,0.0,2,1,0,0
Kyle Fuller,CHI,1,2,0,0.0,2,1,0,0
Neiko Thorpe,OAK,1,7,0,0.0,2,0,0,0
Jason Verrett,SD,1,5,2,0.0,3,0,0,0
Jaquiski Tartt,SF,1,5,1,0.0,0,0,1,0
Tramon Williams,CLE,1,6,3,0.0,1,0,0,0
Barry Church,DAL,1,6,4,0.0,0,0,0,0
D.J. Hayden,OAK,1,3,0,1.0,1,0,0,0
Rashad Johnson,ARI,1,2,0,0.0,1,1,0,0
Devin McCourty,NE,1,4,0,1.0,0,0,0,0
Terence Newman,MIN,1,6,2,0.0,1,0,0,0
Jairus Byrd,NO,1,2,1,0.0,0,0,1,1
Michael Griffin,TEN,1,6,3,0.0,0,0,0,0
Duron Harmon,NE,1,0,1,0.0,2,1,0,0
Johnathan Joseph,HOU,1,5,1,0.0,2,0,0,0
Nevin Lawson,DET,1,6,1,0.0,1,0,0,0
Greg Toler,IND,1,6,1,0.0,1,0,0,0
Johnson Bademosi,CLE,1,4,2,0.0,0,0,0,1
Chris Conte,TB,1,5,4,0.0,0,0,0,0
Tashaun Gipson,CLE,1,1,0,0.0,1,1,0,0
Leon Hall,CIN,1,5,0,0.0,2,0,0,0
Chris Harris,DEN,1,3,2,0.0,0,0,1,0
Bradley McDougald,TB,1,6,2,0.0,0,0,0,0
Lardarius Webb,BAL,1,6,2,0.0,0,0,0,0
Shawn Williams,CIN,1,1,0,0.0,1,1,0,0
Mike Adams,IND,1,5,3,0.0,0,0,0,0
Bene Benwikere,CAR,1,5,3,0.0,0,0,0,0
Landon Collins,NYG,1,4,5,0.0,0,0,0,0
Craig Dahl,NYG,1,3,1,0.0,0,0,1,0
Micah Hyde,GB,1,6,1,0.0,0,0,0,0
Reshad Jones,MIA,1,5,3,0.0,0,0,0,0
