,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Blair Walsh,MIN,1,5,5,100.0%,4,5
Robbie Gould,CHI,1,4,4,100.0%,2,2
Matt Prater,DET,1,4,4,100.0%,2,2
Nick Novak,HOU,1,2,2,100.0%,4,4
Randy Bullock,NYJ,1,2,2,100.0%,2,2
Chandler Catanzaro,ARI,1,1,1,100.0%,5,5
Kai Forbath,NO,1,1,3,33.3%,5,5
Stephen Gostkowski,NE,1,2,2,100.0%,2,2
Shayne Graham,ATL,1,2,3,66.7%,2,2
Josh Lambo,SD,1,2,3,66.7%,2,2
Brandon McManus,DEN,1,2,3,66.7%,2,2
Justin Tucker,BAL,1,2,2,100.0%,2,2
Travis Coons,CLE,1,2,3,66.7%,1,1
Graham Gano,CAR,1,2,2,100.0%,1,1
Sebastian Janikowski,OAK,1,2,2,100.0%,1,1
Dan Bailey,DAL,1,2,3,66.7%,0,0
Andrew Franks,MIA,1,2,2,100.0%,0,0
Dustin Hopkins,WAS,1,1,1,100.0%,3,4
Caleb Sturgis,PHI,1,1,1,100.0%,3,3
Chris Boswell,PIT,1,1,1,100.0%,2,2
Josh Brown,NYG,1,1,1,100.0%,2,2
Phil Dawson,SF,1,1,2,50.0%,2,2
Steve Hauschka,SEA,1,1,1,100.0%,2,2
Mike Nugent,CIN,1,1,2,50.0%,2,2
Cairo Santos,KC,1,1,1,100.0%,2,2
Greg Zuerlein,STL,1,1,1,100.0%,2,3
Dan Carpenter,BUF,1,1,1,100.0%,1,2
Adam Vinatieri,IND,1,1,1,100.0%,1,2
Connor Barth,TB,1,0,1,0.0%,3,3
Jason Myers,JAC,1,0,0,0.0%,1,1
