,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Matthew Stafford,DET,1,27,42,405,4,1,6,37,0
Philip Rivers,SD,1,43,65,503,2,0,0,0,0
Blake Bortles,JAC,1,30,53,331,3,3,4,37,0
Andrew Luck,IND,1,30,50,312,3,0,4,35,0
Ryan Fitzpatrick,NYJ,1,19,26,253,2,1,4,31,1
Tom Brady,NE,1,23,37,312,3,1,4,0,0
Brian Hoyer,HOU,1,24,36,293,3,0,5,5,0
Cam Newton,CAR,1,20,36,269,1,2,7,30,1
Colin Kaepernick,SF,1,16,27,340,2,0,3,10,0
EJ Manuel,BUF,1,28,42,263,1,1,6,22,1
Joe Flacco,BAL,1,33,53,343,2,2,0,0,0
Carson Palmer,ARI,1,29,45,421,1,2,2,-1,0
Andy Dalton,CIN,1,22,33,243,3,0,3,-2,0
Matt Ryan,ATL,1,30,44,295,2,0,4,10,0
Jay Cutler,CHI,1,26,41,353,1,1,2,12,0
Ryan Tannehill,MIA,1,22,29,266,2,2,2,14,0
Aaron Rodgers,GB,1,16,29,255,2,0,2,14,0
Russell Wilson,SEA,1,18,30,239,1,0,8,53,0
Josh McCown,CLE,1,20,39,213,2,2,3,12,0
Drew Brees,NO,1,30,39,312,1,0,2,2,0
Alex Smith,KC,1,22,37,282,1,0,2,10,0
Peyton Manning,DEN,1,26,48,290,1,3,0,0,0
Sam Bradford,PHI,1,24,38,280,1,3,4,2,0
Landry Jones,PIT,1,8,12,168,2,0,1,-1,0
Teddy Bridgewater,MIN,1,17,31,249,1,2,3,-5,0
Marcus Mariota,TEN,1,21,33,219,1,2,0,0,0
Eli Manning,NYG,1,24,38,189,1,2,1,12,0
Kirk Cousins,WAS,1,25,43,196,1,2,1,1,0
Michael Vick,PIT,1,3,8,6,0,0,5,47,0
Zach Mettenberger,TEN,1,5,8,63,0,0,1,4,0
