,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Cairo Santos,KC,1,7,7,100.0%,0,0
Chandler Catanzaro,ARI,1,5,5,100.0%,1,1
Travis Coons,CLE,1,4,4,100.0%,1,1
Graham Gano,CAR,1,3,3,100.0%,4,4
Josh Lambo,SD,1,3,3,100.0%,3,3
Dustin Hopkins,WAS,1,3,3,100.0%,2,2
Brandon McManus,DEN,1,3,3,100.0%,2,2
Justin Tucker,BAL,1,3,3,100.0%,2,2
Robbie Gould,CHI,1,3,3,100.0%,1,2
Adam Vinatieri,IND,1,3,3,100.0%,1,1
Nick Folk,NYJ,1,2,3,66.7%,3,3
Dan Bailey,DAL,1,2,2,100.0%,2,2
Zach Hocker,NO,1,2,3,66.7%,2,2
Sebastian Janikowski,OAK,1,2,2,100.0%,2,2
Josh Scobee,PIT,1,2,4,50.0%,2,2
Blair Walsh,MIN,1,2,3,66.7%,2,2
Steve Hauschka,SEA,1,2,2,100.0%,1,1
Jason Myers,JAC,1,2,4,50.0%,1,1
Matt Bryant,ATL,1,0,0,0.0%,6,7
Greg Zuerlein,STL,1,1,1,100.0%,3,3
Kyle Brindza,TB,1,1,3,33.3%,2,3
Mason Crosby,GB,1,1,2,50.0%,2,2
Josh Brown,NYG,1,1,1,100.0%,1,2
Dan Carpenter,BUF,1,1,2,50.0%,1,1
Mike Nugent,CIN,1,0,1,0.0%,4,4
Matt Prater,DET,1,1,1,100.0%,1,1
Phil Dawson,SF,1,1,1,100.0%,0,0
Nick Novak,HOU,1,0,1,0.0%,3,3
Andrew Franks,MIA,1,0,0,0.0%,2,2
Caleb Sturgis,PHI,1,0,1,0.0%,2,3
