,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Kirk Cousins,WAS,1,33,40,317,3,0,3,15,1
Tom Brady,NE,1,34,54,355,2,0,4,15,1
Andrew Luck,IND,1,23,44,333,3,2,3,27,0
Ryan Tannehill,MIA,1,18,19,282,4,0,1,3,0
Philip Rivers,SD,1,38,58,336,3,2,0,0,0
Derek Carr,OAK,1,24,31,289,3,0,2,3,0
EJ Manuel,BUF,1,24,42,298,2,2,8,38,0
Ryan Fitzpatrick,NYJ,1,22,39,295,2,0,5,29,0
Brian Hoyer,HOU,1,23,49,273,3,1,0,0,0
Teddy Bridgewater,MIN,1,25,35,316,2,0,3,1,0
Jameis Winston,TB,1,21,29,297,2,0,1,5,0
Carson Palmer,ARI,1,20,29,275,2,0,2,2,0
Cam Newton,CAR,1,14,24,197,1,3,4,20,1
Matthew Stafford,DET,1,18,26,256,2,0,1,5,0
Russell Wilson,SEA,1,18,24,235,1,2,7,20,0
Alex Smith,KC,1,21,32,251,1,0,3,5,0
Blake Bortles,JAC,1,13,29,182,2,1,5,-3,0
Joe Flacco,BAL,1,26,40,252,1,1,0,0,0
Drew Brees,NO,1,28,44,255,1,1,4,-4,0
Matt Ryan,ATL,1,22,38,251,1,2,2,-3,0
Matt Cassel,DAL,1,17,27,227,1,3,1,4,0
Josh McCown,CLE,1,26,32,270,0,0,4,21,0
Landry Jones,PIT,1,16,29,209,1,2,1,-2,0
Zach Mettenberger,TEN,1,22,35,187,1,2,1,0,0
Sam Bradford,PHI,1,26,46,205,0,1,3,6,0
Eli Manning,NYG,1,13,24,170,0,0,4,-4,0
Nick Foles,STL,1,15,23,163,0,0,2,-2,0
Colin Kaepernick,SF,1,13,24,124,0,0,0,0,0
Johnny Manziel,CLE,1,4,5,27,0,0,1,5,0
Luke McCown,NO,1,1,1,25,0,0,0,0,0
Matt Moore,MIA,1,1,1,14,0,0,3,-2,0
