,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Tyrann Mathieu,ARI,1,5,0,0.0,2,2,0,0
Dwight Lowery,IND,1,1,1,0.0,2,2,0,0
Justin Bethel,ARI,1,2,0,0.0,1,1,1,0
Prince Amukamara,NYG,1,6,2,0.0,3,1,0,0
Ronald Darby,BUF,1,4,1,0.0,4,1,0,0
Janoris Jenkins,STL,1,6,3,0.0,1,1,0,0
Malcolm Jenkins,PHI,1,7,1,0.0,0,0,2,0
Kenneth Acker,SF,1,6,1,0.0,1,1,0,0
Sam Shields,GB,1,6,0,0.0,1,1,0,0
Charles Woodson,OAK,1,4,2,0.0,2,1,0,0
Will Allen,PIT,1,4,3,0.0,1,1,0,0
Corey Graham,BUF,1,10,2,0.0,0,0,0,0
Adam Jones,CIN,1,4,2,0.0,1,1,0,0
Rashean Mathis,DET,1,5,1,0.0,2,0,1,0
Josh Norman,CAR,1,4,1,0.0,1,1,0,0
Perrish Cox,TEN,1,4,0,0.0,1,1,0,0
Quintin Demps,HOU,1,4,0,0.0,1,1,0,0
William Moore,ATL,1,4,0,0.0,1,1,0,0
Reshad Jones,MIA,1,8,1,0.0,1,0,0,0
Jimmy Smith,BAL,1,3,1,0.0,1,1,0,0
Walter Thurmond,PHI,1,2,2,0.0,1,1,0,0
Dashon Goldson,WAS,1,7,3,0.0,0,0,0,0
Antrel Rolle,CHI,1,7,3,0.0,0,0,0,0
Eric Rowe,PHI,1,1,1,0.0,2,1,0,0
Alan Ball,CHI,1,5,4,0.0,1,0,0,0
Chris Conte,TB,1,7,2,0.0,0,0,0,0
Will Hill,BAL,1,4,0,1.0,0,0,0,0
Jerraud Powers,ARI,1,1,0,0.0,2,1,0,0
Bradley Roby,DEN,1,2,0,0.0,1,1,0,0
Steve Williams,SD,1,2,0,0.0,1,1,0,0
Mike Adams,IND,1,7,1,0.0,0,0,0,0
David Bruton,DEN,1,1,1,0.0,1,1,0,0
Johnathan Joseph,HOU,1,2,1,0.0,5,0,0,0
Sterling Moore,TB,1,4,5,0.0,1,0,0,0
Glover Quin,DET,1,1,1,0.0,1,1,0,0
Harrison Smith,MIN,1,5,3,0.0,1,0,0,0
Charles Tillman,CAR,1,6,3,0.0,0,0,0,0
T.J. Ward,DEN,1,4,5,0.0,1,0,0,0
Ricardo Allen,ATL,1,7,0,0.0,0,0,0,0
Malcolm Butler,NE,1,4,0,0.0,3,0,0,0
Brandon Carr,DAL,1,6,2,0.0,0,0,0,0
Landon Collins,NYG,1,4,2,0.0,2,0,0,0
Byron Maxwell,PHI,1,6,2,0.0,0,0,0,0
Devin McCourty,NE,1,1,0,0.0,1,1,0,0
Darian Stewart,DEN,1,6,2,0.0,0,0,0,0
Eric Weddle,SD,1,6,2,0.0,0,0,0,0
Mark Barron,STL,1,1,3,1.0,0,0,0,0
Tramaine Brock,SF,1,6,1,0.0,0,0,0,0
Brandon Browner,NO,1,6,1,0.0,0,0,0,0
James Ihedigbo,DET,1,4,3,0.0,1,0,0,0
