,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Jacquies Smith,TB,1,3,0,3.0,0,0,2,0
Armonty Bryant,CLE,1,3,3,2.5,0,0,1,0
John Hughes,CLE,1,1,3,1.5,0,0,1,0
Vic Beasley,ATL,1,3,2,1.0,0,0,1,0
Ziggy Ansah,DET,1,6,1,1.0,0,0,0,0
Kroy Biermann,ATL,1,3,1,1.0,0,0,1,0
Carlos Dunlap,CIN,1,3,3,1.5,0,0,0,0
J.J. Watt,HOU,1,4,1,1.0,2,0,0,0
Jared Odrick,JAC,1,2,0,1.0,1,0,1,0
Wallace Gilberry,CIN,1,2,1,1.0,0,0,1,0
Cameron Heyward,PIT,1,5,1,1.0,0,0,0,0
Devon Kennard,NYG,1,7,3,0.0,1,0,0,0
Robert Ayers,NYG,1,3,0,1.0,2,0,0,0
Josh Mauro,ARI,1,4,0,1.0,1,0,0,0
Stephon Tuitt,PIT,1,2,2,1.5,0,0,0,0
Cameron Jordan,NO,1,2,1,1.0,0,0,0,1
Henry Anderson,IND,1,3,2,1.0,0,0,0,0
Connor Barwin,PHI,1,4,0,1.0,0,0,0,0
Alan Branch,NE,1,1,0,1.0,0,0,1,0
Mike Daniels,GB,1,3,2,1.0,0,0,0,0
Cedric Thornton,PHI,1,4,0,1.0,0,0,0,0
DeMarcus Ware,DEN,1,4,0,1.0,0,0,0,0
Chris Long,STL,1,1,5,1.0,0,0,0,0
Rob Ninkovich,NE,1,3,1,1.0,0,0,0,0
Brian Robison,MIN,1,5,1,0.0,2,0,0,0
Jared Allen,CHI,1,1,0,0.0,1,1,0,0
Jaye Howard,KC,1,7,0,0.0,0,0,0,0
Malik Jackson,DEN,1,3,0,1.0,0,0,0,0
Gerald McCoy,TB,1,2,0,1.0,1,0,0,0
Stephen Paea,WAS,1,3,0,1.0,0,0,0,0
Antonio Smith,DEN,1,3,0,1.0,0,0,0,0
Justin Trattou,MIN,1,1,0,0.0,1,1,0,0
Mario Williams,BUF,1,3,0,1.0,0,0,0,0
Mike Devito,KC,1,2,1,1.0,0,0,0,0
Dwan Edwards,CAR,1,2,1,1.0,0,0,0,0
Shea McClellin,CHI,1,4,5,0.0,0,0,0,0
Michael Brockers,STL,1,5,2,0.0,0,0,0,0
Calais Campbell,ARI,1,4,2,0.0,1,0,0,0
Aaron Donald,STL,1,3,2,0.5,0,0,0,0
Everson Griffen,MIN,1,1,0,1.0,1,0,0,0
Jamie Meder,CLE,1,1,2,1.0,0,0,0,0
Robert Quinn,STL,1,2,2,0.0,0,0,1,0
Geno Atkins,CIN,1,0,3,1.0,0,0,0,0
Michael Bennett,SEA,1,1,1,1.0,0,0,0,0
Cullen Jenkins,NYG,1,1,1,1.0,0,0,0,0
Jonathan Babineaux,ATL,1,4,2,0.0,0,0,0,0
Jared Crick,HOU,1,3,4,0.0,0,0,0,0
Jordan Hill,SEA,1,4,2,0.0,0,0,0,0
Bruce Irvin,SEA,1,1,0,1.0,0,0,0,0
Clinton McDonald,TB,1,4,2,0.0,0,0,0,0
