,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Telvin Smith,JAC,1,8,1,0.0,3,1,0,0
Malcolm Smith,OAK,1,11,0,1.0,2,1,0,0
Tamba Hali,KC,1,4,1,2.0,0,0,1,0
Eric Kendricks,MIN,1,6,0,2.0,0,0,0,0
Jamie Collins,NE,1,6,6,1.0,0,0,0,0
Paul Posluszny,JAC,1,6,1,0.0,1,1,0,0
Stephone Anthony,NO,1,5,2,0.0,1,1,0,0
Thomas Davis,CAR,1,11,2,0.0,0,0,0,0
Dont'a Hightower,NE,1,10,0,0.0,0,0,0,1
Ahmad Brooks,SF,1,2,3,2.0,0,0,0,0
Michael Wilhoite,SF,1,9,4,0.0,0,0,0,0
Luke Kuechly,CAR,1,8,3,0.0,1,0,0,0
Lawrence Timmons,PIT,1,7,3,0.5,0,0,0,0
Avery Williamson,TEN,1,4,1,0.0,1,1,0,0
Derrick Johnson,KC,1,2,2,0.0,2,1,0,0
Chandler Jones,NE,1,3,0,1.0,0,0,1,0
Paul Worrilow,ATL,1,1,4,0.0,2,1,0,0
Jon Beason,NYG,1,7,4,0.0,0,0,0,0
Mychal Kendricks,PHI,1,3,4,1.0,0,0,0,0
John Simon,HOU,1,4,2,1.0,0,0,0,0
Jerrell Freeman,IND,1,5,7,0.0,0,0,0,0
Navorro Bowman,SF,1,6,4,0.0,0,0,0,0
Deone Bucannon,ARI,1,7,2,0.0,0,0,0,0
C.J. Mosley,BAL,1,4,0,1.0,0,0,0,0
Daryl Smith,BAL,1,8,0,0.0,0,0,0,0
Stephen Tulloch,DET,1,4,4,0.0,0,0,0,1
Jonathan Casillas,NYG,1,6,3,0.0,0,0,0,0
Lavonte David,TB,1,6,3,0.0,0,0,0,0
Wesley Woodyard,TEN,1,6,3,0.0,0,0,0,0
Justin Durant,ATL,1,6,2,0.0,0,0,0,0
Dannell Ellerbe,NO,1,7,0,0.0,0,0,0,0
Chad Greenway,MIN,1,3,0,1.0,0,0,0,0
Zach Orr,BAL,1,3,0,1.0,0,0,0,0
Josh Bynes,DET,1,5,3,0.0,0,0,0,0
Christian Kirksey,CLE,1,5,3,0.0,0,0,0,0
Calvin Pace,NYJ,1,1,1,1.0,1,0,0,0
Ray Ray Armstrong,OAK,1,6,0,0.0,0,0,0,0
Karlos Dansby,CLE,1,5,2,0.0,0,0,0,0
Jordan Hicks,PHI,1,6,0,0.0,0,0,0,0
D'Qwell Jackson,IND,1,4,4,0.0,0,0,0,0
Jelani Jenkins,MIA,1,3,0,0.0,0,0,1,0
James Laurinaitis,STL,1,4,4,0.0,0,0,0,0
Sean Lee,DAL,1,3,6,0.0,0,0,0,0
Dan Skuta,JAC,1,6,0,0.0,0,0,0,0
Kyle Van Noy,DET,1,2,0,1.0,0,0,0,0
Bobby Wagner,SEA,1,5,0,0.0,1,0,0,0
Kwon Alexander,TB,1,5,1,0.0,0,0,0,0
Anthony Barr,MIN,1,3,1,0.5,0,0,0,0
Donald Butler,SD,1,5,1,0.0,0,0,0,0
Dwight Freeney,ARI,1,1,1,1.0,0,0,0,0
