,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Zach Ertz,PHI,1,9,9,152,0
Coby Fleener,IND,1,7,7,88,1
Delanie Walker,TEN,1,14,9,94,0
Will Tye,NYG,1,8,5,67,1
Richard Rodgers,GB,1,8,7,59,1
Ben Watson,NO,1,10,6,59,1
Jason Witten,DAL,1,8,6,58,1
Tyler Eifert,CIN,1,4,4,51,1
Tony Moeaki,ATL,1,3,2,47,1
Antonio Gates,SD,1,5,3,34,1
Chase Coffman,SEA,1,5,4,29,1
Eric Ebron,DET,1,7,5,25,1
Heath Miller,PIT,1,4,3,18,1
Demetrius Harris,KC,1,3,1,15,1
Tim Wright,DET,1,1,1,9,1
Gary Barnidge,CLE,1,13,8,66,0
Jordan Cameron,MIA,1,4,2,6,1
Jacob Tamme,ATL,1,5,4,61,0
Maxx Williams,BAL,1,10,6,53,0
Austin Seferian-Jenkins,TB,1,7,3,48,0
Clive Walford,OAK,1,4,4,46,0
Marcedes Lewis,JAC,1,1,1,45,0
Jordan Reed,WAS,1,4,4,45,0
Cooper Helfet,SEA,1,6,4,42,0
Dion Sims,MIA,1,3,3,40,0
Brent Celek,PHI,1,2,2,38,0
Lance Kendricks,STL,1,5,5,37,0
Vance McDonald,SF,1,5,3,37,0
Jermaine Gresham,ARI,1,3,2,36,0
James Hanna,DAL,1,3,3,28,0
Ryan Griffin,HOU,1,3,3,27,0
Rob Gronkowski,NE,1,7,2,18,0
Clay Harbor,JAC,1,1,1,18,0
Robert Housler,CHI,1,2,2,18,0
Greg Olsen,CAR,1,2,2,16,0
Owen Daniels,DEN,1,1,1,15,0
C.J. Fiedorowicz,HOU,1,3,2,14,0
Virgil Green,DEN,1,1,1,14,0
Cory Harkey,STL,1,1,1,12,0
Mychal Rivera,OAK,1,2,2,12,0
Julius Thomas,JAC,1,6,2,12,0
Cameron Brate,TB,1,2,1,10,0
Travis Kelce,KC,1,2,1,10,0
Troy Niklas,ARI,1,1,1,8,0
Levine Toilolo,ATL,1,2,1,8,0
Darren Fells,ARI,1,2,1,7,0
Blake Bell,SF,1,2,1,5,0
Trey Burton,PHI,1,1,1,5,0
Josh Hill,NO,1,3,1,4,0
Michael Hoomanawanui,NO,1,1,1,4,0
