,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Devonta Freeman,ATL,1,14,68,3,6,5,81,0
Chris Ivory,NYJ,1,29,166,1,2,0,0,0
Jeremy Hill,CIN,1,9,40,3,0,0,0,0
Le'Veon Bell,PIT,1,22,129,1,7,7,21,0
Doug Martin,TB,1,20,106,1,5,5,37,0
Duke Johnson,CLE,1,8,31,0,10,9,85,1
C.J. Spiller,NO,1,2,10,0,5,5,99,1
Ronnie Hillman,DEN,1,11,103,1,1,1,5,0
Todd Gurley,STL,1,19,146,0,2,2,15,0
Matt Forte,CHI,1,25,91,0,4,4,64,0
Adrian Peterson,MIN,1,16,81,1,6,4,13,0
Rashad Jennings,NYG,1,9,38,0,2,2,54,1
Justin Forsett,BAL,1,27,150,0,1,0,0,0
Terron Ward,ATL,1,19,72,1,1,1,18,0
Jamaal Charles,KC,1,11,75,0,6,6,70,0
David Johnson,ARI,1,3,18,0,10,4,63,1
Danny Woodhead,SD,1,8,54,0,4,4,84,0
Karlos Williams,BUF,1,18,40,0,4,3,30,1
Mark Ingram,NO,1,17,77,0,7,6,51,0
Isaiah Crowell,CLE,1,12,63,0,3,3,62,0
Giovani Bernard,CIN,1,13,62,1,0,0,0,0
Charles Sims,TB,1,6,23,0,5,3,30,1
Chris Polk,HOU,1,3,27,1,4,3,23,0
T.J. Yeldon,JAC,1,22,105,0,3,2,4,0
Roy Helu,OAK,1,5,22,0,2,2,13,1
Chris Johnson,ARI,1,16,83,0,3,3,11,0
Eddie Lacy,GB,1,18,90,0,3,1,3,0
Frank Gore,IND,1,17,53,0,7,5,34,0
Joseph Randle,DAL,1,11,26,1,0,0,0,0
Zac Stacy,NYJ,1,5,7,1,3,2,18,0
Khiry Robinson,NO,1,6,16,1,4,2,5,0
Chris Thompson,WAS,1,6,53,0,3,2,24,0
C.J. Anderson,DEN,1,11,43,0,1,1,27,0
John Kuhn,GB,1,1,1,1,1,1,8,0
Alfred Morris,WAS,1,17,62,0,3,2,3,0
Latavius Murray,OAK,1,16,49,0,5,3,12,0
Lance Dunbar,DAL,1,3,54,0,0,0,0,0
Fred Jackson,SEA,1,3,21,0,4,2,33,0
Jonathan Stewart,CAR,1,10,50,0,0,0,0,0
DeMarco Murray,PHI,1,8,36,0,2,2,12,0
Thomas Rawls,SEA,1,17,48,0,1,1,-1,0
Melvin Gordon,SD,1,12,38,0,2,2,8,0
Ameer Abdullah,DET,1,13,33,0,5,2,11,0
James Starks,GB,1,9,28,0,2,2,11,0
Lamar Miller,MIA,1,7,26,0,2,1,10,0
Theo Riddick,DET,1,1,5,0,5,5,31,0
Arian Foster,HOU,1,8,10,0,5,3,25,0
Andre Williams,NYG,1,11,35,0,1,0,0,0
Darren McFadden,DAL,1,10,31,0,0,0,0,0
Rex Burkhead,CIN,1,0,0,0,1,1,27,0
