,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Robbie Gould,CHI,1,4,4,100.0%,2,2
Brandon McManus,DEN,1,4,5,80.0%,2,2
Chris Boswell,PIT,1,4,4,100.0%,1,1
Phil Dawson,SF,1,4,4,100.0%,1,1
Matt Prater,DET,1,3,3,100.0%,4,4
Steve Hauschka,SEA,1,3,3,100.0%,2,2
Nick Folk,NYJ,1,2,3,66.7%,4,4
Stephen Gostkowski,NE,1,2,2,100.0%,4,4
Mike Nugent,CIN,1,2,2,100.0%,4,4
Blair Walsh,MIN,1,3,3,100.0%,1,1
Mason Crosby,GB,1,2,2,100.0%,3,3
Caleb Sturgis,PHI,1,2,2,100.0%,3,3
Andrew Franks,MIA,1,1,1,100.0%,5,5
Dustin Hopkins,WAS,1,2,2,100.0%,2,2
Josh Lambo,SD,1,2,2,100.0%,2,2
Justin Tucker,BAL,1,2,3,66.7%,2,2
Chandler Catanzaro,ARI,1,2,3,66.7%,1,1
Zach Hocker,NO,1,1,3,33.3%,4,4
Nick Novak,HOU,1,1,1,100.0%,4,4
Travis Coons,CLE,1,1,1,100.0%,2,2
Cairo Santos,KC,1,1,1,100.0%,1,1
Ryan Succop,TEN,1,1,1,100.0%,1,1
Matt Bryant,ATL,1,0,0,0.0%,3,3
Dan Carpenter,BUF,1,0,0,0.0%,3,3
Graham Gano,CAR,1,0,0,0.0%,3,4
Adam Vinatieri,IND,1,0,0,0.0%,3,4
Jason Myers,JAC,1,0,0,0.0%,2,3
Josh Brown,NYG,1,0,0,0.0%,1,1
