,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Mason Crosby,GB,1,5,5,100.0%,1,1
Graham Gano,CAR,1,3,3,100.0%,5,5
Jason Myers,JAC,1,4,4,100.0%,1,1
Chandler Catanzaro,ARI,1,2,2,100.0%,4,4
Matt Prater,DET,1,3,3,100.0%,1,1
Justin Tucker,BAL,1,3,5,60.0%,1,1
Connor Barth,TB,1,1,1,100.0%,6,6
Robbie Gould,CHI,1,3,3,100.0%,0,0
Cairo Santos,KC,1,2,2,100.0%,3,4
Stephen Gostkowski,NE,1,2,3,66.7%,2,2
Dan Carpenter,BUF,1,2,3,66.7%,1,1
Phil Dawson,SF,1,2,2,100.0%,1,1
Sebastian Janikowski,OAK,1,2,2,100.0%,1,1
Mike Nugent,CIN,1,1,1,100.0%,4,4
Ryan Succop,TEN,1,2,3,66.7%,1,1
Dan Bailey,DAL,1,1,1,100.0%,3,3
Nick Novak,HOU,1,1,1,100.0%,3,3
Adam Vinatieri,IND,1,1,1,100.0%,3,3
Randy Bullock,NYJ,1,1,1,100.0%,2,2
Steve Hauschka,SEA,1,1,1,100.0%,2,4
Brandon McManus,DEN,1,1,1,100.0%,2,2
Caleb Sturgis,PHI,1,1,1,100.0%,2,2
Matt Bryant,ATL,1,0,1,0.0%,3,3
Josh Lambo,SD,1,1,1,100.0%,0,0
Andrew Franks,MIA,1,0,0,0.0%,2,2
Dustin Hopkins,WAS,1,0,0,0.0%,2,2
Blair Walsh,MIN,1,0,0,0.0%,1,2
Greg Zuerlein,STL,1,0,1,0.0%,1,2
