,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Tom Brady,NE,1,38,59,466,3,0,3,-4,0
Tyrod Taylor,BUF,1,23,30,242,3,3,5,43,1
Derek Carr,OAK,1,30,46,351,3,1,2,23,0
Cam Newton,CAR,1,18,37,195,2,1,10,76,1
Ben Roethlisberger,PIT,1,21,27,369,3,0,1,-1,0
Colin Kaepernick,SF,1,33,46,335,2,0,9,51,0
Ryan Tannehill,MIA,1,30,44,359,2,0,3,17,0
Joe Flacco,BAL,1,32,45,384,2,1,2,2,0
Russell Wilson,SEA,1,19,30,206,2,1,10,78,0
Carson Palmer,ARI,1,17,24,185,4,1,2,-2,0
Eli Manning,NYG,1,27,40,292,2,0,2,23,0
Peyton Manning,DEN,1,26,45,256,3,1,0,0,0
Blake Bortles,JAC,1,18,33,273,2,0,2,27,0
Matthew Stafford,DET,1,32,53,286,2,1,4,20,0
Andy Dalton,CIN,1,16,26,214,3,0,5,10,0
Ryan Mallett,HOU,1,27,58,244,1,1,1,6,1
Marcus Mariota,TEN,1,21,37,257,2,0,3,19,0
Aaron Rodgers,GB,1,25,33,249,2,0,6,23,0
Jameis Winston,TB,1,14,21,207,1,0,6,23,1
Matt Ryan,ATL,1,30,46,363,1,0,1,-1,0
Ryan Fitzpatrick,NYJ,1,22,34,244,2,1,1,6,0
Philip Rivers,SD,1,21,27,241,2,1,1,5,0
Teddy Bridgewater,MIN,1,14,18,153,1,0,6,21,1
Andrew Luck,IND,1,21,37,250,1,3,4,24,0
Johnny Manziel,CLE,1,8,15,172,2,0,3,1,0
Drew Brees,NO,1,24,38,255,1,1,1,-1,0
Sam Bradford,PHI,1,23,37,224,1,2,2,9,0
Kirk Cousins,WAS,1,23,27,203,1,0,0,0,0
Jay Cutler,CHI,1,8,9,120,1,1,3,24,0
Nick Foles,STL,1,17,32,150,1,0,1,1,0
Alex Smith,KC,1,16,25,191,0,2,3,15,0
Tony Romo,DAL,1,18,27,195,0,0,1,12,0
Brandon Weeden,DAL,1,7,7,73,1,0,3,11,0
Jimmy Clausen,CHI,1,14,23,121,0,1,2,-5,0
Michael Vick,PIT,1,0,0,0,0,0,3,-3,0
