,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Dustin Hopkins,WAS,1,4,4,100.0%,5,5
Cairo Santos,KC,1,5,6,83.3%,2,2
Josh Brown,NYG,1,4,4,100.0%,2,2
Chandler Catanzaro,ARI,1,3,3,100.0%,4,4
Robbie Gould,CHI,1,3,3,100.0%,4,4
Blair Walsh,MIN,1,3,5,60.0%,3,3
Chris Boswell,PIT,1,3,3,100.0%,1,2
Dan Carpenter,BUF,1,3,3,100.0%,1,2
Jason Myers,JAC,1,3,4,75.0%,1,1
Graham Gano,CAR,1,2,2,100.0%,3,3
Stephen Gostkowski,NE,1,2,2,100.0%,3,3
Andrew Franks,MIA,1,2,2,100.0%,2,2
Steve Hauschka,SEA,1,2,2,100.0%,2,2
Greg Zuerlein,STL,1,2,2,100.0%,1,1
Dan Bailey,DAL,1,2,3,66.7%,0,0
Mike Nugent,CIN,1,2,2,100.0%,0,0
Matt Prater,DET,1,2,2,100.0%,0,2
Randy Bullock,NYJ,1,1,1,100.0%,2,2
Caleb Sturgis,PHI,1,1,2,50.0%,2,2
Connor Barth,TB,1,1,2,50.0%,1,1
Mason Crosby,GB,1,1,2,50.0%,1,1
Nick Novak,HOU,1,1,1,100.0%,1,1
Ryan Succop,TEN,1,1,1,100.0%,1,1
Travis Coons,CLE,1,1,1,100.0%,0,1
Kai Forbath,NO,1,0,0,0.0%,2,2
Sebastian Janikowski,OAK,1,0,0,0.0%,2,2
Justin Tucker,BAL,1,0,1,0.0%,2,2
Brandon McManus,DEN,1,0,0,0.0%,1,1
