Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
Houston Texans,1,7,2,1,0,6,171.0,86.0,0,0,Away,Tennessee Titans,8
New England Patriots,1,5,0,2,0,7,300.0,15.0,1,0,Away,Miami Dolphins,8
Kansas City Chiefs,1,6,0,2,0,10,227.0,81.0,0,0,Away,Detroit Lions,8
New York Giants,1,0,1,1,1,52,511.0,103.0,0,0,Home,New Orleans Saints,8
Minnesota Vikings,1,1,0,0,0,20,211.0,97.0,0,1,Home,Chicago Bears,8
Carolina Panthers,1,2,1,3,0,26,231.0,136.0,0,0,Away,Indianapolis Colts,8
Cincinnati Bengals,1,3,0,3,0,10,262.0,116.0,0,0,Home,Pittsburgh Steelers,8
Pittsburgh Steelers,1,3,0,2,0,16,231.0,78.0,0,0,Away,Cincinnati Bengals,8
Indianapolis Colts,1,2,2,1,0,29,248.0,140.0,0,0,Home,Carolina Panthers,8
St. Louis Rams,1,3,0,0,0,6,162.0,38.0,1,0,Away,San Francisco 49ers,8
Tampa Bay Buccaneers,1,1,3,1,0,20,397.0,101.0,0,0,Home,Atlanta Falcons,8
Cleveland Browns,1,1,3,1,0,34,374.0,119.0,0,0,Away,Arizona Cardinals,8
Denver Broncos,1,3,0,0,0,10,77.0,90.0,1,0,Away,Green Bay Packers,8
New Orleans Saints,1,3,1,0,0,49,350.0,87.0,0,0,Away,New York Giants,8
Oakland Raiders,1,3,0,1,0,20,311.0,74.0,0,0,Away,New York Jets,8
Arizona Cardinals,1,1,1,1,0,20,223.0,39.0,0,0,Home,Cleveland Browns,8
San Diego Chargers,1,3,0,0,0,29,319.0,72.0,0,0,Home,Baltimore Ravens,8
Tennessee Titans,1,3,0,0,0,20,235.0,56.0,0,0,Home,Houston Texans,8
Detroit Lions,1,3,0,0,0,45,149.0,206.0,0,0,Home,Kansas City Chiefs,8
Atlanta Falcons,1,2,0,0,0,23,177.0,117.0,0,0,Away,Tampa Bay Buccaneers,8
Miami Dolphins,1,2,0,0,0,36,356.0,95.0,0,0,Home,New England Patriots,8
Chicago Bears,1,1,0,1,0,23,187.0,147.0,0,0,Away,Minnesota Vikings,8
Seattle Seahawks,1,1,0,0,0,12,97.0,129.0,0,0,Home,Dallas Cowboys,8
Baltimore Ravens,1,1,0,0,0,26,301.0,81.0,0,0,Away,San Diego Chargers,8
San Francisco 49ers,1,0,1,0,0,27,191.0,197.0,0,0,Home,St. Louis Rams,8
Dallas Cowboys,1,0,0,1,0,13,210.0,113.0,0,0,Away,Seattle Seahawks,8
Green Bay Packers,1,0,0,1,0,29,340.0,160.0,0,0,Home,Denver Broncos,8
New York Jets,1,0,0,0,0,34,333.0,118.0,0,0,Home,Oakland Raiders,8
