,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
26,DeAngelo Williams,RB,22.38,0.0,22.38,22.38,22.38,22.38
115,David Johnson,RB,18.86,0.0,18.86,18.86,18.859999999999996,18.86
20,Mark Ingram,RB,16.89,0.0,16.89,16.89,16.89,16.89
107,Todd Gurley,RB,16.83,0.0,16.83,16.83,16.83,16.83
64,Theo Riddick,RB,16.4,0.0,16.4,16.4,16.400000000000002,16.4
42,Lamar Miller,RB,16.4,0.0,16.4,16.4,16.400000000000002,16.4
72,C.J. Anderson,RB,15.79,0.0,15.79,15.79,15.790000000000004,15.79
1,Matt Forte,RB,15.62,0.0,15.62,15.62,15.620000000000005,15.62
128,Ezekiel Elliott,RB,15.3,0.0,15.3,15.3,15.3,15.3
79,Devonta Freeman,RB,15.22,0.0,15.22,15.22,15.219999999999999,15.22
7,LeSean McCoy,RB,15.06,0.0,15.06,15.06,15.06,15.06
88,Charles Sims,RB,14.73,0.0,14.73,14.73,14.730000000000002,14.73
105,Melvin Gordon,RB,14.42,0.0,14.42,14.42,14.419999999999998,14.42
15,DeMarco Murray,RB,14.06,0.0,14.06,14.06,14.059999999999997,14.06
6,Rashad Jennings,RB,14.01,0.0,14.01,14.01,14.010000000000002,14.01
3,Jamaal Charles,RB,13.77,0.0,13.77,13.77,13.77,13.77
67,Eddie Lacy,RB,13.12,0.0,13.12,13.12,13.120000000000003,13.12
90,Isaiah Crowell,RB,12.9,0.0,12.9,12.9,12.9,12.9
4,Justin Forsett,RB,12.51,0.0,12.51,12.51,12.51,12.51
10,LeGarrette Blount,RB,12.44,0.0,12.44,12.44,12.44,12.44
73,Latavius Murray,RB,12.31,0.0,12.31,12.31,12.310000000000004,12.31
102,Tevin Coleman,RB,12.12,0.0,12.12,12.12,12.120000000000003,12.12
28,Frank Gore,RB,12.11,0.0,12.11,12.11,12.110000000000001,12.11
66,Giovani Bernard,RB,11.97,0.0,11.97,11.97,11.970000000000002,11.97
25,Shane Vereen,RB,11.94,0.0,11.94,11.94,11.939999999999998,11.94
112,Matt Jones,RB,11.73,0.0,11.73,11.73,11.729999999999999,11.73
101,Jeremy Langford,RB,11.67,0.0,11.67,11.67,11.670000000000003,11.67
103,Duke Johnson,RB,11.35,0.0,11.35,11.35,11.35,11.35
11,Ryan Mathews,RB,11.23,0.0,11.23,11.23,11.230000000000002,11.23
60,Christine Michael,RB,10.58,0.0,10.58,10.58,10.58,10.58
86,Jerick McKinnon,RB,10.5,0.0,10.5,10.5,10.5,10.5
29,Darren Sproles,RB,10.37,0.0,10.37,10.37,10.370000000000003,10.37
89,James White,RB,10.37,0.0,10.37,10.37,10.369999999999997,10.37
109,Jay Ajayi,RB,10.1,0.0,10.1,10.1,10.1,10.1
87,Carlos Hyde,RB,10.08,0.0,10.08,10.08,10.080000000000002,10.08
123,Thomas Rawls,RB,10.05,0.0,10.05,10.05,10.05,10.05
83,Terrance West,RB,9.92,0.0,9.92,9.92,9.92,9.92
106,T.J. Yeldon,RB,9.57,0.0,9.57,9.57,9.57,9.57
82,Jeremy Hill,RB,9.45,0.0,9.45,9.45,9.450000000000003,9.45
130,Kenyan Drake,RB,8.88,0.0,8.88,8.88,8.88,8.88
16,Matt Asiata,RB,8.52,0.0,8.52,8.52,8.520000000000001,8.52
32,Chris Ivory,RB,7.85,0.0,7.85,7.85,7.850000000000001,7.85
65,Fozzy Whittaker,RB,7.76,0.0,7.76,7.76,7.7600000000000025,7.76
63,Chris Thompson,RB,7.58,0.0,7.58,7.58,7.58,7.58
133,Jordan Howard,RB,7.5,0.0,7.5,7.5,7.499999999999999,7.5
139,Derrick Henry,RB,6.79,0.0,6.79,6.79,6.790000000000001,6.79
69,Spencer Ware,RB,6.58,0.0,6.58,6.58,6.580000000000001,6.58
14,James Starks,RB,6.54,0.0,6.54,6.54,6.540000000000001,6.54
19,Shaun Draughn,RB,6.48,0.0,6.48,6.48,6.4799999999999995,6.48
51,Lance Dunbar,RB,6.13,0.0,6.13,6.13,6.130000000000002,6.13
74,Benny Cunningham,RB,5.82,0.0,5.82,5.82,5.819999999999999,5.82
52,Travaris Cadet,RB,5.81,0.0,5.81,5.81,5.8100000000000005,5.81
31,Mike Tolbert,RB,5.67,0.0,5.67,5.67,5.670000000000001,5.67
17,Bilal Powell,RB,5.63,0.0,5.63,5.63,5.630000000000001,5.63
23,Jacquizz Rodgers,RB,5.56,0.0,5.56,5.56,5.5600000000000005,5.56
138,DeAndre Washington,RB,5.46,0.0,5.46,5.46,5.459999999999999,5.46
