Player,Team,Games Played,Punts,Punt Yards,Punt Yards Avg,Punt Long,Punts Inside 20,Punts Inside 20 %,Punt Touchbacks,Punt Touchback %,Blocked Punts,Punt Net Avg
"Hekker, Johnny",STL,16,96,4601,47.9,68,41,42.7%,6,6.3%,0,43.7
"McAfee, Pat",IND,16,85,4052,47.7,63,28,32.9%,6,7.1%,0,41.7
"Darr, Matt",MIA,16,92,4380,47.6,70,30,32.6%,10,10.9%,0,39.7
"Kern, Brett",TEN,16,88,4175,47.4,61,34,38.6%,1,1.1%,0,40.3
"Lechler, Shane",HOU,16,95,4497,47.3,64,24,25.3%,10,10.5%,0,38.8
"Bosher, Matt",ATL,16,58,2735,47.2,69,24,41.4%,4,6.9%,1,40.4
"Jones, Donnie",PHI,16,86,4038,47.0,64,29,33.7%,8,9.3%,2,41.6
"Lee, Andy",CLE,16,70,3270,46.7,67,25,35.7%,4,5.7%,0,40.1
"Koch, Sam",BAL,16,74,3454,46.7,67,29,39.2%,5,6.8%,0,42.9
"Anger, Bryan",JAX,16,80,3700,46.3,63,26,32.5%,4,5.0%,0,39.5
"Schmidt, Colton",BUF,16,82,3797,46.3,65,22,26.8%,3,3.7%,0,41.3
"Way, Tress",WSH,16,70,3224,46.1,64,21,30.0%,7,10.0%,1,39.8
"Martin, Sam",DET,16,80,3679,46.0,66,25,31.3%,3,3.8%,0,42.0
"Allen, Ryan",NE,16,73,3358,46.0,67,31,42.5%,3,4.1%,1,39.9
"Huber, Kevin",CIN,16,68,3116,45.8,67,22,32.4%,6,8.8%,1,40.5
"Ryan, Jon",SEA,16,68,3105,45.7,73,24,35.3%,7,10.3%,0,37.9
"Morstead, Thomas",NO,14,56,2551,45.6,58,20,35.7%,4,7.1%,0,40.7
"Nortman, Brad",CAR,16,70,3175,45.4,65,20,28.6%,5,7.1%,0,39.8
"Scifres, Mike",SD,16,72,3261,45.3,68,15,20.8%,2,2.8%,1,38.2
"Jones, Chris",DAL,16,69,3117,45.2,61,27,39.1%,1,1.4%,0,42.5
"King, Marquette",OAK,16,83,3697,44.5,70,40,48.2%,4,4.8%,1,40.7
"Wing, Brad",NYG,16,76,3380,44.5,64,33,43.4%,6,7.9%,0,38.9
"Colquitt, Dustin",KC,16,75,3333,44.4,62,37,49.3%,5,6.7%,0,40.8
"O'Donnell, Patrick",CHI,15,70,3097,44.2,72,28,40.0%,4,5.7%,1,39.7
"Masthay, Tim",GB,16,81,3554,43.9,62,18,22.2%,6,7.4%,0,40.2
"Quigley, Ryan",NYJ,15,75,3287,43.8,68,27,36.0%,4,5.3%,1,36.5
"Colquitt, Britton",DEN,16,84,3663,43.6,62,22,26.2%,4,4.8%,0,39.7
"Pinion, Bradley",SF,16,91,3969,43.6,62,31,34.1%,5,5.5%,0,39.4
"Butler, Drew",ARZ,16,60,2575,42.9,58,22,36.7%,6,10.0%,1,35.4
"Berry, Jordan",PIT,16,59,2511,42.6,79,28,47.5%,2,3.4%,0,39.1
"Schum, Jacob",TB,16,56,2348,41.9,60,15,26.8%,4,7.1%,0,38.0
"Locke, Jeff",MIN,16,66,2746,41.6,61,23,34.8%,5,7.6%,0,37.8
