Player,Team,Games Played,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Yards,Interception Touchdowns,Interception Return Long,Forced Fumbles,Fumbles Recovered,Fumble Recovery Touchdowns,Passes Defensed,Safeties,Stuffs,Stuff Yards
"Sanford, Jamarca",NO,16,6,6,0,0.0,0,1,3,0,3,0,0,0,1,0,0.0,0.0
"Lewis, Keenan",NO,6,6,6,0,0.0,0,0,0,0,0,0,0,0,2,0,0.0,0.0
"Allen, Cortez",PIT,1,6,3,3,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Carter, Chris",[],15,6,4,2,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Bradford, Allen",ATL,6,6,5,1,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
"Carder, Tank",CLE,16,6,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Goode, Najee",PHI,14,6,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Hughes, Montori",NYG,7,6,3,3,0.0,0,0,0,0,0,0,0,0,0,0,2.0,2.0
"Square, Damion",SD,6,6,5,1,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Smith, Marcus",PHI,13,6,3,3,1.5,8,0,0,0,0,0,0,0,0,0,0.0,0.0
"Gaines, Phillip",KC,3,6,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Ducre, Greg",SD,4,6,6,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
"Wright, Gabe",DET,7,6,5,1,0.0,0,0,0,0,0,0,0,0,0,0,1.0,3.0
"Kilgo, Darius",DEN,9,6,5,1,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
"Robinson, Edmond",MIN,9,6,4,2,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
"Redding, Cory",ARZ,12,5,4,1,0.0,0,1,30,0,30,0,2,1,2,0,0.0,0.0
"Bryant, Red",ARZ,6,5,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Carey, Don",DET,16,5,3,2,0.0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
"Ellis, Kenrick",MIN,9,5,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Brooks, Ron",BUF,13,5,5,0,0.0,0,0,0,0,0,0,0,0,2,0,1.0,3.0
