Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Josh Brown,New York Giants,1,4,4,100.0%,2,2,Home,Dallas Cowboys
Matt Bryant,Atlanta Falcons,1,4,4,100.0%,2,2,Away,Philadelphia Eagles
Zach Hocker,New Orleans Saints,1,4,4,100.0%,1,1,Home,Arizona Cardinals
Brandon McManus,Denver Broncos,1,4,4,100.0%,1,1,Away,Baltimore Ravens
Robbie Gould,Chicago Bears,1,3,3,100.0%,2,2,Away,Green Bay Packers
Steve Hauschka,Seattle Seahawks,1,3,3,100.0%,2,2,Home,St. Louis Rams
Greg Zuerlein,St. Louis Rams,1,2,2,100.0%,4,4,Away,Seattle Seahawks
Dan Bailey,Dallas Cowboys,1,2,2,100.0%,3,3,Away,New York Giants
Dan Carpenter,Buffalo Bills,1,2,2,100.0%,3,3,Away,Indianapolis Colts
Josh Lambo,San Diego Chargers,1,2,2,100.0%,3,4,Away,Detroit Lions
Mike Nugent,Cincinnati Bengals,1,2,2,100.0%,3,4,Home,Oakland Raiders
Cairo Santos,Kansas City Chiefs,1,2,3,66.7%,3,3,Home,Houston Texans
Phil Dawson,San Francisco 49ers,1,2,3,66.7%,2,2,Away,Minnesota Vikings
Graham Gano,Carolina Panthers,1,2,4,50.0%,2,2,Home,Jacksonville Jaguars
Chandler Catanzaro,Arizona Cardinals,1,1,1,100.0%,4,4,Away,New Orleans Saints
Mason Crosby,Green Bay Packers,1,1,1,100.0%,4,4,Home,Chicago Bears
Nick Folk,New York Jets,1,1,1,100.0%,4,4,Away,Cleveland Browns
Josh Scobee,Pittsburgh Steelers,1,2,4,50.0%,1,1,Home,New England Patriots
Justin Tucker,Baltimore Ravens,1,2,2,100.0%,1,1,Home,Denver Broncos
Randy Bullock,Houston Texans,1,2,2,100.0%,0,1,Away,Kansas City Chiefs
Cody Parkey,Philadelphia Eagles,1,1,2,50.0%,3,3,Home,Atlanta Falcons
Ryan Succop,Tennessee Titans,1,0,0,0.0%,6,6,Home,Tampa Bay Buccaneers
Andrew Franks,Miami Dolphins,1,1,1,100.0%,2,2,Home,Washington Redskins
Travis Coons,Cleveland Browns,1,1,1,100.0%,1,1,Home,New York Jets
Kai Forbath,Washington Redskins,1,1,2,50.0%,1,1,Away,Miami Dolphins
Stephen Gostkowski,New England Patriots,1,0,0,0.0%,4,4,Away,Pittsburgh Steelers
Matt Prater,Detroit Lions,1,0,0,0.0%,4,4,Home,San Diego Chargers
Jason Myers,Jacksonville Jaguars,1,1,2,50.0%,0,1,Away,Carolina Panthers
Blair Walsh,Minnesota Vikings,1,1,2,50.0%,0,0,Home,San Francisco 49ers
Kyle Brindza,Tampa Bay Buccaneers,1,0,0,0.0%,2,2,Away,Tennessee Titans
Sebastian Janikowski,Oakland Raiders,1,0,0,0.0%,1,1,Away,Cincinnati Bengals
Adam Vinatieri,Indianapolis Colts,1,0,1,0.0%,0,0,Home,Buffalo Bills
