Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR,Home or Away,Opponent
Brandon Graham,Philadelphia Eagles,1,7,0,2.0,0,0,2,0,Home,Dallas Cowboys
Carlos Dunlap,Cincinnati Bengals,1,4,0,2.0,0,0,0,0,Away,Cleveland Browns
Linval Joseph,Minnesota Vikings,1,7,3,0.5,0,0,0,0,Away,St. Louis Rams
Kendall Langford,Indianapolis Colts,1,3,3,1.0,0,0,0,0,Away,Denver Broncos
Kawann Short,Carolina Panthers,1,4,1,1.0,0,0,0,0,Away,Green Bay Packers
Connor Barwin,Philadelphia Eagles,1,4,0,1.0,0,0,0,0,Home,Dallas Cowboys
Kony Ealy,Carolina Panthers,1,1,0,1.0,0,0,1,0,Away,Green Bay Packers
Geno Atkins,Cincinnati Bengals,1,3,1,1.0,0,0,0,0,Away,Cleveland Browns
Vic Beasley,Atlanta Falcons,1,1,0,0.0,1,1,0,0,Home,San Francisco 49ers
Cameron Heyward,Pittsburgh Steelers,1,6,2,0.0,0,0,0,0,Away,Oakland Raiders
Malik Jackson,Denver Broncos,1,3,2,0.0,3,0,0,0,Home,Indianapolis Colts
Greg Hardy,Dallas Cowboys,1,2,1,1.0,0,0,0,0,Away,Philadelphia Eagles
Star Lotulelei,Carolina Panthers,1,2,1,1.0,0,0,0,0,Away,Green Bay Packers
Aaron Lynch,San Francisco 49ers,1,2,1,1.0,0,0,0,0,Away,Atlanta Falcons
Chris Baker,Washington Redskins,1,5,2,0.0,0,0,0,0,Home,New England Patriots
Angelo Blackson,Tennessee Titans,1,1,2,1.0,0,0,0,0,Home,New Orleans Saints
Desmond Bryant,Cleveland Browns,1,2,0,1.0,0,0,0,0,Home,Cincinnati Bengals
John Jenkins,New Orleans Saints,1,2,8,0.0,0,0,0,0,Away,Tennessee Titans
Ndamukong Suh,Miami Dolphins,1,1,2,1.0,0,0,0,0,Home,Buffalo Bills
Olivier Vernon,Miami Dolphins,1,5,2,0.0,0,0,0,0,Home,Buffalo Bills
Jared Odrick,Jacksonville Jaguars,1,1,1,1.0,0,0,0,0,Home,New York Jets
Stephen Paea,Washington Redskins,1,2,1,0.0,0,0,1,0,Home,New England Patriots
Sheldon Richardson,New York Jets,1,2,3,0.5,0,0,0,0,Away,Jacksonville Jaguars
Chris Clemons,Jacksonville Jaguars,1,1,0,1.0,0,0,0,0,Home,New York Jets
William Gholston,Tampa Bay Buccaneers,1,3,4,0.0,0,0,0,0,Away,New York Giants
William Hayes,St. Louis Rams,1,5,0,0.0,0,0,0,0,Home,Minnesota Vikings
Devon Kennard,New York Giants,1,4,2,0.0,0,0,0,0,Home,Tampa Bay Buccaneers
Rob Ninkovich,New England Patriots,1,2,2,0.0,0,0,0,1,Away,Washington Redskins
Jordan Phillips,Miami Dolphins,1,1,0,1.0,0,0,0,0,Home,Buffalo Bills
DeMarcus Ware,Denver Broncos,1,1,0,1.0,0,0,0,0,Home,Indianapolis Colts
Alan Branch,New England Patriots,1,1,1,0.0,0,0,1,0,Away,Washington Redskins
Brian Robison,Minnesota Vikings,1,4,1,0.0,0,0,0,0,Away,St. Louis Rams
Jonathan Babineaux,Atlanta Falcons,1,3,0,0.0,1,0,0,0,Home,San Francisco 49ers
Michael Brockers,St. Louis Rams,1,4,0,0.0,0,0,0,0,Home,Minnesota Vikings
Johnathan Hankins,New York Giants,1,1,0,0.0,0,0,1,0,Home,Tampa Bay Buccaneers
DaQuan Jones,Tennessee Titans,1,3,2,0.0,0,0,0,0,Home,New Orleans Saints
Leonard Williams,New York Jets,1,1,2,0.5,0,0,0,0,Away,Jacksonville Jaguars
Kroy Biermann,Atlanta Falcons,1,3,1,0.0,0,0,0,0,Home,San Francisco 49ers
Armonty Bryant,Cleveland Browns,1,3,1,0.0,0,0,0,0,Home,Cincinnati Bengals
Damon Harrison,New York Jets,1,2,3,0.0,0,0,0,0,Away,Jacksonville Jaguars
Sean Lissemore,San Diego Chargers,1,3,1,0.0,0,0,0,0,Away,Chicago Bears
Kevin Williams,New Orleans Saints,1,1,5,0.0,0,0,0,0,Away,Tennessee Titans
Beau Allen,Philadelphia Eagles,1,3,0,0.0,0,0,0,0,Home,Dallas Cowboys
Andre Branch,Jacksonville Jaguars,1,3,0,0.0,0,0,0,0,Home,New York Jets
Ryan Carrethers,San Diego Chargers,1,3,0,0.0,0,0,0,0,Away,Chicago Bears
Tyrone Crawford,Dallas Cowboys,1,2,0,0.0,1,0,0,0,Away,Philadelphia Eagles
Mike Daniels,Green Bay Packers,1,3,0,0.0,0,0,0,0,Home,Carolina Panthers
"Mario Edwards, Jr.",Oakland Raiders,1,3,0,0.0,0,0,0,0,Home,Pittsburgh Steelers
Justin Ellis,Oakland Raiders,1,3,0,0.0,0,0,0,0,Home,Pittsburgh Steelers
Everson Griffen,Minnesota Vikings,1,3,0,0.0,0,0,0,0,Away,St. Louis Rams
