Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR,Home or Away,Opponent
Tyrann Mathieu,Arizona Cardinals,1,11,2,0.0,2,1,0,0,Home,San Francisco 49ers
Leon Hall,Cincinnati Bengals,1,4,2,0.0,2,1,0,0,Away,St. Louis Rams
Kurt Coleman,Carolina Panthers,1,2,1,0.0,1,1,0,0,Home,Dallas Cowboys
Kenny Vaccaro,New Orleans Saints,1,8,5,0.0,0,0,1,0,Home,Houston Texans
David Amerson,Oakland Raiders,1,2,0,0.0,6,1,0,0,Home,Tennessee Titans
DeShawn Shead,Seattle Seahawks,1,8,2,0.0,4,0,0,0,Away,Pittsburgh Steelers
Kam Chancellor,Seattle Seahawks,1,4,3,0.0,2,1,0,0,Away,Pittsburgh Steelers
Dre Kirkpatrick,Cincinnati Bengals,1,9,1,0.0,3,0,0,0,Away,St. Louis Rams
Tony Jefferson,Arizona Cardinals,1,4,2,1.0,0,0,1,0,Home,San Francisco 49ers
Jairus Byrd,New Orleans Saints,1,4,3,0.0,1,1,0,0,Home,Houston Texans
Ricardo Allen,Atlanta Falcons,1,3,3,0.0,1,1,0,0,Away,Minnesota Vikings
George Iloka,Cincinnati Bengals,1,3,1,0.0,2,1,0,0,Away,St. Louis Rams
Richard Sherman,Seattle Seahawks,1,2,3,0.0,2,1,0,0,Away,Pittsburgh Steelers
Quinton Dunbar,Washington Redskins,1,2,0,0.0,3,1,0,0,Away,New York Giants
Tracy Porter,Chicago Bears,1,1,0,0.0,4,1,0,0,Home,Green Bay Packers
Robert Blanton,Minnesota Vikings,1,8,1,0.0,1,0,0,0,Home,Atlanta Falcons
Dwight Lowery,Indianapolis Colts,1,3,1,0.0,1,1,0,0,Away,Tampa Bay Buccaneers
Tramon Williams,Cleveland Browns,1,3,1,0.0,1,1,0,0,Away,Baltimore Ravens
Will Blackmon,Washington Redskins,1,1,2,0.0,2,1,0,0,Away,New York Giants
Kareem Jackson,Houston Texans,1,2,2,0.0,1,1,0,0,Away,New Orleans Saints
Janoris Jenkins,St. Louis Rams,1,3,0,0.0,1,1,0,0,Home,Cincinnati Bengals
Chris Prosinski,Chicago Bears,1,6,0,0.0,0,0,1,0,Home,Green Bay Packers
Kenneth Acker,San Francisco 49ers,1,7,1,0.0,1,0,0,0,Away,Arizona Cardinals
Adrian Amos,Chicago Bears,1,8,1,0.0,0,0,0,0,Home,Green Bay Packers
Mark Barron,St. Louis Rams,1,7,3,0.0,0,0,0,0,Home,Cincinnati Bengals
Bashaud Breeland,Washington Redskins,1,4,1,0.0,4,0,0,0,Away,New York Giants
Landon Collins,New York Giants,1,8,1,0.0,0,0,0,0,Home,Washington Redskins
Captain Munnerlyn,Minnesota Vikings,1,2,1,0.0,1,1,0,0,Home,Atlanta Falcons
Terence Newman,Minnesota Vikings,1,1,1,0.0,2,1,0,0,Home,Atlanta Falcons
Malcolm Butler,New England Patriots,1,7,0,0.0,1,0,0,0,Home,Denver Broncos
Reggie Nelson,Cincinnati Bengals,1,2,0,0.0,1,1,0,0,Away,St. Louis Rams
Marcus Roberson,St. Louis Rams,1,4,2,0.0,0,0,1,0,Home,Cincinnati Bengals
Quinten Rollins,Green Bay Packers,1,3,0,1.0,1,0,0,0,Away,Chicago Bears
Lardarius Webb,Baltimore Ravens,1,7,0,0.0,1,0,0,0,Home,Cleveland Browns
Jude Adjei-Barimah,Tampa Bay Buccaneers,1,6,3,0.0,0,0,0,0,Home,Indianapolis Colts
Perrish Cox,Tennessee Titans,1,4,1,0.0,3,0,0,0,Away,Oakland Raiders
Reshad Jones,Miami Dolphins,1,6,1,0.0,1,0,0,0,Home,New York Jets
Jeremy Lane,Seattle Seahawks,1,1,1,0.0,1,1,0,0,Away,Pittsburgh Steelers
Logan Ryan,New England Patriots,1,3,1,0.0,4,0,0,0,Home,Denver Broncos
Michael Thomas,Miami Dolphins,1,5,5,0.0,0,0,0,0,Home,New York Jets
Walter Thurmond,Philadelphia Eagles,1,6,3,0.0,0,0,0,0,Home,Detroit Lions
Jahleel Addae,San Diego Chargers,1,5,0,0.0,2,0,0,0,Home,Jacksonville Jaguars
Michael Griffin,Tennessee Titans,1,5,4,0.0,0,0,0,0,Away,Oakland Raiders
Johnathan Joseph,Houston Texans,1,5,2,0.0,1,0,0,0,Away,New Orleans Saints
Byron Maxwell,Philadelphia Eagles,1,6,0,0.0,1,0,0,0,Home,Detroit Lions
Mike Mitchell,Pittsburgh Steelers,1,6,2,0.0,0,0,0,0,Home,Seattle Seahawks
Calvin Pryor,New York Jets,1,5,2,0.0,1,0,0,0,Away,Miami Dolphins
Buster Skrine,New York Jets,1,5,2,0.0,1,0,0,0,Away,Miami Dolphins
Darian Stewart,Denver Broncos,1,4,0,0.0,3,0,0,0,Away,New England Patriots
Shareece Wright,Baltimore Ravens,1,5,0,0.0,2,0,0,0,Home,Cleveland Browns
