Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Cairo Santos,Kansas City Chiefs,1,7,7,100.0%,0,0,Home,Cincinnati Bengals
Chandler Catanzaro,Arizona Cardinals,1,5,5,100.0%,1,1,Away,St. Louis Rams
Travis Coons,Cleveland Browns,1,4,4,100.0%,1,1,Home,San Diego Chargers
Graham Gano,Carolina Panthers,1,3,3,100.0%,4,4,Home,Tampa Bay Buccaneers
Josh Lambo,San Diego Chargers,1,3,3,100.0%,3,3,Away,Cleveland Browns
Dustin Hopkins,Washington Redskins,1,3,3,100.0%,2,2,Away,Philadelphia Eagles
Brandon McManus,Denver Broncos,1,3,3,100.0%,2,2,Away,Minnesota Vikings
Justin Tucker,Baltimore Ravens,1,3,3,100.0%,2,2,Home,Pittsburgh Steelers
Robbie Gould,Chicago Bears,1,3,3,100.0%,1,2,Away,Oakland Raiders
Adam Vinatieri,Indianapolis Colts,1,3,3,100.0%,1,1,Away,Jacksonville Jaguars
Nick Folk,New York Jets,1,2,3,66.7%,3,3,Home,Miami Dolphins
Dan Bailey,Dallas Cowboys,1,2,2,100.0%,2,2,Home,New Orleans Saints
Zach Hocker,New Orleans Saints,1,2,3,66.7%,2,2,Away,Dallas Cowboys
Sebastian Janikowski,Oakland Raiders,1,2,2,100.0%,2,2,Home,Chicago Bears
Josh Scobee,Pittsburgh Steelers,1,2,4,50.0%,2,2,Away,Baltimore Ravens
Blair Walsh,Minnesota Vikings,1,2,3,66.7%,2,2,Home,Denver Broncos
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,1,1,Away,Detroit Lions
Jason Myers,Jacksonville Jaguars,1,2,4,50.0%,1,1,Home,Indianapolis Colts
Matt Bryant,Atlanta Falcons,1,0,0,0.0%,6,7,Away,Houston Texans
Greg Zuerlein,St. Louis Rams,1,1,1,100.0%,3,3,Home,Arizona Cardinals
Kyle Brindza,Tampa Bay Buccaneers,1,1,3,33.3%,2,3,Away,Carolina Panthers
Mason Crosby,Green Bay Packers,1,1,2,50.0%,2,2,Home,San Francisco 49ers
Josh Brown,New York Giants,1,1,1,100.0%,1,2,Home,Buffalo Bills
Dan Carpenter,Buffalo Bills,1,1,2,50.0%,1,1,Away,New York Giants
Mike Nugent,Cincinnati Bengals,1,0,1,0.0%,4,4,Away,Kansas City Chiefs
Matt Prater,Detroit Lions,1,1,1,100.0%,1,1,Home,Seattle Seahawks
Phil Dawson,San Francisco 49ers,1,1,1,100.0%,0,0,Away,Green Bay Packers
Nick Novak,Houston Texans,1,0,1,0.0%,3,3,Home,Atlanta Falcons
Andrew Franks,Miami Dolphins,1,0,0,0.0%,2,2,Away,New York Jets
Caleb Sturgis,Philadelphia Eagles,1,0,1,0.0%,2,3,Home,Washington Redskins
