Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Carlos Hyde,San Francisco 49ers,1,26,168,2,2,2,14,0,Away,Minnesota Vikings,1
Matt Forte,Chicago Bears,1,24,141,1,8,5,25,0,Away,Green Bay Packers,1
Chris Ivory,New York Jets,1,20,91,2,1,1,9,0,Away,Cleveland Browns,1
Bishop Sankey,Tennessee Titans,1,12,74,1,4,2,12,1,Home,Tampa Bay Buccaneers,1
Jeremy Hill,Cincinnati Bengals,1,19,63,2,0,0,0,0,Home,Oakland Raiders,1
Danny Woodhead,San Diego Chargers,1,12,42,2,7,4,20,0,Away,Detroit Lions,1
Jamaal Charles,Kansas City Chiefs,1,16,57,0,8,5,46,1,Home,Houston Texans,1
Eddie Lacy,Green Bay Packers,1,19,85,1,3,2,14,0,Home,Chicago Bears,1
Ameer Abdullah,Detroit Lions,1,7,50,1,4,4,44,0,Home,San Diego Chargers,1
Marcel Reece,Oakland Raiders,1,0,0,0,4,3,26,2,Away,Cincinnati Bengals,1
DeMarco Murray,Philadelphia Eagles,1,8,9,1,5,4,11,1,Home,Atlanta Falcons,1
Andre Ellington,Arizona Cardinals,1,12,69,1,3,1,7,0,Away,New Orleans Saints,1
DeAngelo Williams,Pittsburgh Steelers,1,21,127,0,1,1,5,0,Home,New England Patriots,1
Darren Sproles,Philadelphia Eagles,1,5,50,0,9,7,76,0,Home,Atlanta Falcons,1
Benny Cunningham,St. Louis Rams,1,16,45,0,7,4,77,0,Away,Seattle Seahawks,1
Mark Ingram,New Orleans Saints,1,9,24,0,9,8,98,0,Home,Arizona Cardinals,1
Alfred Morris,Washington Redskins,1,25,121,0,0,0,0,0,Away,Miami Dolphins,1
Dion Lewis,New England Patriots,1,15,69,0,5,4,51,0,Away,Pittsburgh Steelers,1
David Johnson,Arizona Cardinals,1,0,0,0,2,1,55,1,Away,New Orleans Saints,1
Karlos Williams,Buffalo Bills,1,6,55,1,0,0,0,0,Away,Indianapolis Colts,1
Rashad Jennings,New York Giants,1,13,52,1,0,0,0,0,Home,Dallas Cowboys,1
Joseph Randle,Dallas Cowboys,1,16,65,0,3,3,42,0,Away,New York Giants,1
Marshawn Lynch,Seattle Seahawks,1,18,73,0,7,5,31,0,Home,St. Louis Rams,1
Theo Riddick,Detroit Lions,1,0,0,0,2,2,37,1,Home,San Diego Chargers,1
Giovani Bernard,Cincinnati Bengals,1,8,63,0,6,6,25,0,Home,Oakland Raiders,1
Ryan Mathews,Philadelphia Eagles,1,3,4,1,4,3,24,0,Home,Atlanta Falcons,1
LeSean McCoy,Buffalo Bills,1,17,41,0,4,3,46,0,Away,Indianapolis Colts,1
Jonathan Stewart,Carolina Panthers,1,18,56,0,4,4,25,0,Home,Jacksonville Jaguars,1
Tevin Coleman,Atlanta Falcons,1,20,80,0,0,0,0,0,Away,Philadelphia Eagles,1
Latavius Murray,Oakland Raiders,1,11,44,0,7,7,36,0,Away,Cincinnati Bengals,1
