Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Dan Bailey,Dallas Cowboys,1,4,4,100.0%,1,1,Home,Washington Redskins
Chris Boswell,Pittsburgh Steelers,1,3,4,75.0%,4,4,Away,Indianapolis Colts
Shayne Graham,Atlanta Falcons,1,4,4,100.0%,1,1,Home,Tampa Bay Buccaneers
Mike Nugent,Cincinnati Bengals,1,3,3,100.0%,4,4,Home,Cleveland Browns
Randy Bullock,New York Jets,1,3,3,100.0%,2,2,Home,New York Giants
Matt Prater,Detroit Lions,1,3,3,100.0%,2,2,Away,Green Bay Packers
Dustin Hopkins,Washington Redskins,1,3,4,75.0%,1,1,Away,Dallas Cowboys
Chandler Catanzaro,Arizona Cardinals,1,2,2,100.0%,3,3,Home,St. Louis Rams
Josh Brown,New York Giants,1,2,3,66.7%,2,2,Away,New York Jets
Robbie Gould,Chicago Bears,1,2,4,50.0%,2,2,Away,San Francisco 49ers
Steve Hauschka,Seattle Seahawks,1,1,1,100.0%,5,5,Home,Minnesota Vikings
Justin Tucker,Baltimore Ravens,1,2,3,66.7%,1,1,Home,Miami Dolphins
Dan Carpenter,Buffalo Bills,1,1,2,50.0%,3,4,Away,Houston Texans
Ryan Succop,Tennessee Titans,1,0,0,0.0%,6,6,Away,Jacksonville Jaguars
Connor Barth,Tampa Bay Buccaneers,1,1,1,100.0%,2,2,Away,Atlanta Falcons
Graham Gano,Carolina Panthers,1,0,0,0.0%,5,6,Home,New Orleans Saints
Brandon McManus,Denver Broncos,1,1,2,50.0%,2,2,Home,San Diego Chargers
Caleb Sturgis,Philadelphia Eagles,1,0,0,0.0%,5,5,Home,New England Patriots
Kai Forbath,New Orleans Saints,1,0,1,0.0%,4,4,Away,Carolina Panthers
Stephen Gostkowski,New England Patriots,1,0,0,0.0%,4,4,Away,Philadelphia Eagles
Adam Vinatieri,Indianapolis Colts,1,1,1,100.0%,1,1,Home,Pittsburgh Steelers
Travis Coons,Cleveland Browns,1,1,2,50.0%,0,0,Away,Cincinnati Bengals
Mason Crosby,Green Bay Packers,1,0,1,0.0%,3,3,Home,Detroit Lions
Zach Hocker,St. Louis Rams,1,1,1,100.0%,0,0,Away,Arizona Cardinals
Josh Lambo,San Diego Chargers,1,1,2,50.0%,0,0,Away,Denver Broncos
Jason Myers,Jacksonville Jaguars,1,0,0,0.0%,3,5,Home,Tennessee Titans
Phil Dawson,San Francisco 49ers,1,0,0,0.0%,2,3,Home,Chicago Bears
Sebastian Janikowski,Oakland Raiders,1,0,1,0.0%,2,3,Away,Kansas City Chiefs
Cairo Santos,Kansas City Chiefs,1,0,0,0.0%,2,3,Home,Oakland Raiders
Andrew Franks,Miami Dolphins,1,0,0,0.0%,1,1,Away,Baltimore Ravens
Nick Novak,Houston Texans,1,0,0,0.0%,1,2,Home,Buffalo Bills
Blair Walsh,Minnesota Vikings,1,0,0,0.0%,1,1,Away,Seattle Seahawks
