Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Odell Beckham Jr.,New York Giants,1,9,7,166,2,0,0,0,Home,Miami Dolphins,14
Doug Baldwin,Seattle Seahawks,1,9,6,82,3,0,0,0,Home,Baltimore Ravens,14
Ted Ginn Jr.,Carolina Panthers,1,3,2,120,2,1,5,0,Away,Atlanta Falcons,14
Tyler Lockett,Seattle Seahawks,1,7,6,104,2,0,0,0,Home,Baltimore Ravens,14
Golden Tate,Detroit Lions,1,10,9,60,2,1,15,0,Home,St. Louis Rams,14
A.J. Green,Cincinnati Bengals,1,9,6,132,1,0,0,0,Away,Pittsburgh Steelers,14
Brandon Marshall,New York Jets,1,10,6,125,1,0,0,0,Away,Tennessee Titans,14
Alshon Jeffery,Chicago Bears,1,9,6,107,1,0,0,0,Away,Washington Redskins,14
Allen Hurns,Jacksonville Jaguars,1,4,3,105,1,0,0,0,Away,Indianapolis Colts,14
Michael Floyd,Arizona Cardinals,1,9,5,102,1,0,0,0,Away,Minnesota Vikings,14
Marques Colston,New Orleans Saints,1,8,6,36,2,0,0,0,Home,Tampa Bay Buccaneers,14
Albert Wilson,Kansas City Chiefs,1,6,4,87,1,0,0,0,Away,San Diego Chargers,14
Sammy Watkins,Buffalo Bills,1,12,5,81,1,1,1,0,Home,Philadelphia Eagles,14
John Brown,Arizona Cardinals,1,5,4,78,1,0,0,0,Away,Minnesota Vikings,14
Eric Decker,New York Jets,1,10,7,74,1,0,0,0,Away,Tennessee Titans,14
T.Y. Hilton,Indianapolis Colts,1,7,4,132,0,0,0,0,Home,Jacksonville Jaguars,14
Nelson Agholor,Philadelphia Eagles,1,6,3,62,1,0,0,0,Away,Buffalo Bills,14
Willie Snead,New Orleans Saints,1,8,7,122,0,0,0,0,Home,Tampa Bay Buccaneers,14
Rueben Randle,New York Giants,1,6,5,58,1,0,0,0,Home,Miami Dolphins,14
Kenny Stills,Miami Dolphins,1,3,2,49,1,0,0,0,Away,New York Giants,14
Brian Hartline,Cleveland Browns,1,10,8,107,0,0,0,0,Away,San Francisco 49ers,14
Robert Woods,Buffalo Bills,1,7,5,106,0,0,0,0,Home,Philadelphia Eagles,14
Mike Wallace,Minnesota Vikings,1,5,3,42,1,0,0,0,Home,Arizona Cardinals,14
Jarvis Landry,Miami Dolphins,1,18,11,99,0,1,0,0,Away,New York Giants,14
Demaryius Thomas,Denver Broncos,1,14,10,95,0,0,0,0,Away,Oakland Raiders,14
Kamar Aiken,Baltimore Ravens,1,7,5,90,0,0,0,0,Away,Seattle Seahawks,14
Randall Cobb,Green Bay Packers,1,12,8,81,0,3,9,0,Away,Dallas Cowboys,14
Julio Jones,Atlanta Falcons,1,10,7,88,0,0,0,0,Home,Carolina Panthers,14
Antonio Brown,Pittsburgh Steelers,1,10,7,87,0,0,0,0,Home,Cincinnati Bengals,14
Keshawn Martin,New England Patriots,1,4,3,23,1,0,0,0,Home,Houston Texans,14
Seth Roberts,Oakland Raiders,1,4,2,20,1,0,0,0,Home,Denver Broncos,14
Jerome Simpson,San Francisco 49ers,1,4,2,20,1,0,0,0,Home,Cleveland Browns,14
Jermaine Kearse,Seattle Seahawks,1,8,7,74,0,0,0,0,Home,Baltimore Ravens,14
Jeremy Butler,Baltimore Ravens,1,10,7,72,0,0,0,0,Away,Seattle Seahawks,14
Philly Brown,Carolina Panthers,1,6,3,59,0,1,9,0,Away,Atlanta Falcons,14
Adam Humphries,Tampa Bay Buccaneers,1,3,1,6,1,0,0,0,Away,New Orleans Saints,14
Jeremy Maclin,Kansas City Chiefs,1,9,6,68,0,1,-2,0,Away,San Diego Chargers,14
Harry Douglas,Tennessee Titans,1,7,3,65,0,0,0,0,Home,New York Jets,14
Markus Wheaton,Pittsburgh Steelers,1,7,4,65,0,0,0,0,Home,Cincinnati Bengals,14
Allen Robinson,Jacksonville Jaguars,1,4,1,4,1,0,0,0,Away,Indianapolis Colts,14
Marvin Jones,Cincinnati Bengals,1,8,6,61,0,0,0,0,Away,Pittsburgh Steelers,14
Tavon Austin,St. Louis Rams,1,5,3,19,0,4,40,0,Away,Detroit Lions,14
Malcom Floyd,San Diego Chargers,1,9,3,56,0,0,0,0,Home,Kansas City Chiefs,14
Dorial Green-Beckham,Tennessee Titans,1,7,3,53,0,0,0,0,Home,New York Jets,14
Pierre Garcon,Washington Redskins,1,7,5,52,0,0,0,0,Home,Chicago Bears,14
DeAndre Hopkins,Houston Texans,1,6,3,52,0,0,0,0,Away,New England Patriots,14
Donte Moncrief,Indianapolis Colts,1,10,3,52,0,0,0,0,Home,Jacksonville Jaguars,14
Jarius Wright,Minnesota Vikings,1,6,5,51,0,0,0,0,Home,Arizona Cardinals,14
Martavis Bryant,Pittsburgh Steelers,1,9,7,49,0,1,1,0,Home,Cincinnati Bengals,14
James Jones,Green Bay Packers,1,7,4,49,0,0,0,0,Away,Dallas Cowboys,14
Nate Washington,Houston Texans,1,4,1,49,0,0,0,0,Away,New England Patriots,14
Daniel Brown,Baltimore Ravens,1,6,5,47,0,0,0,0,Away,Seattle Seahawks,14
Javontee Herndon,San Diego Chargers,1,7,5,47,0,0,0,0,Home,Kansas City Chiefs,14
Danny Amendola,New England Patriots,1,8,6,46,0,0,0,0,Home,Houston Texans,14
Quinton Patton,San Francisco 49ers,1,9,5,46,0,0,0,0,Home,Cleveland Browns,14
DeSean Jackson,Washington Redskins,1,4,2,43,0,0,0,0,Home,Chicago Bears,14
Travis Benjamin,Cleveland Browns,1,7,4,41,0,0,0,0,Away,San Francisco 49ers,14
Larry Fitzgerald,Arizona Cardinals,1,6,5,41,0,0,0,0,Away,Minnesota Vikings,14
Dwayne Harris,New York Giants,1,5,5,41,0,0,0,0,Home,Miami Dolphins,14
Nick Williams,Atlanta Falcons,1,4,4,40,0,0,0,0,Home,Carolina Panthers,14
