Player,Team,G,RushingAtt,RushingYard,RushingTD,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Jeremy Langford,Chicago Bears,1,20,73,1,9,7,109,1,Home,St. Louis Rams,10
Charcandrick West,Kansas City Chiefs,1,24,69,1,5,3,92,1,Home,Denver Broncos,10
Adrian Peterson,Minnesota Vikings,1,26,203,1,3,2,13,0,Home,Oakland Raiders,10
Matt Jones,Washington Redskins,1,11,56,0,3,3,131,1,Away,New Orleans Saints,10
LeSean McCoy,Buffalo Bills,1,19,112,0,5,5,47,0,Home,New York Jets,10
Lamar Miller,Miami Dolphins,1,16,43,0,8,6,50,1,Home,Philadelphia Eagles,10
Jonathan Stewart,Carolina Panthers,1,22,91,1,0,0,0,0,Home,Tennessee Titans,10
Todd Gurley,St. Louis Rams,1,12,45,1,3,3,44,0,Away,Chicago Bears,10
Andre Ellington,Arizona Cardinals,1,5,61,1,4,3,27,0,Home,Seattle Seahawks,10
LeGarrette Blount,New England Patriots,1,19,66,1,2,2,11,0,Home,New York Giants,10
Chris Ivory,New York Jets,1,18,99,0,3,2,36,0,Away,Buffalo Bills,10
DeMarco Murray,Philadelphia Eagles,1,22,61,0,8,6,58,0,Away,Miami Dolphins,10
Alfred Morris,Washington Redskins,1,15,104,0,3,3,14,0,Away,New Orleans Saints,10
Dexter McCluster,Tennessee Titans,1,3,25,1,5,4,27,0,Away,Carolina Panthers,10
Ronnie Hillman,Denver Broncos,1,11,42,1,4,2,9,0,Away,Kansas City Chiefs,10
Marshawn Lynch,Seattle Seahawks,1,8,42,1,2,1,8,0,Away,Arizona Cardinals,10
Karlos Williams,Buffalo Bills,1,7,24,0,1,1,26,1,Home,New York Jets,10
Doug Martin,Tampa Bay Buccaneers,1,18,63,0,4,4,40,0,Away,Dallas Cowboys,10
Ryan Mathews,Philadelphia Eagles,1,8,18,1,3,2,22,0,Away,Miami Dolphins,10
Mark Ingram,New Orleans Saints,1,5,77,0,4,3,21,0,Home,Washington Redskins,10
James Starks,Green Bay Packers,1,15,42,0,7,6,54,0,Away,Detroit Lions,10
Giovani Bernard,Cincinnati Bengals,1,8,36,0,8,5,43,0,Away,Houston Texans,10
Latavius Murray,Oakland Raiders,1,12,48,0,5,5,29,0,Away,Minnesota Vikings,10
Chris Thompson,Washington Redskins,1,2,54,0,1,1,23,0,Away,New Orleans Saints,10
DeAngelo Williams,Pittsburgh Steelers,1,17,54,0,2,1,15,0,Away,Cleveland Browns,10
T.J. Yeldon,Jacksonville Jaguars,1,18,61,0,6,5,6,0,Home,Baltimore Ravens,10
Justin Forsett,Baltimore Ravens,1,14,53,0,4,4,11,0,Away,Jacksonville Jaguars,10
Will Tukuafu,Seattle Seahawks,1,2,2,1,0,0,0,0,Away,Arizona Cardinals,10
Jamize Olawale,Oakland Raiders,1,5,24,0,3,3,35,0,Away,Minnesota Vikings,10
Chris Johnson,Arizona Cardinals,1,25,58,0,2,0,0,0,Home,Seattle Seahawks,10
