Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
Tavon Austin,St. Louis Rams,1,7,6,96,2,2,20,0,Home,Arizona Cardinals,4
Vincent Jackson,Tampa Bay Buccaneers,1,15,10,147,1,0,0,0,Away,Carolina Panthers,4
Allen Hurns,Jacksonville Jaguars,1,15,11,116,1,0,0,0,Home,Indianapolis Colts,4
Leonard Hankerson,Atlanta Falcons,1,8,6,103,1,0,0,0,Away,Houston Texans,4
DeAndre Hopkins,Houston Texans,1,22,9,157,0,0,0,0,Home,Atlanta Falcons,4
Jeremy Maclin,Kansas City Chiefs,1,13,11,148,0,0,0,0,Home,Cincinnati Bengals,4
Cecil Shorts,Houston Texans,1,10,6,87,1,0,0,0,Home,Atlanta Falcons,4
Mike Wallace,Minnesota Vikings,1,10,8,83,1,0,0,0,Home,Denver Broncos,4
Kenny Stills,Miami Dolphins,1,8,5,81,1,0,0,0,Away,New York Jets,4
Ted Ginn Jr.,Carolina Panthers,1,3,2,18,2,0,0,0,Home,Tampa Bay Buccaneers,4
Kamar Aiken,Baltimore Ravens,1,7,5,77,1,0,0,0,Home,Pittsburgh Steelers,4
Keenan Allen,San Diego Chargers,1,7,4,72,1,0,0,0,Away,Cleveland Browns,4
Riley Cooper,Philadelphia Eagles,1,3,2,72,1,0,0,0,Home,Washington Redskins,4
Brandon Marshall,New York Jets,1,11,7,128,0,0,0,0,Home,Miami Dolphins,4
Pierre Garcon,Washington Redskins,1,8,7,55,1,0,0,0,Away,Philadelphia Eagles,4
Brandon Tate,Cincinnati Bengals,1,1,1,55,1,0,0,0,Away,Kansas City Chiefs,4
Eddie Royal,Chicago Bears,1,10,7,54,1,0,0,0,Away,Oakland Raiders,4
Miles Austin,Philadelphia Eagles,1,3,2,51,1,0,0,0,Home,Washington Redskins,4
Dwayne Harris,New York Giants,1,6,5,51,1,0,0,0,Home,Buffalo Bills,4
Amari Cooper,Oakland Raiders,1,9,4,49,1,0,0,0,Home,Chicago Bears,4
Terrance Williams,Dallas Cowboys,1,10,3,49,1,0,0,0,Home,New Orleans Saints,4
Eric Decker,New York Jets,1,5,4,46,1,0,0,0,Home,Miami Dolphins,4
Larry Fitzgerald,Arizona Cardinals,1,9,7,99,0,0,0,0,Away,St. Louis Rams,4
James Jones,Green Bay Packers,1,6,5,98,0,0,0,0,Home,San Francisco 49ers,4
Doug Baldwin,Seattle Seahawks,1,4,3,36,1,0,0,0,Away,Detroit Lions,4
Demaryius Thomas,Denver Broncos,1,12,9,93,0,0,0,0,Away,Minnesota Vikings,4
Darrius Heyward-Bey,Pittsburgh Steelers,1,5,4,31,1,0,0,0,Away,Baltimore Ravens,4
Rueben Randle,New York Giants,1,6,3,31,1,0,0,0,Home,Buffalo Bills,4
Stedman Bailey,St. Louis Rams,1,3,2,30,1,0,0,0,Home,Arizona Cardinals,4
Willie Snead,New Orleans Saints,1,6,6,89,0,0,0,0,Away,Dallas Cowboys,4
John Brown,Arizona Cardinals,1,10,7,75,0,1,13,0,Away,St. Louis Rams,4
Dontrelle Inman,San Diego Chargers,1,5,3,88,0,0,0,0,Away,Cleveland Browns,4
Stefon Diggs,Minnesota Vikings,1,10,6,87,0,0,0,0,Home,Denver Broncos,4
Michael Campanaro,Baltimore Ravens,1,2,2,16,0,1,9,1,Home,Pittsburgh Steelers,4
Jermaine Kearse,Seattle Seahawks,1,2,2,84,0,0,0,0,Away,Detroit Lions,4
Mohamed Sanu,Cincinnati Bengals,1,6,4,84,0,0,0,0,Away,Kansas City Chiefs,4
A.J. Green,Cincinnati Bengals,1,10,7,82,0,0,0,0,Away,Kansas City Chiefs,4
Michael Crabtree,Oakland Raiders,1,6,5,80,0,0,0,0,Home,Chicago Bears,4
Allen Robinson,Jacksonville Jaguars,1,12,4,80,0,0,0,0,Home,Indianapolis Colts,4
Marquess Wilson,Chicago Bears,1,9,6,80,0,0,0,0,Away,Oakland Raiders,4
Travis Benjamin,Cleveland Browns,1,10,6,79,0,0,0,0,Home,San Diego Chargers,4
Donte Moncrief,Indianapolis Colts,1,9,6,75,0,0,0,0,Away,Jacksonville Jaguars,4
Adam Thielen,Minnesota Vikings,1,8,6,70,0,0,0,0,Home,Denver Broncos,4
Jarvis Landry,Miami Dolphins,1,12,4,40,0,2,29,0,Away,New York Jets,4
Emmanuel Sanders,Denver Broncos,1,6,3,68,0,0,0,0,Away,Minnesota Vikings,4
Brice Butler,Dallas Cowboys,1,1,1,67,0,0,0,0,Home,New Orleans Saints,4
T.Y. Hilton,Indianapolis Colts,1,13,7,67,0,0,0,0,Away,Jacksonville Jaguars,4
Jamison Crowder,Washington Redskins,1,12,7,65,0,0,0,0,Away,Philadelphia Eagles,4
Nelson Agholor,Philadelphia Eagles,1,4,3,64,0,0,0,0,Home,Washington Redskins,4
Cole Beasley,Dallas Cowboys,1,6,6,62,0,0,0,0,Home,New Orleans Saints,4
Michael Floyd,Arizona Cardinals,1,7,5,59,0,0,0,0,Away,St. Louis Rams,4
Tyler Lockett,Seattle Seahawks,1,5,4,58,0,1,1,0,Away,Detroit Lions,4
Calvin Johnson,Detroit Lions,1,11,7,56,0,0,0,0,Home,Seattle Seahawks,4
Keith Mumphery,Houston Texans,1,7,4,56,0,0,0,0,Home,Atlanta Falcons,4
Brenton Bersin,Carolina Panthers,1,4,4,54,0,0,0,0,Home,Tampa Bay Buccaneers,4
Torrey Smith,San Francisco 49ers,1,5,2,54,0,0,0,0,Away,Green Bay Packers,4
Chris Conley,Kansas City Chiefs,1,7,2,53,0,0,0,0,Home,Cincinnati Bengals,4
Quinton Patton,San Francisco 49ers,1,2,2,53,0,0,0,0,Away,Green Bay Packers,4
Jordan Matthews,Philadelphia Eagles,1,8,3,50,0,0,0,0,Home,Washington Redskins,4
Ryan Grant,Washington Redskins,1,7,5,45,0,0,0,0,Away,Philadelphia Eagles,4
Randall Cobb,Green Bay Packers,1,8,5,44,0,0,0,0,Home,San Francisco 49ers,4
Jason Avant,Kansas City Chiefs,1,5,4,43,0,0,0,0,Home,Cincinnati Bengals,4
Chris Hogan,Buffalo Bills,1,5,5,43,0,0,0,0,Away,New York Giants,4
Rashad Ross,Washington Redskins,1,3,1,43,0,0,0,0,Away,Philadelphia Eagles,4
Antonio Brown,Pittsburgh Steelers,1,9,5,42,0,0,0,0,Away,Baltimore Ravens,4
Odell Beckham Jr.,New York Giants,1,12,5,38,0,0,0,0,Home,Buffalo Bills,4
Julio Jones,Atlanta Falcons,1,6,4,38,0,0,0,0,Away,Houston Texans,4
Golden Tate,Detroit Lions,1,4,3,29,0,1,6,0,Home,Seattle Seahawks,4
Robert Woods,Buffalo Bills,1,5,3,33,0,0,0,0,Away,New York Giants,4
Mike Evans,Tampa Bay Buccaneers,1,8,3,32,0,0,0,0,Away,Carolina Panthers,4
Steve Johnson,San Diego Chargers,1,8,4,32,0,0,0,0,Away,Cleveland Browns,4
