Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Blair Walsh,Minnesota Vikings,1,5,5,100.0%,1,2,Home,Detroit Lions
Sebastian Janikowski,Oakland Raiders,1,3,3,100.0%,4,4,Home,San Diego Chargers
Connor Barth,Tampa Bay Buccaneers,1,3,3,100.0%,3,3,Home,Washington Redskins
Stephen Gostkowski,New England Patriots,1,3,3,100.0%,3,3,Away,New York Jets
Dan Carpenter,Buffalo Bills,1,3,3,100.0%,2,2,Home,Jacksonville Jaguars
Nick Folk,New York Jets,1,3,3,100.0%,2,2,Home,New England Patriots
Cairo Santos,Kansas City Chiefs,1,3,4,75.0%,2,2,Away,Pittsburgh Steelers
Caleb Sturgis,Philadelphia Eagles,1,3,4,75.0%,1,1,Home,Carolina Panthers
Josh Brown,New York Giants,1,2,2,100.0%,3,3,Away,Dallas Cowboys
Graham Gano,Carolina Panthers,1,2,2,100.0%,3,3,Away,Philadelphia Eagles
Dan Bailey,Dallas Cowboys,1,2,2,100.0%,2,2,Home,New York Giants
Chandler Catanzaro,Arizona Cardinals,1,2,3,66.7%,2,3,Away,Baltimore Ravens
Andrew Franks,Miami Dolphins,1,1,1,100.0%,5,6,Away,Houston Texans
Steve Hauschka,Seattle Seahawks,1,2,2,100.0%,2,2,Home,San Francisco 49ers
Chris Boswell,Pittsburgh Steelers,1,2,2,100.0%,1,1,Home,Kansas City Chiefs
Dustin Hopkins,Washington Redskins,1,1,1,100.0%,4,4,Away,Tampa Bay Buccaneers
Josh Lambo,San Diego Chargers,1,2,2,100.0%,1,1,Away,Oakland Raiders
Travis Coons,Cleveland Browns,1,2,2,100.0%,0,0,Home,St. Louis Rams
Greg Zuerlein,St. Louis Rams,1,1,3,33.3%,3,3,Away,Cleveland Browns
Matt Prater,Detroit Lions,1,1,1,100.0%,2,2,Away,Minnesota Vikings
Matt Bryant,Atlanta Falcons,1,1,2,50.0%,1,1,Home,Tennessee Titans
Jason Myers,Jacksonville Jaguars,1,0,0,0.0%,4,5,Away,Buffalo Bills
Justin Tucker,Baltimore Ravens,1,1,1,100.0%,1,1,Home,Arizona Cardinals
Phil Dawson,San Francisco 49ers,1,1,1,100.0%,0,0,Away,Seattle Seahawks
Kai Forbath,New Orleans Saints,1,0,0,0.0%,3,4,Home,Indianapolis Colts
Adam Vinatieri,Indianapolis Colts,1,0,0,0.0%,3,3,Away,New Orleans Saints
Nick Novak,Houston Texans,1,0,0,0.0%,2,3,Home,Miami Dolphins
Ryan Succop,Tennessee Titans,1,0,0,0.0%,1,1,Away,Atlanta Falcons
