Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,RushingAtt,RushingYard,RushingTD,Home or Away,Opponent,Week
T.Y. Hilton,Indianapolis Colts,1,15,4,150,2,0,0,0,Away,New Orleans Saints,7
Nate Washington,Houston Texans,1,16,9,127,2,0,0,0,Home,Miami Dolphins,7
Mike Evans,Tampa Bay Buccaneers,1,12,8,164,1,0,0,0,Home,Washington Redskins,7
Jarvis Landry,Miami Dolphins,1,5,5,83,2,1,5,0,Away,Houston Texans,7
Amari Cooper,Oakland Raiders,1,6,5,133,1,0,0,0,Home,San Diego Chargers,7
Stefon Diggs,Minnesota Vikings,1,9,6,108,1,1,9,0,Home,Detroit Lions,7
Allen Robinson,Jacksonville Jaguars,1,9,6,98,1,0,0,0,Away,Buffalo Bills,7
Julio Jones,Atlanta Falcons,1,17,9,92,1,0,0,0,Home,Tennessee Titans,7
Danny Amendola,New England Patriots,1,9,8,86,1,0,0,0,Away,New York Jets,7
Calvin Johnson,Detroit Lions,1,7,5,86,1,0,0,0,Away,Minnesota Vikings,7
Robert Woods,Buffalo Bills,1,13,9,84,1,0,0,0,Home,Jacksonville Jaguars,7
Tyler Lockett,Seattle Seahawks,1,5,5,79,1,0,0,0,Home,San Francisco 49ers,7
Rishard Matthews,Miami Dolphins,1,3,3,75,1,0,0,0,Away,Houston Texans,7
Antonio Brown,Pittsburgh Steelers,1,8,6,124,0,1,6,0,Home,Kansas City Chiefs,7
John Brown,Arizona Cardinals,1,6,4,65,1,0,0,0,Away,Baltimore Ravens,7
Chris Conley,Kansas City Chiefs,1,7,6,63,1,0,0,0,Away,Pittsburgh Steelers,7
Michael Crabtree,Oakland Raiders,1,8,6,63,1,0,0,0,Home,San Diego Chargers,7
Michael Floyd,Arizona Cardinals,1,4,3,59,1,0,0,0,Away,Baltimore Ravens,7
Martavis Bryant,Pittsburgh Steelers,1,8,3,45,1,1,13,0,Home,Kansas City Chiefs,7
Marcus Easley,Buffalo Bills,1,1,1,58,1,0,0,0,Home,Jacksonville Jaguars,7
Ryan Grant,Washington Redskins,1,3,3,54,1,0,0,0,Away,Tampa Bay Buccaneers,7
Allen Hurns,Jacksonville Jaguars,1,8,2,53,1,0,0,0,Away,Buffalo Bills,7
Kendall Wright,Tennessee Titans,1,8,4,46,1,0,0,0,Away,Atlanta Falcons,7
Ted Ginn Jr.,Carolina Panthers,1,8,5,59,0,1,43,0,Away,Philadelphia Eagles,7
Eric Decker,New York Jets,1,12,6,94,0,0,0,0,Home,New England Patriots,7
Donte Moncrief,Indianapolis Colts,1,6,4,34,1,0,0,0,Away,New Orleans Saints,7
Keenan Allen,San Diego Chargers,1,13,9,89,0,0,0,0,Away,Oakland Raiders,7
Jeremy Kerley,New York Jets,1,4,3,27,1,0,0,0,Home,New England Patriots,7
Devin Street,Dallas Cowboys,1,1,1,25,1,0,0,0,Home,New York Giants,7
Brandin Cooks,New Orleans Saints,1,13,6,81,0,0,0,0,Home,Indianapolis Colts,7
Steve Smith,Baltimore Ravens,1,9,5,78,0,0,0,0,Home,Arizona Cardinals,7
