Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Stephen Gostkowski,New England Patriots,1,3,3,100.0%,6,6,Away,Jacksonville Jaguars
Steve Hauschka,Seattle Seahawks,1,4,4,100.0%,2,2,Away,Chicago Bears
Josh Brown,New York Giants,1,3,3,100.0%,3,3,Away,Washington Redskins
Dan Carpenter,Buffalo Bills,1,2,3,66.7%,5,5,Home,Miami Dolphins
Chandler Catanzaro,Arizona Cardinals,1,1,1,100.0%,6,6,Away,San Francisco 49ers
Graham Gano,Carolina Panthers,1,2,2,100.0%,3,3,Away,New Orleans Saints
Sebastian Janikowski,Oakland Raiders,1,2,2,100.0%,3,3,Home,Cleveland Browns
Ryan Succop,Tennessee Titans,1,2,2,100.0%,3,3,Away,Indianapolis Colts
Travis Coons,Cleveland Browns,1,2,2,100.0%,2,2,Away,Oakland Raiders
Mason Crosby,Green Bay Packers,1,1,1,100.0%,5,5,Away,Kansas City Chiefs
Matt Bryant,Atlanta Falcons,1,1,1,100.0%,4,4,Home,Dallas Cowboys
Randy Bullock,Houston Texans,1,2,3,66.7%,1,2,Away,Tampa Bay Buccaneers
Dustin Hopkins,Washington Redskins,1,2,2,100.0%,1,1,Home,New York Giants
Blair Walsh,Minnesota Vikings,1,1,1,100.0%,4,4,Away,San Diego Chargers
Brandon McManus,Denver Broncos,1,1,1,100.0%,3,3,Home,Detroit Lions
Cody Parkey,Philadelphia Eagles,1,1,1,100.0%,3,3,Home,New York Jets
Josh Scobee,Pittsburgh Steelers,1,2,2,100.0%,0,0,Home,St. Louis Rams
Justin Tucker,Baltimore Ravens,1,1,2,50.0%,3,3,Away,Cincinnati Bengals
Greg Zuerlein,St. Louis Rams,1,2,2,100.0%,0,0,Away,Pittsburgh Steelers
Nick Folk,New York Jets,1,1,1,100.0%,2,2,Away,Philadelphia Eagles
Jason Myers,Jacksonville Jaguars,1,1,1,100.0%,2,2,Home,New England Patriots
Adam Vinatieri,Indianapolis Colts,1,0,0,0.0%,5,5,Home,Tennessee Titans
Dan Bailey,Dallas Cowboys,1,0,0,0.0%,4,4,Away,Atlanta Falcons
Zach Hocker,New Orleans Saints,1,1,1,100.0%,1,1,Home,Carolina Panthers
Mike Nugent,Cincinnati Bengals,1,0,0,0.0%,4,4,Home,Baltimore Ravens
Kyle Brindza,Tampa Bay Buccaneers,1,1,4,25.0%,0,1,Home,Houston Texans
Josh Lambo,San Diego Chargers,1,0,0,0.0%,2,2,Home,Minnesota Vikings
Cairo Santos,Kansas City Chiefs,1,0,0,0.0%,2,2,Home,Green Bay Packers
Phil Dawson,San Francisco 49ers,1,0,0,0.0%,1,1,Home,Arizona Cardinals
Matt Prater,Detroit Lions,1,0,0,0.0%,0,1,Away,Denver Broncos
