Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Zach Miller,Chicago Bears,1,5,5,107,2,Home,St. Louis Rams,10
Rob Gronkowski,New England Patriots,1,7,5,113,1,Home,New York Giants,10
Jordan Reed,Washington Redskins,1,4,3,29,2,Away,New Orleans Saints,10
Brent Celek,Philadelphia Eagles,1,4,4,134,0,Away,Miami Dolphins,10
Gary Barnidge,Cleveland Browns,1,8,6,65,1,Home,Pittsburgh Steelers,10
Justin Perillo,Green Bay Packers,1,6,5,58,1,Away,Detroit Lions,10
Crockett Gillmore,Baltimore Ravens,1,4,4,42,1,Away,Jacksonville Jaguars,10
Maxx Williams,Baltimore Ravens,1,4,4,40,1,Away,Jacksonville Jaguars,10
Richard Rodgers,Green Bay Packers,1,5,5,32,1,Away,Detroit Lions,10
Jermaine Gresham,Arizona Cardinals,1,3,2,26,1,Home,Seattle Seahawks,10
Ed Dickson,Carolina Panthers,1,3,3,21,1,Home,Tennessee Titans,10
Greg Olsen,Carolina Panthers,1,8,8,80,0,Home,Tennessee Titans,10
Rhett Ellison,Minnesota Vikings,1,2,2,18,1,Home,Oakland Raiders,10
Clive Walford,Oakland Raiders,1,3,2,18,1,Away,Minnesota Vikings,10
Zach Ertz,Philadelphia Eagles,1,10,7,68,0,Away,Miami Dolphins,10
Brandon Pettigrew,Detroit Lions,1,4,1,2,1,Home,Green Bay Packers,10
Scott Chandler,New England Patriots,1,3,1,1,1,Home,New York Giants,10
Will Tye,New York Giants,1,7,5,56,0,Away,New England Patriots,10
Charles Clay,Buffalo Bills,1,6,5,52,0,Home,New York Jets,10
Delanie Walker,Tennessee Titans,1,4,3,52,0,Away,Carolina Panthers,10
Mychal Rivera,Oakland Raiders,1,7,6,46,0,Away,Minnesota Vikings,10
Jason Witten,Dallas Cowboys,1,5,5,42,0,Home,Tampa Bay Buccaneers,10
Jimmy Graham,Seattle Seahawks,1,8,3,41,0,Away,Arizona Cardinals,10
Heath Miller,Pittsburgh Steelers,1,7,4,40,0,Away,Cleveland Browns,10
Ryan Griffin,Houston Texans,1,6,3,36,0,Home,Cincinnati Bengals,10
Travis Kelce,Kansas City Chiefs,1,9,5,36,0,Home,Denver Broncos,10
Nick Boyle,Baltimore Ravens,1,3,3,35,0,Away,Jacksonville Jaguars,10
Jared Cook,St. Louis Rams,1,3,2,35,0,Away,Chicago Bears,10
Brandon Myers,Tampa Bay Buccaneers,1,4,3,35,0,Away,Dallas Cowboys,10
C.J. Fiedorowicz,Houston Texans,1,2,2,30,0,Home,Cincinnati Bengals,10
Eric Ebron,Detroit Lions,1,8,4,28,0,Home,Green Bay Packers,10
Tyler Eifert,Cincinnati Bengals,1,7,3,26,0,Away,Houston Texans,10
Julius Thomas,Jacksonville Jaguars,1,5,2,23,0,Home,Baltimore Ravens,10
Gavin Escobar,Dallas Cowboys,1,1,1,22,0,Home,Tampa Bay Buccaneers,10
Darren Fells,Arizona Cardinals,1,4,3,21,0,Home,Seattle Seahawks,10
Vernon Davis,Denver Broncos,1,4,2,19,0,Away,Kansas City Chiefs,10
Anthony Fasano,Tennessee Titans,1,4,1,19,0,Away,Carolina Panthers,10
Ben Watson,New Orleans Saints,1,5,3,19,0,Home,Washington Redskins,10
Martellus Bennett,Chicago Bears,1,3,3,18,0,Home,St. Louis Rams,10
Jerome Cunningham,New York Giants,1,2,1,16,0,Away,New England Patriots,10
Derek Carrier,Washington Redskins,1,1,1,14,0,Away,New Orleans Saints,10
Owen Daniels,Denver Broncos,1,5,1,14,0,Away,Kansas City Chiefs,10
Marcedes Lewis,Jacksonville Jaguars,1,2,1,9,0,Home,Baltimore Ravens,10
Virgil Green,Denver Broncos,1,1,1,8,0,Away,Kansas City Chiefs,10
Dion Sims,Miami Dolphins,1,1,1,8,0,Home,Philadelphia Eagles,10
Ryan Hewitt,Cincinnati Bengals,1,1,1,7,0,Away,Houston Texans,10
MyCole Pruitt,Minnesota Vikings,1,2,2,7,0,Home,Oakland Raiders,10
Kyle Rudolph,Minnesota Vikings,1,4,1,7,0,Home,Oakland Raiders,10
Cameron Brate,Tampa Bay Buccaneers,1,2,1,6,0,Away,Dallas Cowboys,10
Brian Parker,Kansas City Chiefs,1,1,1,6,0,Home,Denver Broncos,10
Jordan Cameron,Miami Dolphins,1,3,1,5,0,Home,Philadelphia Eagles,10
Lance Kendricks,St. Louis Rams,1,3,1,4,0,Away,Chicago Bears,10
Jesse James,Pittsburgh Steelers,1,1,1,2,0,Away,Cleveland Browns,10
Lee Smith,Oakland Raiders,1,1,1,1,0,Away,Minnesota Vikings,10
Kellen Davis,New York Jets,1,1,0,0,0,Away,Buffalo Bills,10
Luke Stocker,Tampa Bay Buccaneers,1,1,0,0,0,Away,Dallas Cowboys,10
Michael Williams,New England Patriots,1,1,0,0,0,Home,New York Giants,10
Luke Willson,Seattle Seahawks,1,1,0,0,0,Away,Arizona Cardinals,10
