Player,Team,G,FGM,FGA,FG%,EPM,EPA,Home or Away,Opponent
Robbie Gould,Chicago Bears,1,4,4,100.0%,2,2,Home,Detroit Lions
Brandon McManus,Denver Broncos,1,4,5,80.0%,2,2,Home,Cleveland Browns
Chris Boswell,Pittsburgh Steelers,1,4,4,100.0%,1,1,Away,Arizona Cardinals
Phil Dawson,San Francisco 49ers,1,4,4,100.0%,1,1,Away,Baltimore Ravens
Matt Prater,Detroit Lions,1,3,3,100.0%,4,4,Away,Chicago Bears
Steve Hauschka,Seattle Seahawks,1,3,3,100.0%,2,2,Away,Carolina Panthers
Nick Folk,New York Jets,1,2,3,66.7%,4,4,Away,Washington Redskins
Stephen Gostkowski,New England Patriots,1,2,2,100.0%,4,4,Home,Indianapolis Colts
Mike Nugent,Cincinnati Bengals,1,2,2,100.0%,4,4,Home,Buffalo Bills
Blair Walsh,Minnesota Vikings,1,3,3,100.0%,1,1,Away,Kansas City Chiefs
Mason Crosby,Green Bay Packers,1,2,2,100.0%,3,3,Away,San Diego Chargers
Caleb Sturgis,Philadelphia Eagles,1,2,2,100.0%,3,3,Away,New York Giants
Andrew Franks,Miami Dolphins,1,1,1,100.0%,5,5,Home,Tennessee Titans
Dustin Hopkins,Washington Redskins,1,2,2,100.0%,2,2,Home,New York Jets
Josh Lambo,San Diego Chargers,1,2,2,100.0%,2,2,Home,Green Bay Packers
Justin Tucker,Baltimore Ravens,1,2,3,66.7%,2,2,Home,San Francisco 49ers
Chandler Catanzaro,Arizona Cardinals,1,2,3,66.7%,1,1,Home,Pittsburgh Steelers
Zach Hocker,New Orleans Saints,1,1,3,33.3%,4,4,Away,Atlanta Falcons
Nick Novak,Houston Texans,1,1,1,100.0%,4,4,Home,Jacksonville Jaguars
Travis Coons,Cleveland Browns,1,1,1,100.0%,2,2,Away,Denver Broncos
Cairo Santos,Kansas City Chiefs,1,1,1,100.0%,1,1,Home,Minnesota Vikings
Ryan Succop,Tennessee Titans,1,1,1,100.0%,1,1,Away,Miami Dolphins
Matt Bryant,Atlanta Falcons,1,0,0,0.0%,3,3,Home,New Orleans Saints
Dan Carpenter,Buffalo Bills,1,0,0,0.0%,3,3,Away,Cincinnati Bengals
Graham Gano,Carolina Panthers,1,0,0,0.0%,3,4,Home,Seattle Seahawks
Adam Vinatieri,Indianapolis Colts,1,0,0,0.0%,3,4,Away,New England Patriots
Jason Myers,Jacksonville Jaguars,1,0,0,0.0%,2,3,Away,Houston Texans
Josh Brown,New York Giants,1,0,0,0.0%,1,1,Home,Philadelphia Eagles
