Player,Team,G,ReceivingTarget,ReceivingRec,ReceivingYard,ReceivingTD,Home or Away,Opponent,Week
Jordan Reed,Washington Redskins,1,11,9,129,2,Home,Philadelphia Eagles,16
Zach Ertz,Philadelphia Eagles,1,17,13,122,0,Away,Washington Redskins,16
Vance McDonald,San Francisco 49ers,1,7,5,61,1,Home,Detroit Lions,16
Austin Seferian-Jenkins,Tampa Bay Buccaneers,1,4,2,60,1,Away,Chicago Bears,16
Kyle Rudolph,Minnesota Vikings,1,3,2,53,1,Away,New York Giants,16
Travis Kelce,Kansas City Chiefs,1,8,6,43,1,Away,Cleveland Browns,16
Rob Gronkowski,New England Patriots,1,6,4,86,0,Home,New York Jets,16
Michael Hoomanawanui,New Orleans Saints,1,1,1,17,1,Away,Jacksonville Jaguars,16
Owen Daniels,Denver Broncos,1,7,5,70,0,Away,Cincinnati Bengals,16
Zach Miller,Chicago Bears,1,8,7,69,0,Home,Tampa Bay Buccaneers,16
Delanie Walker,Tennessee Titans,1,15,9,59,0,Away,Houston Texans,16
Eric Ebron,Detroit Lions,1,5,4,49,0,Away,San Francisco 49ers,16
Heath Miller,Pittsburgh Steelers,1,6,5,49,0,Home,Baltimore Ravens,16
Gary Barnidge,Cleveland Browns,1,8,3,47,0,Home,Kansas City Chiefs,16
Cameron Brate,Tampa Bay Buccaneers,1,1,1,46,0,Away,Chicago Bears,16
Tyler Kroft,Cincinnati Bengals,1,6,4,46,0,Home,Denver Broncos,16
Cooper Helfet,Seattle Seahawks,1,6,4,43,0,Away,St. Louis Rams,16
Greg Olsen,Carolina Panthers,1,6,4,40,0,Home,Atlanta Falcons,16
Jordan Cameron,Miami Dolphins,1,3,3,34,0,Away,Indianapolis Colts,16
Jacob Tamme,Atlanta Falcons,1,4,4,29,0,Away,Carolina Panthers,16
Will Tye,New York Giants,1,4,3,28,0,Home,Minnesota Vikings,16
Ladarius Green,San Diego Chargers,1,7,2,27,0,Home,Oakland Raiders,16
Matt LaCosse,New York Giants,1,3,3,22,0,Home,Minnesota Vikings,16
Clive Walford,Oakland Raiders,1,3,1,22,0,Away,San Diego Chargers,16
Jerome Cunningham,New York Giants,1,2,2,21,0,Home,Minnesota Vikings,16
Anthony Fasano,Tennessee Titans,1,7,2,21,0,Away,Houston Texans,16
Chris Gragg,Buffalo Bills,1,3,2,19,0,Away,Dallas Cowboys,16
Brent Celek,Philadelphia Eagles,1,1,1,18,0,Away,Washington Redskins,16
Jim Dray,Cleveland Browns,1,3,1,18,0,Home,Kansas City Chiefs,16
Andrew Quarless,Green Bay Packers,1,2,2,17,0,Home,Arizona Cardinals,16
Lee Smith,Oakland Raiders,1,1,1,17,0,Away,San Diego Chargers,16
Maxx Williams,Baltimore Ravens,1,5,2,16,0,Away,Pittsburgh Steelers,16
Coby Fleener,Indianapolis Colts,1,4,2,13,0,Home,Miami Dolphins,16
Ryan Griffin,Houston Texans,1,1,1,13,0,Home,Tennessee Titans,16
Marcedes Lewis,Jacksonville Jaguars,1,1,1,13,0,Home,New Orleans Saints,16
Josh Hill,New Orleans Saints,1,3,2,12,0,Away,Jacksonville Jaguars,16
Julius Thomas,Jacksonville Jaguars,1,2,2,12,0,Home,New Orleans Saints,16
Jason Witten,Dallas Cowboys,1,2,1,12,0,Home,Buffalo Bills,16
Antonio Gates,San Diego Chargers,1,2,2,11,0,Home,Oakland Raiders,16
James Hanna,Dallas Cowboys,1,4,1,10,0,Home,Buffalo Bills,16
John Phillips,San Diego Chargers,1,1,1,9,0,Home,Oakland Raiders,16
Virgil Green,Denver Broncos,1,1,1,8,0,Away,Cincinnati Bengals,16
Dion Sims,Miami Dolphins,1,1,1,8,0,Away,Indianapolis Colts,16
Craig Stevens,Tennessee Titans,1,1,1,8,0,Away,Houston Texans,16
Jack Doyle,Indianapolis Colts,1,3,2,7,0,Home,Miami Dolphins,16
Jermaine Gresham,Arizona Cardinals,1,2,1,7,0,Away,Green Bay Packers,16
Clay Harbor,Jacksonville Jaguars,1,1,1,7,0,Home,New Orleans Saints,16
Luke Stocker,Tampa Bay Buccaneers,1,1,1,7,0,Away,Chicago Bears,16
C.J. Fiedorowicz,Houston Texans,1,1,1,6,0,Home,Tennessee Titans,16
Jared Cook,St. Louis Rams,1,2,1,5,0,Home,Seattle Seahawks,16
Ben Watson,New Orleans Saints,1,2,1,5,0,Away,Jacksonville Jaguars,16
David Johnson,San Diego Chargers,1,1,1,4,0,Home,Oakland Raiders,16
Jesse James,Pittsburgh Steelers,1,1,1,3,0,Home,Baltimore Ravens,16
Richard Rodgers,Green Bay Packers,1,3,1,2,0,Home,Arizona Cardinals,16
Dwayne Allen,Indianapolis Colts,1,1,0,0,0,Home,Miami Dolphins,16
Blake Bell,San Francisco 49ers,1,1,0,0,0,Home,Detroit Lions,16
Kellen Davis,New York Jets,1,0,0,0,0,Away,New England Patriots,16
Ed Dickson,Carolina Panthers,1,1,0,0,0,Home,Atlanta Falcons,16
Rhett Ellison,Minnesota Vikings,1,1,0,0,0,Away,New York Giants,16
Lance Kendricks,St. Louis Rams,1,2,0,0,0,Home,Seattle Seahawks,16
Nick O'Leary,Buffalo Bills,1,1,0,0,0,Away,Dallas Cowboys,16
Brian Parker,Kansas City Chiefs,1,1,0,0,0,Away,Cleveland Browns,16
Alex Smith,Washington Redskins,1,1,0,0,0,Home,Philadelphia Eagles,16
Michael Williams,New England Patriots,1,1,0,0,0,Home,New York Jets,16
Luke Willson,Seattle Seahawks,1,1,0,0,0,Away,St. Louis Rams,16
